2010-01-22,Technical fault at Cannon Street,16:00,Cannon St,Hayes,delayed by 11 minutes
2010-01-22,Train fault at Ebbsfleet,13:58,Faversham,St Pancras International,terminated at Ebbsfleet International
2010-01-22,Train fault at Ebbsfleet,15:28,St Pancras International,Faversham,cancelled
2010-01-22,Train fault at Ebbsfleet,17:44,St Pancras International,Faversham,delayed by 11 minutes
2010-01-22,Technical problem,16:22,Beckenham Junction,Rochester,delayed by 22 minutes
2010-01-22,Technical problem,17:57,Victoria,Ramsgate,delayed by 14 minutes
2010-01-22,Technical problem,18:54,Gillingham,Charing Cross,delayed by 11 minutes
2010-01-22,Technical problem,19:20,Faversham,Dover Priory,delayed by 13 minutes
2010-01-22,Technical problem,20:05,Dover Priory,Victoria,delayed by 13 minutes
2010-01-22,Technical problem,20:07,Ramsgate,Faversham,delayed by 10 minutes
2010-01-22,Train delayed from depot,05:47,Margate,St Pancras International,started at Ramsgate
2010-01-22,Train delayed from depot,06:36,London Bridge,Beckenham Junction,delayed by 32 minutes and terminated at Lewisham
2010-01-22,Train delayed from depot,06:40,Ramsgate,Charing Cross,delayed by 17 minutes
2010-01-22,Train delayed from depot,07:06,Ramsgate,Victoria,delayed by 10 minutes
2010-01-22,Train delayed from depot,07:59,Beckenham Junction,Beckenham Junction,delayed by 24 minutes
2010-01-22,Train delayed from depot,07:59,Beckenham Junction,Beckenham Junction,started at East Farleigh
2010-01-22,Train delayed from depot,08:53,Charing Cross,Ashford,did not call at London Bridge
2010-01-22,Train delayed from depot,08:53,Charing Cross,Ashford,delayed by 21 minutes
2010-01-22,Train delayed from depot,09:22,Victoria,Ramsgate,delayed by 12 minutes
2010-01-22,Train fault,10:03,Tonbridge,Strood,delayed by 11 minutes
2010-01-22,Train fault,10:33,Ashford,Canterbury West,delayed by 20 minutes
2010-01-22,Technical fault at Northfleet,09:03,Gravesend,Charing Cross,delayed by 11 minutes and terminated at London Bridge
2010-01-22,Technical fault at Northfleet,10:09,Charing Cross,Gillingham,started at London Bridge
2010-01-22,Signal failure,06:09,Bearsted,Beckenham Junction,delayed by 30 minutes and terminated at London Bridge
2010-01-22,Signal failure,06:42,Sevenoaks,London Bridge,delayed by 11 minutes
2010-01-22,Signal failure,08:20,London Bridge,Sevenoaks,delayed by 14 minutes
2010-01-22,Signal failure,10:32,Sevenoaks,Kent House,delayed by 10 minutes
2010-01-22,Train fault at Victoria,11:37,Victoria,Ashford,delayed by 15 minutes
2010-01-22,Signalling issue,06:56,Charing Cross,Gravesend,terminated at Dartford
2010-01-22,Signalling issue,08:06,Gravesend,Cannon St,started at Dartford
2010-01-22,Driver delayed at Orpington,04:55,Orpington,City Thameslink,delayed by 17 minutes
2010-01-22,Defective unit at Maidstone East,07:15,Ashford,Victoria,terminated at Maidstone East
2010-01-22,Defective stock,07:40,Slade Green,Charing Cross,cancelled
2010-01-22,Defective stock,11:56,Kent House,Sevenoaks,cancelled
2010-01-22,Defective stock,13:32,Sevenoaks,Kent House,cancelled
2010-01-22,Adhesion problems,05:20,Ashford,Victoria,delayed by 17 minutes
2010-01-22,Adhesion problems,07:07,Victoria,Ashford,delayed by 11 minutes
2010-01-22,Adhesion problems,08:47,Ashford,Victoria,delayed by 13 minutes
2010-01-22,Defective stock at Orpington,05:10,Orpington,Victoria,cancelled
2010-01-22,Defective stock at Orpington,06:54,Barnehurst,Victoria,cancelled
2010-01-22,Awaiting guard,10:24,Gillingham,Charing Cross,did not call at Woolwich Dockyard and delayed by 12 minutes
2010-01-22,Driver problem at Dartford,18:47,Charing Cross,Gillingham,terminated at Dartford
2010-01-22,Driver problem at Dartford,20:24,Gillingham,Charing Cross,delayed by 20 minutes
