2010-01-24,Delayed due to rolling stock displaced issues,08:10,Dartford,Charing Cross,did not call at Barnehurst and delayed by 24 minutes
2010-01-24,Train delayed at Ashford,09:40,St Pancras International,Margate,delayed by 24 minutes
2010-01-24,Driver delayed,09:40,St Pancras International,Margate,started at Ashford
2010-01-24,Driver delayed,11:58,Sittingbourne,St Pancras International,cancelled
2010-01-24,Driver delayed,12:58,Sittingbourne,St Pancras International,cancelled
2010-01-24,Trains running under caution,12:08,Charing Cross,Ramsgate,delayed by 11 minutes
2010-01-24,Trains running under caution,13:44,Dover Priory,St Pancras International,delayed by 10 minutes
2010-01-24,Points failure at Charing Cross,14:30,Charing Cross,Dartford,terminated at Waterloo East
2010-01-24,Points failure at Charing Cross,12:40,Ramsgate,Charing Cross,terminated at London Bridge
2010-01-24,Points failure at Charing Cross,15:08,Charing Cross,Ramsgate,started at London Bridge
2010-01-24,Points failure at Charing Cross,15:43,Dartford,Charing Cross,cancelled
2010-01-24,Points failure at Charing Cross,14:10,Gravesend,Charing Cross,terminated at London Bridge
2010-01-24,Fatality at Wandsworth Road,06:34,Sittingbourne,Victoria,terminated at Crayford
2010-01-24,Fatality at Wandsworth Road,06:47,Ashford,Victoria,terminated at Crayford
2010-01-24,Fatality at Wandsworth Road,07:13,Orpington,Victoria,""
2010-01-24,Fatality at Wandsworth Road,07:34,Gillingham,Victoria,terminated at Swanley
2010-01-24,Fatality at Wandsworth Road,07:34,Sittingbourne,Victoria,terminated at Swanley
2010-01-24,Fatality at Wandsworth Road,07:36,Orpington,Victoria,terminated at Crayford
2010-01-24,Fatality at Wandsworth Road,07:43,Orpington,Victoria,terminated at Crayford
2010-01-24,Fatality at Wandsworth Road,07:45,Victoria,Ashford,cancelled
2010-01-24,Fatality at Wandsworth Road,07:47,Ashford,Victoria,terminated at Crayford
2010-01-24,Fatality at Wandsworth Road,07:51,Victoria,Orpington,cancelled
2010-01-24,Fatality at Wandsworth Road,07:54,Swanley,Victoria,terminated at Bromley South
2010-01-24,Fatality at Wandsworth Road,08:05,Victoria,Sittingbourne,cancelled
2010-01-24,Fatality at Wandsworth Road,08:06,Orpington,Victoria,terminated at Crayford
2010-01-24,Fatality at Wandsworth Road,08:09,Victoria,Swanley,cancelled
2010-01-24,Fatality at Wandsworth Road,08:21,Victoria,Orpington,started at Crayford
2010-01-24,Fatality at Wandsworth Road,08:24,Swanley,Victoria,terminated at Crayford
2010-01-24,Fatality at Wandsworth Road,08:24,Victoria,Gillingham,started at Crayford
2010-01-24,Fatality at Wandsworth Road,08:34,Gillingham,Victoria,terminated at Swanley
2010-01-24,Fatality at Wandsworth Road,08:34,Sittingbourne,Victoria,cancelled
2010-01-24,Fatality at Wandsworth Road,08:36,Orpington,Victoria,cancelled
2010-01-24,Fatality at Wandsworth Road,08:39,Victoria,Swanley,started at Victoria
2010-01-24,Fatality at Wandsworth Road,08:45,Victoria,Ashford,started at Victoria
2010-01-24,Fatality at Wandsworth Road,08:51,Victoria,Orpington,started at Victoria
2010-01-24,Fatality at Wandsworth Road,08:51,Victoria,Orpington,delayed by 11 minutes
2010-01-24,Fatality at Wandsworth Road,08:54,Swanley,Victoria,""
2010-01-24,Fatality at Wandsworth Road,09:05,Victoria,Sittingbourne,started at Crayford
2010-01-24,Fatality at Wandsworth Road,09:06,Orpington,Victoria,terminated at Crayford
2010-01-24,Fatality at Wandsworth Road,09:09,Victoria,Swanley,started at Bromley South
2010-01-24,Fatality at Wandsworth Road,09:21,Victoria,Orpington,cancelled
2010-01-24,Fatality at Wandsworth Road,09:24,Victoria,Gillingham,started at St Mary Cray
2010-01-24,Fatality at Wandsworth Road,09:36,Orpington,Victoria,delayed by 11 minutes
2010-01-24,Fatality at Wandsworth Road,09:39,Victoria,Swanley,started at Crayford
2010-01-24,Fatality at Wandsworth Road,09:45,Victoria,Ashford,started at Crayford
2010-01-24,Fatality at Wandsworth Road,09:47,Ashford,Victoria,cancelled
2010-01-24,Fatality at Wandsworth Road,09:51,Victoria,Orpington,started at Crayford
2010-01-24,Fatality at Wandsworth Road,10:05,Victoria,Sittingbourne,started at St Mary Cray
2010-01-24,Fatality at Wandsworth Road,10:06,Orpington,Victoria,cancelled
2010-01-24,Fatality at Wandsworth Road,10:09,Victoria,Swanley,started at Crayford
2010-01-24,Fatality at Wandsworth Road,10:24,Victoria,Gillingham,started at St Mary Cray
2010-01-24,Stock change at Ashford,20:42,St Pancras International,Margate,delayed by 28 minutes
2010-01-24,Problems with detachment at Tonbridge,08:23,Charing Cross,Hastings,delayed by 10 minutes
2010-01-24,Defective stock at Charing Cross,15:20,Charing Cross,Gravesend,started at London Bridge
2010-01-24,Defective stock at Charing Cross,14:28,Hayes,Charing Cross,cancelled
2010-01-24,Defective stock at Charing Cross,13:35,Charing Cross,Hayes,cancelled
2010-01-24,Train fault at Dover Priory,09:12,St Pancras International,Dover Priory,started at Ashford
2010-01-24,Train fault at Dover Priory,07:44,Dover Priory,St Pancras International,cancelled
2010-01-24,Carriage defect at Strood,14:34,Paddock Wood,Strood,started at Maidstone West
2010-01-24,Carriage defect at Strood,13:35,Strood,Paddock Wood,delayed by 38 minutes and terminated at Maidstone West
2010-01-24,No conductor at Faversham,17:28,Sittingbourne,St Pancras International,cancelled
