2010-02-03,Overruning engineering work,04:34,Orpington,City Thameslink,did not call at Bellingham
2010-02-03,Track circuit failure at Deal,06:48,Ramsgate,Charing Cross,delayed by 19 minutes and terminated at Tonbridge
2010-02-03,Track circuit failure at Deal,06:59,Ramsgate,Cannon St,delayed by 18 minutes and terminated at London Bridge
2010-02-03,Track circuit failure at Deal,08:53,Charing Cross,Ashford,delayed by 10 minutes
2010-02-03,Track circuit failure at Deal,09:02,Charing Cross,Dartford,did not call at Lewisham
2010-02-03,Track circuit failure at Deal,09:40,Charing Cross,Ramsgate,started at Tonbridge and delayed by 28 minutes
2010-02-03,Track circuit failure at Deal,11:03,Ashford,Ramsgate,cancelled
2010-02-03,Track circuit failure at Ramsgate,05:11,Ramsgate,Victoria,delayed by 10 minutes
2010-02-03,Track circuit failure at Ramsgate,06:00,Broadstairs,St Pancras International,delayed by 23 minutes and did not call at Herne Bay
2010-02-03,Track circuit failure at Ramsgate,06:10,Ramsgate,Victoria,delayed by 14 minutes
2010-02-03,Track circuit failure at Ramsgate,06:25,Broadstairs,Cannon St,delayed by 22 minutes
2010-02-03,Track circuit failure at Ramsgate,06:26,Ramsgate,St Pancras International,delayed by 38 minutes and terminated at Ashford
2010-02-03,Track circuit failure at Ramsgate,06:30,Broadstairs,St Pancras International,delayed by 41 minutes
2010-02-03,Track circuit failure at Ramsgate,06:32,Ramsgate,Victoria,delayed by 13 minutes
2010-02-03,Track circuit failure at Ramsgate,06:40,St Pancras International,Margate,delayed by 17 minutes
2010-02-03,Track circuit failure at Ramsgate,06:51,Broadstairs,Cannon St,delayed by 27 minutes
2010-02-03,Track circuit failure at Ramsgate,07:00,Broadstairs,St Pancras International,delayed by 36 minutes
2010-02-03,Track circuit failure at Ramsgate,07:06,Ramsgate,Victoria,delayed by 30 minutes
2010-02-03,Track circuit failure at Ramsgate,07:19,Ramsgate,Cannon St,delayed by 25 minutes
2010-02-03,Track circuit failure at Ramsgate,07:26,Ramsgate,St Pancras International,delayed by 34 minutes and terminated at Ashford
2010-02-03,Track circuit failure at Ramsgate,07:36,Ramsgate,Faversham,cancelled
2010-02-03,Track circuit failure at Ramsgate,07:49,Margate,St Pancras International,delayed by 36 minutes
2010-02-03,Track circuit failure at Ramsgate,07:55,St Pancras International,Faversham,delayed by 11 minutes
2010-02-03,Track circuit failure at Ramsgate,08:05,Dover Priory,Victoria,delayed by 13 minutes
2010-02-03,Track circuit failure at Ramsgate,08:06,Ramsgate,Faversham,delayed by 15 minutes
2010-02-03,Track circuit failure at Ramsgate,08:33,Ebbsfleet International,St Pancras International,cancelled
2010-02-03,Track circuit failure at Ramsgate,08:42,Cannon St,Hastings,did not call at Orpington
2010-02-03,Track circuit failure at Ramsgate,08:52,Victoria,Ramsgate,delayed by 10 minutes
2010-02-03,Track circuit failure at Ramsgate,09:12,St Pancras International,Dover Priory,started at Ashford
2010-02-03,Track circuit failure at Ramsgate,09:20,Cannon St,Hastings,started at London Bridge
2010-02-03,Track circuit failure at Ramsgate,09:22,Victoria,Ramsgate,did not call at Rochester delayed by 33 minutes
2010-02-03,Track circuit failure at Ramsgate,10:15,Faversham,Dover Priory,delayed by 10 minutes
2010-02-03,Track circuit failure at Ramsgate,10:45,Faversham,Dover Priory,delayed by 11 minutes
2010-02-03,Track circuit failure at Ramsgate,11:32,Gillingham,Victoria,started at Swanley
2010-02-03,Technical fault at Strood,07:30,Cannon St,Hayes,cancelled
2010-02-03,Staff error at Victoria,06:50,Victoria,Orpington,delayed by 11 minutes
2010-02-03,Train fault,06:28,Swanley,Sevenoaks,cancelled
2010-02-03,Train crew delayed,07:06,Ebbsfleet International,St Pancras International,delayed by 19 minutes
2010-02-03,Poor rail adhesion,08:47,Hastings,Charing Cross,terminated at Tonbridge
2010-02-03,Poor rail adhesion,09:29,Hastings,Charing Cross,delayed by 45 minutes and terminated at Orpington
2010-02-03,Poor rail adhesion,09:30,Charing Cross,Tunbridge Wells,terminated at Tonbridge
2010-02-03,Poor rail adhesion,09:50,Hastings,Charing Cross,delayed by 29 minutes terminated at London Bridge
2010-02-03,Poor rail adhesion,09:51,Tunbridge Wells,Charing Cross,delayed by 61 minutes and terminated at Tonbridge
2010-02-03,Poor rail adhesion,10:00,Charing Cross,Tunbridge Wells,delayed by 12 minutes
2010-02-03,Poor rail adhesion,10:21,Tunbridge Wells,Charing Cross,cancelled
2010-02-03,Poor rail adhesion,10:45,Charing Cross,Hastings,cancelled
2010-02-03,Poor rail adhesion,10:51,Tunbridge Wells,Charing Cross,started at Tonbridge
2010-02-03,Poor rail adhesion,11:00,Charing Cross,Tunbridge Wells,cancelled
2010-02-03,Poor rail adhesion,11:15,Charing Cross,Hastings,started at Orpington
2010-02-03,Poor rail adhesion,11:30,Charing Cross,Tunbridge Wells,cancelled
2010-02-03,Poor rail adhesion,11:45,Charing Cross,Hastings,started at London Bridge and delayed by 15 minutes
2010-02-03,Poor rail adhesion,12:00,Charing Cross,Tunbridge Wells,delayed by 11 minutes
2010-02-03,Poor rail adhesion,12:21,Tunbridge Wells,Charing Cross,started at Tonbridge
2010-02-03,Poor rail adhesion,13:32,Hastings,Charing Cross,terminated at Tonbridge
2010-02-03,Poor rail adhesion,15:15,Charing Cross,Hastings,started at Tonbridge
2010-02-03,Poor rail adhesion,15:45,Hastings,Cannon St,terminated at St Leonards Warrior Square
2010-02-03,Poor rail adhesion,16:53,Tunbridge Wells,Charing Cross,started at Tonbridge
2010-02-03,Poor rail adhesion,17:02,Cannon St,Hastings,terminated at Tonbridge
2010-02-03,Poor rail adhesion,17:18,Hastings,Charing Cross,terminated at Orpington
2010-02-03,Poor rail adhesion,17:37,Cannon St,Hastings,delayed by 16 minutes
2010-02-03,Poor rail adhesion,17:45,Cannon St,Ramsgate,started at Tonbridge
2010-02-03,Poor rail adhesion,18:03,Charing Cross,Ore,terminated at Hastings
2010-02-03,Poor rail adhesion,18:19,Tunbridge Wells,Charing Cross,delayed by 20 minutes and terminated at London Bridge
2010-02-03,Poor rail adhesion,18:33,Tunbridge Wells,Hastings,delayed by 22 minutes
2010-02-03,Poor rail adhesion,18:46,Hastings,Charing Cross,cancelled
2010-02-03,Poor rail adhesion,19:15,Charing Cross,Hastings,cancelled
2010-02-03,Poor rail adhesion,19:30,Charing Cross,Tunbridge Wells,started at London Bridge
2010-02-03,Poor rail adhesion,20:45,Charing Cross,Hastings,started at Tonbridge
