2010-02-04,Points failure at Charing Cross,05:30,Charing Cross,Ramsgate,delayed by 40 minutes and did not call at London Bridge
2010-02-04,Train fault at Gillingham,05:54,Gillingham,Charing Cross,cancelled
2010-02-04,Train fault at Gillingham,08:13,Hayes,Charing Cross,cancelled
2010-02-04,Train fault at Gillingham,09:06,Charing Cross,Sevenoaks,started at Grove Park
2010-02-04,Technical fault at Ramsgate,05:40,Ramsgate,Victoria,cancelled
2010-02-04,Technical fault at Ramsgate,05:52,Victoria,Ramsgate,delayed by 10 minutes
2010-02-04,Technical fault at Ramsgate,06:00,Broadstairs,St Pancras International,delayed by 14 minutes
2010-02-04,Technical fault at Ramsgate,06:36,Blackfriars,Bromley South,delayed by 16 minutes
2010-02-04,Technical fault at Ramsgate,07:28,Rochester,Blackfriars,delayed by 11 minutes
2010-02-04,Technical fault at Ramsgate,07:52,Victoria,Ramsgate,started at Bromley South and delayed by 12 minutes
2010-02-04,Technical fault at Ramsgate,08:18,Bromley South,Blackfriars,delayed by 13 minutes
2010-02-04,Technical fault at Ramsgate,08:22,St Pancras International,Faversham,delayed by 10 minutes
2010-02-04,Technical fault at Ramsgate,09:15,Faversham,Dover Priory,delayed by 26 minutes and did not call at Canterbury East
2010-02-04,Points failure,06:38,Dover Priory,Ashford,cancelled
2010-02-04,Station issue at Paddock Wood,06:25,Paddock Wood,Strood,delayed by 10 minutes
2010-02-04,Staff shortage at Dartford,06:16,Dartford,Cannon St,cancelled
2010-02-04,Staff shortage at Dartford,07:24,Cannon St,Crayford,did not call at New Cross
2010-02-04,Train delayed from depot,06:26,Ramsgate,St Pancras International,delayed by 20 minutes
2010-02-04,Train delayed from depot,06:40,Ramsgate,Charing Cross,did not call at Sevenoaks
2010-02-04,Train delayed from depot,07:08,Dover Priory,Ashford,delayed by 11 minutes
2010-02-04,Train delayed from depot,08:53,Charing Cross,Ashford,delayed by 14 minutes
2010-02-04,Train delayed from depot,08:53,Charing Cross,Ashford,did not call at Orpington
2010-02-04,Train delayed from depot,09:40,Ramsgate,Charing Cross,delayed by 12 minutes
2010-02-04,Awaiting train crew at Ramsgate,06:48,Ramsgate,Charing Cross,delayed by 30 minutes
2010-02-04,Awaiting train crew at Ramsgate,06:48,Ramsgate,Charing Cross,terminated at Tonbridge
2010-02-04,Awaiting train crew at Ramsgate,09:40,Charing Cross,Ramsgate,started at Tonbridge
2010-02-04,Awaiting train crew at Ramsgate,08:52,Victoria,Ramsgate,did not call at Bromley South
2010-02-04,Awaiting train crew at Ramsgate,08:52,Victoria,Ramsgate,delayed by 14 minutes
2010-02-04,Awaiting train crew at Ramsgate,08:58,Victoria,Gillingham,delayed by 10 minutes
2010-02-04,Awaiting train crew at Ramsgate,10:15,Faversham,Dover Priory,delayed by 17 minutes
2010-02-04,Awaiting train crew at Ramsgate,11:05,Dover Priory,Victoria,delayed by 10 minutes
2010-02-04,Technical fault at Ashford,06:07,Victoria,Ashford,delayed by 34 minutes
2010-02-04,Technical fault at Ashford,07:47,Ashford,Victoria,cancelled
2010-02-04,Train fault,07:44,Cannon St,Barnehurst,cancelled
2010-02-04,Train fault,08:38,Barnehurst,Cannon St,cancelled
2010-02-04,Train fault,09:24,Cannon St,Barnehurst,cancelled
2010-02-04,Train fault,10:15,Slade Green,Cannon St,cancelled
2010-02-04,Signal failure,09:03,Ashford,Ramsgate,delayed by 12 minutes
2010-02-04,Passenger alarm activated,13:39,Charing Cross,Gillingham,did not call at Lewisham
2010-02-04,Passenger alarm activated,13:39,Charing Cross,Gillingham,delayed by 11 minutes
2010-02-04,Train crew delayed at Orpington,13:40,Orpington,Victoria,delayed by 13 minutes
