2010-02-06,Delayed from depot,00:48,Charing Cross,Orpington,started at London Bridge and delayed by 11 minutes
2010-02-06,Signal failure at Rochester,00:35,Victoria,Gillingham,delayed by 10 minutes
2010-02-06,Signalling problem,05:36,Sevenoaks,Charing Cross,delayed by 11 minutes
2010-02-06,Track failure at Paddock Wood,07:50,Dover Priory,Charing Cross,delayed by 12 minutes
2010-02-06,Track failure at Paddock Wood,08:00,Charing Cross,Dover Priory,delayed by 10 minutes
2010-02-06,Track failure at Paddock Wood,08:40,Charing Cross,Ramsgate,did not call at Canterbury West and delayed by 16 minutes
2010-02-06,Track failure at Paddock Wood,09:33,Ashford,Canterbury West,delayed by 13 minutes
2010-02-06,Train fault,08:36,Sevenoaks,Charing Cross,cancelled
2010-02-06,Train fault,09:36,Charing Cross,Sevenoaks,started at Grove Park
2010-02-06,Technical problems,08:40,Cannon St,Cannon St,delayed by 13 minutes
2010-02-06,Technical problems,08:45,Cannon St,Cannon St,delayed by 17 minutes and terminated at London Bridge
2010-02-06,Technical problems,08:54,Gillingham,Cannon St,terminated at London Bridge
2010-02-06,Technical problems,09:10,Cannon St,Cannon St,delayed by 12 minutes
2010-02-06,Technical problems,09:20,Hayes,Cannon St,terminated at London Bridge
2010-02-06,Technical problems,09:24,Gillingham,Cannon St,terminated at London Bridge
2010-02-06,Technical problems,09:30,Cannon St,Hayes,delayed by 65 minutes and terminated at London Bridge
2010-02-06,Technical problems,09:33,Orpington,Cannon St,terminated at London Bridge
2010-02-06,Technical problems,09:39,Cannon St,Gillingham,delayed by 15 minutes
2010-02-06,Technical problems,09:45,Cannon St,Cannon St,delayed by 60 minutes and terminated at London Bridge
2010-02-06,Technical problems,09:45,Slade Green,Cannon St,delayed by 14 minutes
2010-02-06,Technical problems,09:50,Cannon St,Orpington,cancelled
2010-02-06,Technical problems,09:50,Hayes,Cannon St,delayed by 17 minutes and terminated at London Bridge
2010-02-06,Technical problems,09:55,Cannon St,Dartford,cancelled
2010-02-06,Technical problems,10:01,Dartford,Cannon St,delayed by 12 minutes
2010-02-06,Technical problems,10:03,Orpington,Cannon St,delayed by 13 minutes
2010-02-06,Technical problems,10:05,Cannon St,Slade Green,delayed by 22 minutes
2010-02-06,Technical problems,10:08,Blackheath,London Bridge,delayed by 12 minutes
2010-02-06,Technical problems,10:09,Cannon St,Gillingham,delayed by 11 minutes
2010-02-06,Technical problems,10:10,Cannon St,Cannon St,started at London Bridge
2010-02-06,Technical problems,10:15,Cannon St,Cannon St,delayed by 18 minutes
2010-02-06,Technical problems,10:20,Hayes,Cannon St,cancelled
2010-02-06,Technical problems,10:20,Cannon St,Orpington,started at London Bridge
2010-02-06,Technical problems,10:25,Cannon St,Dartford,delayed by 16 minutes
2010-02-06,Technical problems,10:30,Cannon St,Hayes,started at London Bridge
2010-02-06,Technical problems,10:33,Orpington,Cannon St,cancelled
2010-02-06,Technical problems,10:35,Cannon St,Slade Green,delayed by 16 minutes
2010-02-06,Technical problems,10:39,Cannon St,Gillingham,started at London Bridge
2010-02-06,Technical problems,10:40,Cannon St,Cannon St,started at London Bridge
2010-02-06,Technical problems,10:45,Cannon St,Cannon St,delayed by 10 minutes
2010-02-06,Technical problems,11:01,Dartford,Cannon St,cancelled
2010-02-06,Technical problems,11:09,Cannon St,Gillingham,started at London Bridge
2010-02-06,Technical problems,11:10,Cannon St,Cannon St,started at Slade Green
2010-02-06,Technical problems,11:15,Slade Green,Cannon St,cancelled
2010-02-06,Technical problems,12:05,Cannon St,Slade Green,cancelled
2010-02-06,Train fault at Cannon Street,11:20,Cannon St,Orpington,delayed by 11 minutes
2010-02-06,Technical fault,10:40,Charing Cross,Ramsgate,delayed by 15 minutes
2010-02-06,Train crew delayed,12:42,St Pancras International,Margate,delayed by 11 minutes
2010-02-06,Planning error,12:39,Cannon St,Gillingham,terminated at Strood
2010-02-06,Train fault,20:17,Charing Cross,Hayes,cancelled
2010-02-06,Train fault,21:14,Hayes,Charing Cross,started at Lewisham
2010-02-06,Train fault,13:01,Dartford,Cannon St,cancelled
