2010-02-15,Signalling issue,05:33,Sittingbourne,Sheerness,delayed by 10 minutes
2010-02-15,Delayed train crew,05:37,Hastings,Cannon St,did not call at Sevenoaks
2010-02-15,Vandalised train,07:28,Orpington,St Johns,cancelled
2010-02-15,Technical problems at Hastings,07:25,Hastings,Cannon St,delayed by 18 minutes
2010-02-15,Technical problems at Hastings,07:29,Charing Cross,Tunbridge Wells,delayed by 20 minutes
2010-02-15,Technical problems at Hastings,07:47,Cannon St,Hastings,delayed by 16 minutes
2010-02-15,Technical problems at Hastings,08:47,Hastings,Charing Cross,terminated at Tonbridge
2010-02-15,Technical problems at Hastings,09:45,Charing Cross,Hastings,delayed by 13 minutes
2010-02-15,Technical problems at Hastings,10:15,Charing Cross,Hastings,delayed by 13 minutes
2010-02-15,Technical problems at Hastings,10:45,Charing Cross,Hastings,started at Tonbridge
2010-02-15,Points failure at Victoria,06:40,Ashford,Victoria,delayed by 31 minutes
2010-02-15,Points failure at Victoria,08:37,Victoria,Ashford,delayed by 22 minutes and did not call at Bromley South
2010-02-15,Technical problems at New Cross,07:41,Cannon St,Cannon St,did not call at Hither Green
2010-02-15,Technical problems at Tunbridge Wells,07:03,Hastings,Charing Cross,delayed by 18 minutes
2010-02-15,Technical problems at Tunbridge Wells,07:15,Charing Cross,Hastings,delayed by 16 minutes
2010-02-15,Technical problems at Tunbridge Wells,09:00,Charing Cross,Tunbridge Wells,delayed by 18 minutes and terminated at Tonbridge
2010-02-15,Train fault at Ashford,08:00,Ashford,Ramsgate,cancelled
2010-02-15,Train fault at Ashford,09:22,Ramsgate,Ashford,started at Dover Priory
2010-02-15,Train fault at Ashford,09:33,Ashford,Canterbury West,cancelled
2010-02-15,Train fault at Ashford,09:47,Ashford,Victoria,delayed by 10 minutes
2010-02-15,Train fault at Ashford,10:35,Canterbury West,Ashford,cancelled
2010-02-15,Fire alarms activated at Charing Cross,10:40,Ramsgate,Charing Cross,delayed by 19 minutes
2010-02-15,Fire alarms activated at Charing Cross,11:32,Hastings,Charing Cross,delayed by 10 minutes and terminated at London Bridge
2010-02-15,Fire alarms activated at Charing Cross,11:51,Tunbridge Wells,Charing Cross,delayed by 20 minutes
2010-02-15,Fire alarms activated at Charing Cross,12:03,Gravesend,Charing Cross,terminated at London Bridge
2010-02-15,Fire alarms activated at Charing Cross,12:06,Sevenoaks,Charing Cross,terminated at London Bridge
2010-02-15,Fire alarms activated at Charing Cross,12:47,Charing Cross,Hayes,delayed by 20 minutes and terminated at New Beckenham
2010-02-15,Fire alarms activated at Charing Cross,12:56,Charing Cross,Gravesend,delayed by 13 minutes and did not call at Greenhithe
2010-02-15,Fire alarms activated at Charing Cross,13:00,Charing Cross,Tunbridge Wells,delayed by 15 minutes
2010-02-15,Fire alarms activated at Charing Cross,13:09,Charing Cross,Gillingham,started at London Bridge
2010-02-15,Fire alarms activated at Charing Cross,13:15,Charing Cross,Hastings,started at London Bridge
2010-02-15,Fire alarms activated at Charing Cross,13:38,Hayes,Charing Cross,started at New Beckenham
2010-02-15,Fire alarms activated at Charing Cross,14:33,Ashford,Canterbury West,delayed by 11 minutes
2010-02-15,Track circuit failure at Ashford,14:40,Charing Cross,Ramsgate,delayed by 17 minutes
2010-02-15,Track circuit failure at Ashford,15:40,Ramsgate,Charing Cross,did not call at Headcorn
2010-02-15,Track circuit failure at Ashford,15:44,Dover Priory,St Pancras International,delayed by 10 minutes
2010-02-15,Track circuit failure at Ashford,18:03,Charing Cross,Ore,delayed by 23 minutes and terminated at Hastings
2010-02-15,Track circuit failure at Ashford,20:05,Ashford,Ramsgate,delayed by 20 minutes
2010-02-15,Train delayed from depot,16:45,Charing Cross,Barnehurst,cancelled
2010-02-15,Train delayed from depot,17:38,Barnehurst,Cannon St,started at Lewisham
2010-02-15,Train delayed from depot,17:40,Ramsgate,Charing Cross,delayed by 13 minutes
2010-02-15,Train delayed from depot,18:25,Cannon St,Crayford,delayed by 10 minutes
2010-02-15,Train delayed from depot,18:33,Ashford,Canterbury West,delayed by 16 minutes
2010-02-15,Train delayed from depot,18:35,Canterbury West,Ashford,delayed by 10 minutes
2010-02-15,Train delayed from depot,19:51,Tunbridge Wells,Charing Cross,delayed by 12 minutes
2010-02-15,Technical problem,16:38,Blackfriars,Ashford,delayed by 23 minutes
2010-02-15,Bridge strike,16:02,Sevenoaks,Blackfriars,delayed by 10 minutes
2010-02-15,Bridge strike,16:22,Blackfriars,Rochester,delayed by 10 minutes
2010-02-15,Bridge strike,17:52,Cannon St,Ramsgate,did not call at Herne Bay
2010-02-15,Technical fault at Ramsgate,17:22,Ramsgate,Ashford,cancelled
2010-02-15,Delayed following late running train,19:29,Ashford,Canterbury West,delayed by 13 minutes
2010-02-15,Train fault at Orpington,18:03,Orpington,Cannon St,cancelled
2010-02-15,Train fault at Orpington,18:48,Cannon St,Orpington,cancelled
2010-02-15,Police presence required at Bromley South,20:22,Victoria,Ramsgate,delayed by 14 minutes
2010-02-15,Police presence required at Bromley South,21:45,Faversham,Dover Priory,delayed by 11 minutes
2010-02-15,Train problems at Sevenoaks,19:06,Sevenoaks,Charing Cross,started at Orpington and delayed by 10 minutes
2010-02-15,Track circuit failure,22:04,Ramsgate,Victoria,delayed by 59 minutes
2010-02-15,Track circuit failure,22:45,Dover Priory,Victoria,delayed by 35 minutes
