2010-02-22,Delayed train crew at Tonbridge,04:56,Tonbridge,Charing Cross,delayed by 30 minutes and did not call at Sevenoaks
2010-02-22,Staff shortage at Dartford,06:40,Dartford,Charing Cross,cancelled
2010-02-22,Staff shortage at Dartford,07:39,Charing Cross,Gillingham,started at Dartford
2010-02-22,Train fault,06:28,Swanley,Sevenoaks,delayed by 12 minutes
2010-02-22,Train fault at Charing Cross,07:00,Charing Cross,Tunbridge Wells,cancelled
2010-02-22,Technical fault at Faversham,07:00,Broadstairs,St Pancras International,delayed by 20 minutes
2010-02-22,Technical fault at Faversham,07:41,Cannon St,Cannon St,delayed by 10 minutes
2010-02-22,Train fault,11:02,Charing Cross,Dartford,cancelled
2010-02-22,Station issue,08:56,Cannon St,Dartford,delayed by 10 minutes
2010-02-22,Technical problems,11:08,Dartford,Victoria,delayed by 10 minutes
2010-02-22,Delayed staff at Ramsgate,07:40,Ramsgate,Charing Cross,delayed by 18 minutes and terminated at Orpington
2010-02-22,Delayed staff at Ramsgate,08:47,Hastings,Charing Cross,delayed by 16 minutes
2010-02-22,Delayed staff at Ramsgate,10:06,Sevenoaks,Charing Cross,delayed by 14 minutes and did not call at Hither Green
2010-02-22,Delayed staff at Ramsgate,11:06,Charing Cross,Sevenoaks,delayed by 16 minutes
2010-02-22,Delayed staff at Ramsgate,12:01,Dartford,Cannon St,delayed by 12 minutes
2010-02-22,Delayed staff at Ramsgate,17:50,Ramsgate,Charing Cross,delayed by 12 minutes
2010-02-22,Technical fault at Tunbridge Wells,09:51,Tunbridge Wells,Charing Cross,delayed by 10 minutes
2010-02-22,Technical fault at Tunbridge Wells,11:00,Charing Cross,Tunbridge Wells,delayed by 12 minutes
2010-02-22,Station issue at Cannon Street,09:54,Cannon St,Barnehurst,delayed by 10 minutes
2010-02-22,Train fault at Tunbridge Wells,08:22,Tunbridge Wells,Charing Cross,cancelled
2010-02-22,Train fault at Tunbridge Wells,09:30,Charing Cross,Tunbridge Wells,started at Orpington
2010-02-22,Passenger alarm activated,07:40,Ramsgate,Charing Cross,delayed by 19 minutes
2010-02-22,Passenger alarm activated,08:40,Ramsgate,Charing Cross,delayed by 11 minutes
2010-02-22,Passenger alarm activated,08:47,Hastings,Charing Cross,terminated at London Bridge
2010-02-22,Passenger alarm activated,10:40,Charing Cross,Ramsgate,cancelled
2010-02-22,Passenger alarm activated,10:45,Charing Cross,Hastings,started at London Bridge
2010-02-22,Passenger alarm activated,12:03,Ashford,Ramsgate,cancelled
2010-02-22,Track circuit failure,10:07,Cannon St,Slade Green,delayed by 10 minutes
2010-02-22,Track circuit failure,12:32,Hastings,Charing Cross,delayed by 17 minutes
2010-02-22,Flooding at Crowhurst,11:45,Charing Cross,Hastings,terminated at Ravensbourne
2010-02-22,Flooding at Crowhurst,12:15,Charing Cross,Hastings,terminated at Ravensbourne
2010-02-22,Flooding at Crowhurst,12:45,Charing Cross,Hastings,terminated at Tunbridge Wells
2010-02-22,Flooding at Crowhurst,12:50,Hastings,Charing Cross,terminated at West St Leonards
2010-02-22,Flooding at Crowhurst,13:15,Charing Cross,Hastings,terminated at Tunbridge Wells
2010-02-22,Flooding at Crowhurst,13:24,Dover Priory,Charing Cross,delayed by 11 minutes
2010-02-22,Flooding at Crowhurst,13:32,Hastings,Charing Cross,cancelled
2010-02-22,Flooding at Crowhurst,13:45,Charing Cross,Hastings,terminated at Ravensbourne
2010-02-22,Flooding at Crowhurst,13:50,Hastings,Charing Cross,started at Ravensbourne
2010-02-22,Flooding at Crowhurst,14:32,Hastings,Charing Cross,cancelled
2010-02-22,Flooding at Crowhurst,14:45,Charing Cross,Hastings,cancelled
2010-02-22,Flooding at Crowhurst,14:50,Hastings,Charing Cross,cancelled
2010-02-22,Flooding at Crowhurst,15:15,Charing Cross,Hastings,cancelled
2010-02-22,Flooding at Crowhurst,15:24,Cannon St,Barnehurst,delayed by 13 minutes
2010-02-22,Flooding at Crowhurst,15:30,Charing Cross,Tunbridge Wells,started at Tonbridge and delayed by 13 minutes
2010-02-22,Flooding at Crowhurst,15:32,Hastings,Charing Cross,started at Tonbridge
2010-02-22,Flooding at Crowhurst,15:45,Charing Cross,Hastings,delayed by 29 minutes
2010-02-22,Flooding at Crowhurst,15:45,Hastings,Cannon St,cancelled
2010-02-22,Flooding at Crowhurst,15:51,Tunbridge Wells,Charing Cross,delayed by 11 minutes and did not call at Sevenoaks
2010-02-22,Flooding at Crowhurst,16:15,Charing Cross,Hastings,cancelled
2010-02-22,Flooding at Crowhurst,16:19,Hastings,Charing Cross,started at Tonbridge
2010-02-22,Flooding at Crowhurst,16:41,Charing Cross,Hastings,cancelled
2010-02-22,Flooding at Crowhurst,16:50,Hastings,Charing Cross,cancelled
2010-02-22,Flooding at Crowhurst,16:53,Tunbridge Wells,Charing Cross,delayed by 14 minutes
2010-02-22,Flooding at Crowhurst,17:02,Cannon St,Hastings,delayed by 11 minutes
2010-02-22,Flooding at Crowhurst,17:18,Hastings,Charing Cross,started at Tunbridge Wells
2010-02-22,Flooding at Crowhurst,17:37,Cannon St,Hastings,terminated at Tunbridge Wells
2010-02-22,Flooding at Crowhurst,17:45,Cannon St,Ramsgate,cancelled
2010-02-22,Flooding at Crowhurst,17:50,Hastings,Charing Cross,started at Ravensbourne and delayed by 32 minutes
2010-02-22,Flooding at Crowhurst,18:03,Charing Cross,Ore,delayed by 13 minutes
2010-02-22,Flooding at Crowhurst,18:19,Hastings,Charing Cross,delayed by 18 minutes and did not call at Sevenoaks
2010-02-22,Flooding at Crowhurst,18:28,Cannon St,Hastings,terminated at Tunbridge Wells
2010-02-22,Flooding at Crowhurst,18:33,Tunbridge Wells,Hastings,cancelled
2010-02-22,Flooding at Crowhurst,18:46,Hastings,Charing Cross,delayed by 17 minutes and did not call at Sevenoaks
2010-02-22,Flooding at Crowhurst,19:04,Cannon St,Hastings,delayed by 11 minutes
2010-02-22,Flooding at Crowhurst,19:29,Ashford,Canterbury West,delayed by 12 minutes
2010-02-22,Flooding at Crowhurst,19:45,Charing Cross,Hastings,started at London Bridge
2010-02-22,Flooding at Crowhurst,20:15,Charing Cross,Hastings,delayed by 14 minutes
2010-02-22,Flooding at Crowhurst,20:50,Hastings,Charing Cross,did not call at Sevenoaks
2010-02-22,Points failure,16:55,Hither Green,Charing Cross,cancelled
2010-02-22,Train shortage,16:08,Barnehurst,Cannon St,cancelled
2010-02-22,Train shortage,16:54,Cannon St,Dartford,cancelled
2010-02-22,Train shortage,17:26,Charing Cross,Orpington,cancelled
2010-02-22,Train shortage,18:01,Dartford,Cannon St,cancelled
2010-02-22,Train shortage,18:54,Cannon St,Barnehurst,cancelled
2010-02-22,Train shortage,18:57,Cannon St,Dartford,cancelled
2010-02-22,Train fault,15:03,Ashford,Ramsgate,delayed by 10 minutes
2010-02-22,Technical fault,15:06,Sevenoaks,Charing Cross,delayed by 12 minutes
