2010-02-24,Following delayed train,06:07,Tonbridge,Ore,delayed by 14 minutes
2010-02-24,Train late from depot,06:40,Ramsgate,Charing Cross,delayed by 11 minutes
2010-02-24,Train fault,06:51,Broadstairs,Cannon St,delayed by 12 minutes
2010-02-24,Train late from depot,07:00,Broadstairs,St Pancras International,delayed by 11 minutes
2010-02-24,Staff shortage,06:13,Dartford,Victoria,cancelled
2010-02-24,Train fault at Victoria,07:09,Victoria,Dartford,cancelled
2010-02-24,Technical problems at Lee,10:33,Gravesend,Charing Cross,terminated at Lee
2010-02-24,Technical problems at Lee,11:39,Charing Cross,Gillingham,cancelled
2010-02-24,Signalling issue,14:28,St Pancras International,Faversham,delayed by 15 minutes
2010-02-24,Train fault at Charing Cross,15:00,Charing Cross,Tunbridge Wells,delayed by 12 minutes
2010-02-24,Train fault at Faversham,14:45,Dover Priory,Victoria,terminated at Faversham
2010-02-24,Technical fault at Ashford,15:10,Charing Cross,Ramsgate,terminated at Ashford
2010-02-24,Technical fault at Ashford,17:50,Ramsgate,Charing Cross,started at Ashford
2010-02-24,Train fault at Slade Green,16:44,Slade Green,Cannon St,cancelled
2010-02-24,Train fault at Slade Green,20:05,Dover Priory,Victoria,delayed by 12 minutes
2010-02-24,Train fault at Slade Green,20:07,Ramsgate,Faversham,delayed by 11 minutes
2010-02-24,Station issue,18:03,Gravesend,Charing Cross,delayed by 12 minutes
2010-02-24,Station issue,19:09,Charing Cross,Gillingham,started at London Bridge
2010-02-24,Signalling problem,18:45,Sevenoaks,Victoria,delayed by 15 minutes
2010-02-24,Signalling problem,19:21,Tunbridge Wells,Charing Cross,delayed by 14 minutes
2010-02-24,Signalling problem,19:29,Ashford,Canterbury West,delayed by 11 minutes
2010-02-24,Train fault,19:29,Ashford,Canterbury West,delayed by 10 minutes
2010-02-24,Train fault - door problems,17:02,Sevenoaks,Blackfriars,delayed by 17 minutes
2010-02-24,Train fault - door problems,17:32,Sevenoaks,Blackfriars,delayed by 17 minutes
2010-02-24,Train fault - door problems,19:14,Blackfriars,Sevenoaks,delayed by 28 minutes and terminated at St Johns
2010-02-24,Train fault - door problems,21:32,Sevenoaks,Victoria,delayed by 23 minutes
2010-02-24,Train fault - door problems,22:02,Sevenoaks,Victoria,started at Bickley
2010-02-24,Signalling issue at London Bridge,15:50,Ramsgate,Charing Cross,delayed by 11 minutes
2010-02-24,Signalling issue at London Bridge,16:50,Hastings,Charing Cross,delayed by 15 minutes
2010-02-24,Signalling issue at London Bridge,17:24,Gillingham,Charing Cross,delayed by 15 minutes
2010-02-24,Signalling issue at London Bridge,17:33,Gravesend,Charing Cross,delayed by 14 minutes
2010-02-24,Signalling issue at London Bridge,17:35,Sevenoaks,Charing Cross,delayed by 10 minutes
2010-02-24,Signalling issue at London Bridge,17:52,Dartford,Charing Cross,delayed by 13 minutes
2010-02-24,Signalling issue at London Bridge,18:34,Charing Cross,Dartford,delayed by 13 minutes
2010-02-24,Signalling issue at London Bridge,18:37,Charing Cross,Strood,delayed by 10 minutes
2010-02-24,Signalling issue at London Bridge,18:39,Charing Cross,Barnehurst,delayed by 12 minutes
2010-02-24,Signalling issue at London Bridge,18:47,Charing Cross,Gillingham,delayed by 12 minutes
2010-02-24,Signalling issue at London Bridge,18:56,Charing Cross,Gravesend,delayed by 10 minutes and terminated at Dartford
2010-02-24,Signalling issue at London Bridge,19:44,Hayes,Charing Cross,delayed by 13 minutes
2010-02-24,Signalling issue at London Bridge,20:36,Charing Cross,Sevenoaks,delayed by 11 minutes
