2010-03-01,Emergency speed restriction,07:19,Strood,Cannon St,started at Dartford
2010-03-01,Train fault at Hastings,06:12,Ore,Charing Cross,started at Hastings
2010-03-01,Train fault at Abbey Wood,05:24,Gillingham,Charing Cross,terminated at Slade Green
2010-03-01,Train fault at Abbey Wood,05:54,Gillingham,Charing Cross,did not call at Woolwich Dockyard
2010-03-01,Train fault at Abbey Wood,06:01,Dartford,Charing Cross,delayed by 26 minutes
2010-03-01,Train fault at Abbey Wood,06:16,Dartford,Cannon St,did not call at Slade Green
2010-03-01,Train fault at Abbey Wood,06:56,Charing Cross,Gravesend,cancelled
2010-03-01,Train fault at Abbey Wood,07:02,Charing Cross,Crayford,cancelled
2010-03-01,Train fault at Abbey Wood,07:52,Crayford,Cannon St,cancelled
2010-03-01,Train fault at Abbey Wood,08:06,Gravesend,Cannon St,started at Slade Green
2010-03-01,Train fault at Ramsgate,06:59,Ramsgate,Cannon St,did not call at Broadstairs
2010-03-01,Technical fault at Hither Green,07:06,Charing Cross,Sevenoaks,terminated at Hither Green
2010-03-01,Technical fault at Hither Green,08:17,Sevenoaks,Cannon St,cancelled
2010-03-01,Technical problems,07:45,Sittingbourne,Sheerness,delayed by 10 minutes
2010-03-01,Train fault,07:56,Dartford,Victoria,delayed by 13 minutes
2010-03-01,Train fault,08:00,Barnehurst,Charing Cross,delayed by 14 minutes
2010-03-01,Train fault,08:02,Dartford,Charing Cross,delayed by 10 minutes
2010-03-01,Train fault,08:44,Charing Cross,Hayes,cancelled
2010-03-01,Train fault,08:56,Cannon St,Dartford,delayed by 12 minutes and did not call at Greenwich
2010-03-01,Train fault,09:38,Hayes,Charing Cross,started at New Beckenham
2010-03-01,Train fault,09:40,Ramsgate,Charing Cross,delayed by 14 minutes
2010-03-01,Train fault,10:21,Tunbridge Wells,Charing Cross,delayed by 12 minutes
2010-03-01,Train fault,10:33,Ashford,Canterbury West,delayed by 25 minutes
2010-03-01,Train fault,08:58,Blackfriars,Sevenoaks,cancelled
2010-03-01,Train fault,11:02,Sevenoaks,Blackfriars,cancelled
2010-03-01,Station issue,11:25,St Pancras International,Faversham,delayed by 13 minutes
2010-03-01,Track circuit failure,18:42,Victoria,Ashford,delayed by 11 minutes
2010-03-01,Flooding,15:12,St Pancras International,Dover Priory,terminated at Ashford
2010-03-01,Flooding,15:50,Ramsgate,Charing Cross,did not call at Deal
2010-03-01,Flooding,16:44,Dover Priory,St Pancras International,started at Ashford
2010-03-01,Train fault,16:09,Blackfriars,Orpington,cancelled
2010-03-01,Animal stuck on the line,15:47,Ashford,Victoria,terminated at Maidstone East
2010-03-01,Animal stuck on the line,17:42,Victoria,Ashford,cancelled
2010-03-01,Train late from depot,17:50,Hastings,Charing Cross,delayed by 10 minutes
2010-03-01,Train late from depot,18:33,Tunbridge Wells,Hastings,delayed by 11 minutes
2010-03-01,Train late from depot,19:40,Charing Cross,Ramsgate,delayed by 14 minutes
2010-03-01,Train late from depot,19:45,Charing Cross,Hastings,delayed by 12 minutes
2010-03-01,Train late from depot,21:03,Ashford,Ramsgate,delayed by 22 minutes
2010-03-01,Train late from depot,22:22,Ramsgate,Ashford,delayed by 13 minutes
2010-03-01,Technical problems at Victoria,17:45,Victoria,Orpington,cancelled
2010-03-01,Technical problems at Tonbridge,18:03,Charing Cross,Ore,terminated at Hastings
2010-03-01,Technical problems at Tonbridge,18:19,Tunbridge Wells,Charing Cross,cancelled
2010-03-01,Technical problems at Tonbridge,18:28,Cannon St,Hastings,delayed by 11 minutes
2010-03-01,Technical problems at Tonbridge,18:40,Ramsgate,Charing Cross,delayed by 10 minutes
2010-03-01,Train fault,17:44,Kent House,Sevenoaks,delayed by 13 minutes
2010-03-01,Train fault,18:18,Victoria,Ashford,delayed by 12 minutes
2010-03-01,Train fault,20:17,Ashford,Victoria,delayed by 20 minutes
2010-03-01,Train fault at Sidcup,16:39,Sidcup,Cannon St,cancelled
2010-03-01,Train fault at Sidcup,17:19,Cannon St,Sevenoaks,started at London Bridge
2010-03-01,Object on the line,19:54,Gillingham,Charing Cross,delayed by 11 minutes
2010-03-01,Object on the line,20:24,Gillingham,Charing Cross,did not call at Woolwich Dockyard
2010-03-01,Object on the line,20:27,Cannon St,Dartford,delayed by 10 minutes
2010-03-01,Object on the line,20:46,Dartford,London Bridge,delayed by 10 minutes
2010-03-01,Train fault at Tonbridge,17:01,Charing Cross,Tunbridge Wells,terminated at Tonbridge
2010-03-01,Train fault at Tonbridge,18:40,Orpington,Victoria,cancelled
2010-03-01,Train fault at Tonbridge,19:30,Charing Cross,Tunbridge Wells,started at Orpington
2010-03-01,Train fault,18:08,Cannon St,Ramsgate,terminated at Dover Priory
2010-03-01,Train fault,20:05,Ashford,Ramsgate,cancelled
2010-03-01,Delayed train crew,21:24,Dover Priory,Charing Cross,delayed by 10 minutes
2010-03-01,Passenger taken ill,23:09,Charing Cross,Gillingham,delayed by 14 minutes
2010-03-01,Signalling issue,23:55,St Pancras International,Faversham,delayed by 20 minutes
