2010-03-09,Train fault at Orpington,04:55,Orpington,City Thameslink,did not call at Shortlands and delayed by 30 minutes
2010-03-09,Train late from depot,06:40,Beckenham Junction,Victoria,delayed by 10 minutes
2010-03-09,Train late from depot,07:10,Victoria,Orpington,did not call at Brixton and delayed by 10 minutes
2010-03-09,Signalling failure,06:22,Sittingbourne,Sheerness,cancelled
2010-03-09,Signalling failure,06:46,Sheerness,Sittingbourne,cancelled
2010-03-09,Signalling failure,07:09,Sittingbourne,Sheerness,cancelled
2010-03-09,Signalling failure,07:35,Sheerness,Sittingbourne,cancelled
2010-03-09,Signalling failure,08:09,Sittingbourne,Sheerness,cancelled
2010-03-09,Technical fault at Ramsgate,06:10,Ramsgate,Cannon St,did not call at Headcorn and delayed by 25 minutes
2010-03-09,Technical fault at Ramsgate,06:48,Ramsgate,Charing Cross,delayed by 14 minutes and terminated at Tonbridge
2010-03-09,Technical fault at Ramsgate,06:51,Broadstairs,Cannon St,delayed by 10 minutes
2010-03-09,Technical fault at Ramsgate,09:40,Charing Cross,Ramsgate,started at Tonbridge
2010-03-09,Train fault at Slade Green,06:56,Slade Green,Charing Cross,cancelled
2010-03-09,Signalling failure,06:40,Ramsgate,Charing Cross,delayed by 13 minutes
2010-03-09,Signalling failure,06:44,Margate,St Pancras International,delayed by 16 minutes
2010-03-09,Signalling failure,08:53,Charing Cross,Ashford,did not call at Orpington and delayed by 24 minutes
2010-03-09,Signalling failure,09:13,Charing Cross,Dover Priory,delayed by 10 minutes
2010-03-09,Signalling failure,10:33,Ashford,Canterbury West,delayed by 19 minutes
2010-03-09,Train fault,06:40,Blackfriars,Orpington,cancelled
2010-03-09,Train fault,08:47,Orpington,Kent House,cancelled
2010-03-09,Train fault,09:54,Kent House,Sevenoaks,delayed by 11 minutes
2010-03-09,Heavy passenger loading,08:11,Charing Cross,Gillingham,did not call at Lewisham
2010-03-09,Under investigation,06:59,Ramsgate,Cannon St,delayed by 12 minutes
2010-03-09,Under investigation,07:19,Ramsgate,Cannon St,delayed by 17 minutes
2010-03-09,Under investigation,07:25,Hastings,Cannon St,delayed by 12 minutes
2010-03-09,Under investigation,07:41,Cannon St,Cannon St,delayed by 10 minutes
2010-03-09,Under investigation,08:12,Crayford,Cannon St,delayed by 10 minutes
2010-03-09,Under investigation,08:17,Sevenoaks,Cannon St,delayed by 11 minutes
2010-03-09,Under investigation,08:23,Hayes,Cannon St,delayed by 12 minutes
2010-03-09,Under investigation,08:29,Crayford,Cannon St,delayed by 13 minutes
2010-03-09,Under investigation,08:38,Barnehurst,Cannon St,delayed by 14 minutes
2010-03-09,Under investigation,08:51,Cannon St,Orpington,delayed by 16 minutes
2010-03-09,Under investigation,08:55,Charing Cross,Gravesend,delayed by 16 minutes and terminated at Dartford
2010-03-09,Under investigation,08:56,Cannon St,Dartford,delayed by 14 minutes
2010-03-09,Under investigation,09:09,Cannon St,Cannon St,delayed by 19 minutes
2010-03-09,Under investigation,09:18,Cannon St,Orpington,delayed by 15 minutes
2010-03-09,Under investigation,09:50,Cannon St,Orpington,delayed by 13 minutes
2010-03-09,Under investigation,09:52,Dartford,Charing Cross,delayed by 13 minutes and terminated at London Bridge
2010-03-09,Under investigation,10:03,Gravesend,Charing Cross,started at Dartford
2010-03-09,Under investigation,10:33,Orpington,Cannon St,did not call at Lewisham
2010-03-09,Under investigation,10:47,Cannon St,Cannon St,did not call at Greenwich
2010-03-09,Under investigation,10:47,Charing Cross,Hayes,started at London Bridge
2010-03-09,Under investigation,11:38,Dartford,Victoria,delayed by 16 minutes
2010-03-09,Train late from depot,07:40,Ramsgate,Charing Cross,delayed by 11 minutes
2010-03-09,Points failure,07:41,Ore,Charing Cross,did not call at Sevenoaks and delayed by 21 minutes
2010-03-09,Points failure,08:00,Charing Cross,Tunbridge Wells,delayed by 15 minutes
2010-03-09,Points failure,08:51,Tunbridge Wells,Charing Cross,delayed by 18 minutes
2010-03-09,Points failure,09:21,Tunbridge Wells,Charing Cross,delayed by 11 minutes
2010-03-09,Points failure,09:45,Charing Cross,Hastings,did not call at Orpington and delayed by 11 minutes
2010-03-09,Points failure,10:00,Charing Cross,Tunbridge Wells,did not call at Orpington and delayed by 16 minutes
2010-03-09,Train fault at London Bridge,08:05,Charing Cross,Sevenoaks,terminated at Orpington
2010-03-09,Train fault at London Bridge,09:06,Sevenoaks,Charing Cross,started at Orpington
2010-03-09,Train fault at London Bridge,09:33,Ashford,Canterbury West,delayed by 11 minutes
2010-03-09,Train fault at London Bridge,10:50,Hastings,Charing Cross,did not call at Orpington
2010-03-09,Train fault,09:08,Barnehurst,Cannon St,cancelled
2010-03-09,Train fault,09:54,Cannon St,Barnehurst,delayed by 18 minutes
2010-03-09,Depot issue,08:36,Cannon St,Slade Green,delayed by 12 minutes
2010-03-09,Driver error,09:00,Charing Cross,Tunbridge Wells,delayed by 10 minutes
2010-03-09,Driver error,09:02,Charing Cross,Dartford,delayed by 11 minutes
2010-03-09,Train fault,12:56,Kent House,Sevenoaks,delayed by 19 minutes and missed Peckham Rye
2010-03-09,Train fault,10:56,Blackfriars,Sevenoaks,delayed by 10 minutes
2010-03-09,Train fault,12:32,Sevenoaks,Kent House,cancelled
2010-03-09,Staff Shortage,11:17,Cannon St,Cannon St,terminated at Slade Green
2010-03-09,Staff Shortage,13:00,Cannon St,Hayes,cancelled
2010-03-09,Staff Shortage,13:22,Dartford,Charing Cross,cancelled
2010-03-09,Staff Shortage,13:50,Hayes,Cannon St,cancelled
2010-03-09,Staff Shortage,14:17,Charing Cross,Hayes,started at London Bridge
2010-03-09,Track circuit failure at Hastings,14:50,Hastings,Charing Cross,delayed by 25 minutes and terminated at Tonbridge
2010-03-09,Track circuit failure at Hastings,16:41,Charing Cross,Hastings,started at Tunbridge Wells
2010-03-09,Track circuit failure at Hastings,16:50,Hastings,Charing Cross,delayed by 10 minutes
2010-03-09,Track circuit failure at Hastings,17:21,Tunbridge Wells,Charing Cross,did not call at Sevenoaks and delayed by 15 minutes
2010-03-09,Track circuit failure at Hastings,18:45,Charing Cross,Hastings,delayed by 10 minutes
2010-03-09,Passenger alarm activated,18:40,Maidstone East,Victoria,delayed by 11 minutes
2010-03-09,Train fault at Tonbridge,19:40,Ramsgate,Charing Cross,delayed by 10 minutes
2010-03-09,Train fault at Orpington,22:10,Orpington,Victoria,delayed by 12 minutes
