2010-03-12,Technical fault,04:51,Tonbridge,Ramsgate,delayed by 14 minutes
2010-03-12,Fire at Cannon Street,07:48,Gravesend,Cannon St,terminated at London Bridge
2010-03-12,Fire at Cannon Street,07:52,Crayford,Cannon St,terminated at London Bridge
2010-03-12,Fire at Cannon Street,08:14,Barnehurst,Cannon St,terminated at London Bridge
2010-03-12,Fire at Cannon Street,08:40,Slade Green,Charing Cross,delayed by 11 minutes
2010-03-12,Fire at Cannon Street,08:43,Orpington,Cannon St,delayed by 11 minutes
2010-03-12,Fire at Cannon Street,08:51,Cannon St,Orpington,delayed by 15 minutes
2010-03-12,Fire at Cannon Street,08:51,Charing Cross,Orpington,delayed by 10 minutes
2010-03-12,Fire at Cannon Street,08:56,Cannon St,Dartford,did not call at Woolwich Dockyard and delayed by 31 minutes
2010-03-12,Fire at Cannon Street,09:02,Charing Cross,Dartford,delayed by 10 minutes
2010-03-12,Fire at Cannon Street,09:13,Charing Cross,Dover Priory,did not call at Headcorn
2010-03-12,Fire at Cannon Street,10:21,Tunbridge Wells,Charing Cross,delayed by 10 minutes and terminated at London Bridge
2010-03-12,Fire at Cannon Street,10:36,Charing Cross,Sevenoaks,terminated at Orpington
2010-03-12,Fire at Cannon Street,11:30,Charing Cross,Tunbridge Wells,started at London Bridge
2010-03-12,Fire at Cannon Street,11:36,Sevenoaks,Charing Cross,started at Orpington
2010-03-12,Passenger disruption,09:09,Cannon St,Cannon St,delayed by 10 minutes
2010-03-12,Passenger disruption,09:18,Cannon St,Orpington,delayed by 11 minutes
2010-03-12,Train crew delayed,09:54,Blackfriars ,Sevenoaks,delayed by 13 minutes
2010-03-12,Track circuit failure,18:58,Faversham,St Pancras International,delayed by 10 minutes
2010-03-12,Track circuit failure,20:05,Dover Priory,Victoria,did not call at Sittingbourne and delayed by 20 minutes
2010-03-12,Track circuit failure,20:07,Ramsgate,Faversham,delayed by 17 minutes
2010-03-12,Driver error,16:08,Barnehurst,Cannon St,cancelled
2010-03-12,Staff shortage,17:10,Sittingbourne,Sheerness,cancelled
2010-03-12,Staff shortage,17:32,Sheerness,Sittingbourne,cancelled
2010-03-12,Trespasser on the line,17:57,Victoria,Ramsgate,delayed by 11 minutes
2010-03-12,Track circuit failure,17:45,Cannon St,Ramsgate,delayed by 12 minutes
2010-03-12,Track circuit failure,18:40,Ramsgate,Charing Cross,delayed by 43 minutes
2010-03-12,Track circuit failure,18:40,Ramsgate,Charing Cross,terminated at Ashford
2010-03-12,Track circuit failure,18:52,Ashford,Margate,terminated at Ramsgate
2010-03-12,Track circuit failure,18:53,Margate,St Pancras International,did not call at Ebbsfleet International and delayed by 29 minutes
2010-03-12,Track circuit failure,19:22,Ashford,Margate,delayed by 14 minutes
2010-03-12,Track circuit failure,19:29,Ashford,Canterbury West,cancelled
2010-03-12,Track circuit failure,19:35,Canterbury West,Ashford,cancelled
2010-03-12,Track circuit failure,19:54,Margate,St Pancras International,started at Ramsgate and delayed by 12 minutes
2010-03-12,Track circuit failure,20:24,Dover Priory,Charing Cross,delayed by 21 minutes
2010-03-12,Track circuit failure,20:30,Charing Cross,Tunbridge Wells,terminated at Tonbridge
2010-03-12,Track circuit failure,20:35,Canterbury West,Ashford,cancelled
2010-03-12,Track circuit failure,20:41,Ramsgate,Charing Cross,delayed by 12 minutes
2010-03-12,Track circuit failure,21:10,Charing Cross,Dover Priory,started at Ashford
2010-03-12,Passenger disorder at Ramsgate,18:41,Charing Cross,Ramsgate,delayed by 16 minutes
2010-03-12,Passenger disorder at Ramsgate,19:42,St Pancras International,Margate,delayed by 17 minutes
2010-03-12,Passenger disorder at Ramsgate,20:53,Margate,St Pancras International,delayed by 17 minutes
2010-03-12,Passenger disorder at Ramsgate,21:04,Ramsgate,Faversham,delayed by 21 minutes
2010-03-12,Passenger disorder at Ramsgate,21:05,Dover Priory,Victoria,delayed by 15 minutes
2010-03-12,Passenger disorder at Ramsgate,21:22,Ramsgate,Tonbridge,delayed by 11 minutes
2010-03-12,Passenger disorder at Ramsgate,21:35,Canterbury West,Ashford,delayed by 10 minutes
