2010-03-17,Train fault at Strood,06:35,Strood,Paddock Wood,cancelled
2010-03-17,Train fault at Strood,07:40,Paddock Wood,Strood,cancelled
2010-03-17,Train fault at Grove Park,07:51,Sidcup,Charing Cross,started at Hither Green
2010-03-17,Train fault at Grove Park,08:00,Barnehurst,Charing Cross,cancelled
2010-03-17,Train fault at Grove Park,08:44,Charing Cross,Hayes,cancelled
2010-03-17,Train fault at Grove Park,09:38,Hayes,Charing Cross,cancelled
2010-03-17,Train fault at Grove Park,10:32,Charing Cross,Dartford,cancelled
2010-03-17,Technical problems at Ashford,08:10,St Pancras International,Dover Priory,delayed by 14 minutes
2010-03-17,Technical problems at Ashford,08:22,St Pancras International,Faversham,delayed by 11 minutes
2010-03-17,Signalling issue,07:19,Ramsgate,Cannon St,delayed by 13 minutes
2010-03-17,Train fault,08:42,Kent House,Blackfriars,delayed by 10 minutes
2010-03-17,Bridge strike at Shortlands,11:45,Dover Priory,Victoria,delayed by 15 minutes and did not call at Bromley South
2010-03-17,Bridge strike at Shortlands,12:40,Orpington,Victoria,did not call at Beckenham Junction and delayed by 34 minutes
2010-03-17,Bridge strike at Shortlands,13:40,Victoria,Orpington,did not call at Brixton and delayed by 14 minutes
2010-03-17,Bridge strike at Shortlands,13:52,Victoria,Ramsgate,did not call at Bromley South
2010-03-17,Bridge strike at Shortlands,15:15,Faversham,Dover Priory,did not call at Shepherdswell
2010-03-17,Police assistance require at Ramsgate,12:40,Ramsgate,Charing Cross,delayed by 13 minutes and did not call at Pluckley
2010-03-17,Bridge strike at Kidbrooke,13:08,Dartford,Victoria,delayed by 16 minutes
2010-03-17,Bridge strike at Kidbrooke,13:09,Victoria,Dartford,""
2010-03-17,Bridge strike at Kidbrooke,13:24,Cannon St,Barnehurst,""
2010-03-17,Bridge strike at Kidbrooke,14:17,Charing Cross,Hayes,delayed by 10 minutes and terminated at Elmers End
2010-03-17,Bridge strike at Kidbrooke,15:08,Dartford,Victoria,started at Barnehurst
2010-03-17,Bridge strike at Kidbrooke,15:08,Hayes,Charing Cross,started at Clock House
2010-03-17,Bridge strike at Denmark Hill,11:45,Dover Priory,Victoria,delayed by 24 minutes
2010-03-17,Bridge strike at Denmark Hill,13:02,Sevenoaks,Kent House,delayed by 12 minutes
2010-03-17,Bridge strike at Denmark Hill,13:52,Victoria,Ramsgate,delayed by 30 minutes
2010-03-17,Bridge strike at Denmark Hill,13:58,Victoria,Gillingham,delayed by 27 minutes
2010-03-17,Bridge strike at Denmark Hill,14:09,Victoria,Dartford,cancelled
2010-03-17,Bridge strike at Denmark Hill,15:15,Faversham,Dover Priory,delayed by 17 minutes
2010-03-17,Bridge strike at Denmark Hill,16:04,Ramsgate,Faversham,delayed by 10 minutes and did not call at Westcombe Park
2010-03-17,Driver issue,15:32,Sevenoaks,Beckenham Junction,delayed by 23 minutes and missed Bat And Ball
2010-03-17,Passenger assault,15:30,Cannon St,Hayes,terminated at London Bridge
2010-03-17,Passenger assault,16:20,Hayes,Cannon St,cancelled
2010-03-17,Passenger assault,18:37,Charing Cross,Strood,did not call at London Bridge
2010-03-17,Points failure at Ramsgate,15:42,St Pancras International,Margate,terminated at Ramsgate
2010-03-17,Points failure at Ramsgate,16:34,Ramsgate,Faversham,delayed by 25 minutes and terminated at Margate
2010-03-17,Points failure at Ramsgate,16:39,Dover Priory,Victoria,delayed by 14 minutes and did not call at Newington
2010-03-17,Points failure at Ramsgate,17:53,Margate,St Pancras International,started at Ramsgate
2010-03-17,Train fault at Victoria,16:40,Victoria,Orpington,cancelled
2010-03-17,Train fault at Victoria,17:24,Orpington,Victoria,cancelled
2010-03-17,Train delayed from depot,22:03,Ashford,Ramsgate,delayed by 10 minutes
2010-03-17,Train fault at Charing Cross,17:12,Charing Cross,Dartford,delayed by 10 minutes
2010-03-17,Technical problems,16:58,Blackfriars ,Rochester,delayed by 21 minutes
2010-03-17,Technical problems,17:42,Blackfriars ,Sevenoaks,delayed by 29 minutes
2010-03-17,Technical problems,17:44,Blackfriars ,Sevenoaks,cancelled
2010-03-17,Technical problems,20:05,Ashford,Ramsgate,delayed by 10 minutes
2010-03-17,Technical fault,18:54,Cannon St,Barnehurst,cancelled
2010-03-17,Station issue,18:03,Charing Cross,Ore,terminated at Hastings
2010-03-17,Station issue,18:40,Ramsgate,Charing Cross,delayed by 10 minutes
2010-03-17,Technical fault,17:04,Victoria,Gillingham,cancelled
2010-03-17,Technical fault,18:32,Gillingham,Victoria,cancelled
2010-03-17,Train fault,23:22,Victoria,Ramsgate,delayed by 15 minutes
2010-03-17,Under investigation,19:32,Sevenoaks,Blackfriars,cancelled
