2010-03-24,Track maintenance over-run,04:33,Swanley,Victoria,did not call at Beckenham Junction
2010-03-24,Dead badger on the line,05:37,Hastings,Cannon St,did not call at Sevenoaks
2010-03-24,Dead badger on the line,06:03,Hastings,Charing Cross,delayed by 10 minutes
2010-03-24,Dead badger on the line,06:39,Ore,Cannon St,started at Hastings
2010-03-24,Dead badger on the line,08:54,Cannon St,Barnehurst,did not call at New Cross
2010-03-24,Train fault at Ashford,05:47,Margate,St Pancras International,delayed by 11 minutes
2010-03-24,Train fault at Ashford,06:58,Ashford,Victoria,did not call at Charing
2010-03-24,Train fault,08:42,Kent House,Blackfriars ,cancelled
2010-03-24,Driver error,09:50,Cannon St,Orpington,cancelled
2010-03-24,Driver error,10:33,Orpington,Cannon St,cancelled
2010-03-24,Points failure,10:55,Orpington,Victoria,cancelled
2010-03-24,Points failure,11:55,Victoria,Orpington,cancelled
2010-03-24,Train crew delayed,15:50,Cannon St,Orpington,started at Grove Park
2010-03-24,Track circuit failure,17:02,Sevenoaks,Blackfriars,delayed by 11 minutes
2010-03-24,Train crew delayed,17:03,Ashford,Ramsgate,delayed by 21 minutes
2010-03-24,Train fault,15:56,Blackfriars,Sevenoaks,delayed by 13 minutes
2010-03-24,Technical fault,16:22,Blackfriars ,Rochester,delayed by 29 minutes and terminated at Bromley South
2010-03-24,Technical fault,16:38,Blackfriars ,Ashford,did not call at St Mary Cray and delayed by 40 minutes
2010-03-24,Technical fault,17:12,Blackfriars,Kent House,delayed by 39 minutes and terminated at Elephant and Castle
2010-03-24,Technical fault,20:05,Ashford,Ramsgate,delayed by 28 minutes
2010-03-24,Technical fault,22:04,Ramsgate,Victoria,delayed by 10 minutes
2010-03-24,Train crew error,19:29,Ashford,Canterbury West,delayed by 11 minutes
2010-03-24,Train crew delayed,18:00,Cannon St,Dartford,delayed by 12 minutes
2010-03-24,Train crew delayed,18:12,Cannon St,Gillingham,delayed by 10 minutes
2010-03-24,Police assistance required,18:42,Sheerness,Sittingbourne,delayed by 13 minutes
2010-03-24,Fatality,17:59,Charing Cross,Ashford,delayed by 11 minutes
2010-03-24,Fatality,18:03,Victoria,Ashford,did not call at Borough Green & Wrotham and delayed by 96 minutes
2010-03-24,Fatality,18:18,Victoria,Ashford,did not call at Kemsing
2010-03-24,Fatality,18:27,Ashford,Victoria,terminated at Maidstone East
2010-03-24,Fatality,18:40,Maidstone East,Victoria,terminated at West Malling
2010-03-24,Fatality,18:42,Victoria,Ashford,did not call at Kemsing and delayed by 28 minutes
2010-03-24,Fatality,18:47,Ashford,Victoria,delayed by 10 minutes and terminated at Maidstone East
2010-03-24,Fatality,19:07,Victoria,Ashford,terminated at Sevenoaks
2010-03-24,Fatality,19:17,Ashford,Victoria,did not call at Charing
2010-03-24,Fatality,19:37,Victoria,Ashford,did not call at Kemsing
2010-03-24,Fatality,19:44,Dover Priory,St Pancras International,delayed by 17 minutes
2010-03-24,Fatality,20:07,Victoria,Ashford,cancelled
2010-03-24,Fatality,20:17,Ashford,Victoria,did not call at Charing
2010-03-24,Fatality,20:35,Ashford,Canterbury West,cancelled
2010-03-24,Fatality,20:37,Victoria,Ashford,delayed by 21 minutes
2010-03-24,Fatality,21:17,Ashford,Victoria,did not call at Charing
2010-03-24,Fatality,21:35,Canterbury West,Ashford,cancelled
2010-03-24,Fatality,22:17,Ashford,Victoria,did not call at Harrietsham and delayed by 19 minutes
2010-03-24,Passenger taken ill at Folkestone Central,18:10,St Pancras International,Dover Priory,delayed by 19 minutes
