2010-03-26,Train fault,04:55,Strood,Paddock Wood,delayed by 10 minutes
2010-03-26,Train fault at Slade Green,06:48,Gravesend,Cannon St,cancelled
2010-03-26,Train fault at Slade Green,07:51,Cannon St,Orpington,cancelled
2010-03-26,Train fault at Slade Green,08:43,Orpington,Cannon St,cancelled
2010-03-26,Train fault at Hayes,08:33,Hayes,Charing Cross,cancelled
2010-03-26,Train fault at Hayes,09:21,Charing Cross,Beckenham Junction,cancelled
2010-03-26,Train fault at Hayes,10:36,Charing Cross,Sevenoaks,terminated at Orpington
2010-03-26,Train fault at Hayes,11:36,Sevenoaks,Charing Cross,started at Orpington
2010-03-26,Station issue at Cannon Street,09:30,Cannon St,Hayes,cancelled
2010-03-26,Station issue at Cannon Street,10:20,Hayes,Cannon St,cancelled
2010-03-26,Doors forced at Brixton,09:55,Orpington,Victoria,delayed by 11 minutes
2010-03-26,Technical fault,15:56,Blackfriars ,Sevenoaks,cancelled
2010-03-26,Technical fault,18:32,Sevenoaks,Blackfriars,cancelled
2010-03-26,Passenger taken ill,19:15,Charing Cross,Hastings,delayed by 15 minutes
2010-03-26,Passenger taken ill,21:03,Ashford,Ramsgate,delayed by 10 minutes
2010-03-26,Track circuit failure,16:58,Blackfriars ,Rochester,delayed by 22 minutes
2010-03-26,Track circuit failure,17:52,Cannon St,Ramsgate,delayed by 67 minutes
2010-03-26,Track circuit failure,17:57,Victoria,Ramsgate,terminated at Gillingham
2010-03-26,Track circuit failure,17:58,St Pancras International,Broadstairs,delayed by 54 minutes
2010-03-26,Track circuit failure,18:05,Dover Priory,Victoria,delayed by 12 minutes
2010-03-26,Track circuit failure,18:12,Cannon St,Gillingham,terminated at Strood
2010-03-26,Track circuit failure,18:14,St Pancras International,Faversham,delayed by 63 minutes
2010-03-26,Track circuit failure,18:14,Cannon St,Ramsgate,delayed by 73 minutes
2010-03-26,Track circuit failure,18:24,Victoria,Gillingham,delayed by 36 minutes
2010-03-26,Track circuit failure,18:25,St Pancras International,Broadstairs,delayed by 79 minutes
2010-03-26,Track circuit failure,18:27,Victoria,Ramsgate,delayed by 74 minutes
2010-03-26,Track circuit failure,18:30,Cannon St,Strood,terminated at Gravesend
2010-03-26,Track circuit failure,18:37,Charing Cross,Strood,terminated at Gravesend
2010-03-26,Track circuit failure,18:44,Cannon St,Ramsgate,delayed by 66 minutes
2010-03-26,Track circuit failure,18:55,St Pancras International,Faversham,delayed by 18 minutes and terminated at Strood
2010-03-26,Track circuit failure,18:57,Victoria,Ramsgate,delayed by 63 minutes
2010-03-26,Track circuit failure,18:58,Victoria,Gillingham,delayed by 14 minutes
2010-03-26,Track circuit failure,18:58,Faversham,St Pancras International,delayed by 17 minutes
2010-03-26,Track circuit failure,19:09,Charing Cross,Gillingham,delayed by 14 minutes
2010-03-26,Track circuit failure,19:20,Faversham,Dover Priory,delayed by 65 minutes
2010-03-26,Track circuit failure,19:22,Victoria,Ramsgate,delayed by 51 minutes
2010-03-26,Track circuit failure,19:25,St Pancras International,Faversham,delayed by 30 minutes
2010-03-26,Track circuit failure,19:32,Gillingham,Victoria,cancelled
2010-03-26,Track circuit failure,19:49,Faversham,Dover Priory,delayed by 75 minutes
2010-03-26,Track circuit failure,19:52,Victoria,Ramsgate,delayed by 27 minutes
2010-03-26,Track circuit failure,19:54,Gillingham,Charing Cross,delayed by 29 minutes and terminated at London Bridge
2010-03-26,Track circuit failure,19:55,St Pancras International,Faversham,delayed by 38 minutes
2010-03-26,Track circuit failure,19:59,Faversham,St Pancras International,delayed by 45 minutes
2010-03-26,Track circuit failure,20:05,Dover Priory,Victoria,did not call at Teynham and delayed by 54 minutes
2010-03-26,Track circuit failure,20:15,Faversham,Dover Priory,delayed by 67 minutes and terminated at Canterbury East
2010-03-26,Track circuit failure,20:22,Victoria,Ramsgate,delayed by 10 minutes
2010-03-26,Track circuit failure,20:24,Gillingham,Charing Cross,started at Dartford
2010-03-26,Track circuit failure,20:25,St Pancras International,Faversham,delayed by 11 minutes and terminated at Rochester
2010-03-26,Track circuit failure,20:28,Faversham,St Pancras International,started at Ebbsfleet International
2010-03-26,Track circuit failure,20:45,Dover Priory,Victoria,delayed by 60 minutes
2010-03-26,Track circuit failure,20:49,Faversham,Dover Priory,cancelled
2010-03-26,Track circuit failure,20:52,Victoria,Ramsgate,delayed by 18 minutes
2010-03-26,Track circuit failure,20:58,Faversham,St Pancras International,delayed by 30 minutes
2010-03-26,Track circuit failure,21:05,Dover Priory,Victoria,started at Canterbury East and delayed by 12 minutes
2010-03-26,Track circuit failure,21:15,Faversham,Dover Priory,delayed by 30 minutes
2010-03-26,Track circuit failure,21:22,Victoria,Ramsgate,delayed by 21 minutes
2010-03-26,Track circuit failure,21:25,St Pancras International,Faversham,delayed by 25 minutes
2010-03-26,Track circuit failure,21:26,Charing Cross,Dartford,started at London Bridge
2010-03-26,Track circuit failure,21:28,Faversham,St Pancras International,delayed by 25 minutes
2010-03-26,Track circuit failure,21:45,Dover Priory,Victoria,started at Faversham
2010-03-26,Track circuit failure,21:45,Faversham,Dover Priory,delayed by 11 minutes
2010-03-26,Track circuit failure,21:58,Faversham,St Pancras International,started at Rochester
2010-03-26,Track circuit failure,22:04,Ramsgate,Victoria,delayed by 29 minutes
2010-03-26,Track circuit failure,22:05,Dover Priory,Faversham,delayed by 22 minutes
2010-03-26,Track circuit failure,22:15,Faversham,Dover Priory,delayed by 22 minutes
2010-03-26,Track circuit failure,22:22,Victoria,Ramsgate,delayed by 40 minutes
2010-03-26,Track circuit failure,22:45,Faversham,Dover Priory,delayed by 22 minutes
2010-03-26,Track circuit failure,23:04,Ramsgate,Gillingham,delayed by 21 minutes
2010-03-26,Track circuit failure,23:45,Faversham,Dover Priory,delayed by 46 minutes
2010-03-26,Points failure at Orpington,17:50,Hastings,Charing Cross,terminated at Orpington
2010-03-26,Points failure at Orpington,19:45,Charing Cross,Hastings,started at Orpington
