2010-03-29,Points failure at Grove Park,06:16,Grove Park,Bromley North,cancelled
2010-03-29,Points failure at Grove Park,06:25,Bromley North,Grove Park,cancelled
2010-03-29,Train fault at Faversham,05:58,Faversham,St Pancras International,terminated at Gillingham
2010-03-29,Train fault at Faversham,07:06,Ebbsfleet International,St Pancras International,cancelled
2010-03-29,Train fault at Faversham,07:22,St Pancras International,Faversham,cancelled
2010-03-29,Points failure,07:03,Orpington,Charing Cross,cancelled
2010-03-29,Points failure,08:29,Crayford,Cannon St,started at Hither Green
2010-03-29,Train fault,06:56,Charing Cross,Gravesend,delayed by 17 minutes and terminated at Dartford
2010-03-29,Train fault,08:06,Gravesend,Cannon St,cancelled
2010-03-29,Train fault,09:15,Cannon St,Cannon St,started at Slade Green
2010-03-29,Technical fault at Victoria,07:43,Victoria,Dartford,delayed by 11 minutes
2010-03-29,Delayed from depot,08:39,Cannon St,Cannon St,delayed by 10 minutes
2010-03-29,Train fault at Cannon Street,10:10,Cannon St,Cannon St,delayed by 11 minutes
2010-03-29,Train fault at Cannon Street,11:30,Cannon St,Hayes,delayed by 11 minutes
2010-03-29,Technical fault at Charing Cross,12:06,Charing Cross,Sevenoaks,delayed by 15 minutes and terminated at Orpington
2010-03-29,Technical fault at Charing Cross,13:06,Sevenoaks,Charing Cross,started at Orpington
2010-03-29,Police required on board at Tunbridge Wells,11:15,Charing Cross,Hastings,delayed by 13 minutes
2010-03-29,Track circuit failure,11:28,Faversham,St Pancras International,delayed by 25 minutes
2010-03-29,Track circuit failure,11:44,Dover Priory,St Pancras International,delayed by 13 minutes
2010-03-29,Track circuit failure,12:42,St Pancras International,Margate,delayed by 27 minutes
2010-03-29,Track circuit failure,12:52,St Pancras International,Faversham,delayed by 20 minutes
2010-03-29,Train fault,12:39,Charing Cross,Gillingham,terminated at Chatham
2010-03-29,Train fault,12:58,Victoria,Gillingham,terminated at Chatham
2010-03-29,Train fault,13:09,Charing Cross,Gillingham,terminated at Strood
2010-03-29,Train fault,13:22,Victoria,Ramsgate,delayed by 74 minutes and terminated at Faversham
2010-03-29,Train fault,13:25,St Pancras International,Faversham,terminated at Rochester
2010-03-29,Train fault,13:39,Charing Cross,Gillingham,terminated at Gravesend
2010-03-29,Train fault,13:52,Victoria,Ramsgate,delayed by 50 minutes and did not call at Whitstable
2010-03-29,Train fault,13:55,St Pancras International,Faversham,delayed by 54 minutes and terminated at Rochester
2010-03-29,Train fault,13:58,Victoria,Gillingham,delayed by 40 minutes
2010-03-29,Train fault,14:02,Maidstone West,Strood,delayed by 10 minutes
2010-03-29,Train fault,14:09,Charing Cross,Gillingham,terminated at Gravesend
2010-03-29,Train fault,14:22,Victoria,Ramsgate,delayed by 36 minutes
2010-03-29,Train fault,14:24,Gillingham,Charing Cross,started at Dartford
2010-03-29,Train fault,14:28,St Pancras International,Faversham,terminated at Ebbsfleet International
2010-03-29,Train fault,14:32,Gillingham,Victoria,cancelled
2010-03-29,Train fault,14:40,Sittingbourne,Sheerness,cancelled
2010-03-29,Train fault,14:45,Faversham,Dover Priory,cancelled
2010-03-29,Train fault,14:52,Victoria,Ramsgate,delayed by 40 minutes and did not call at London Bridge
2010-03-29,Train fault,14:54,Gillingham,Charing Cross,started at Strood and delayed by 11 minutes
2010-03-29,Train fault,14:55,St Pancras International,Faversham,delayed by 12 minutes
2010-03-29,Train fault,14:58,Faversham,St Pancras International,started at Rochester
2010-03-29,Train fault,14:58,Victoria,Gillingham,delayed by 37 minutes
2010-03-29,Train fault,15:02,Sheerness,Sittingbourne,cancelled
2010-03-29,Train fault,15:15,Faversham,Dover Priory,cancelled
2010-03-29,Train fault,15:22,Victoria,Ramsgate,delayed by 21 minutes
2010-03-29,Train fault,15:24,Gillingham,Charing Cross,delayed by 19 minutes and terminated at Dartford
2010-03-29,Train fault,15:28,Faversham,St Pancras International,started at Rochester
2010-03-29,Train fault,15:32,Gillingham,Victoria,delayed by 31 minutes
2010-03-29,Train fault,15:34,Ramsgate,Faversham,cancelled
2010-03-29,Train fault,15:39,Dover Priory,Victoria,started at Faversham
2010-03-29,Train fault,15:39,Charing Cross,Gillingham,delayed by 16 minutes
2010-03-29,Train fault,15:40,Beckenham Junction,Beckenham Junction,terminated at Herne Hill
2010-03-29,Train fault,15:45,Faversham,Dover Priory,delayed by 46 minutes
2010-03-29,Train fault,15:54,Gillingham,Cannon St,cancelled
2010-03-29,Train fault,15:58,Faversham,St Pancras International,cancelled
2010-03-29,Train fault,15:58,Victoria,Gillingham,cancelled
2010-03-29,Train fault,16:04,Ramsgate,Faversham,cancelled
2010-03-29,Train fault,16:12,Beckenham Junction,Charing Cross,cancelled
2010-03-29,Train fault,16:15,Faversham,Dover Priory,delayed by 42 minutes
2010-03-29,Train fault,16:25,St Pancras International,Faversham,delayed by 11 minutes
2010-03-29,Train fault,16:28,Faversham,St Pancras International,delayed by 10 minutes
2010-03-29,Train fault,16:32,Gillingham,Victoria,cancelled
2010-03-29,Train fault,16:35,Strood,Paddock Wood,delayed by 10 minutes
2010-03-29,Train fault,16:39,Dover Priory,Victoria,delayed by 39 minutes and did not call at Newington
2010-03-29,Train fault,16:45,Faversham,Dover Priory,delayed by 27 minutes
2010-03-29,Train fault,16:51,Charing Cross,Dartford,cancelled
2010-03-29,Train fault,16:57,Charing Cross,Ashford,started at Sevenoaks
2010-03-29,Train fault,17:02,Gillingham,Victoria,delayed by 11 minutes
2010-03-29,Train fault,17:04,Ramsgate,Faversham,delayed by 10 minutes
