2010-04-04,Track maintenance over run,07:28,Hayes,Charing Cross,started at New Beckenham
2010-04-04,Track maintenance over run,07:42,Victoria,Sevenoaks,cancelled
2010-04-04,Track maintenance over run,08:22,Sevenoaks,Victoria,cancelled
2010-04-04,Fatality,06:21,Faversham,Victoria,terminated at Gillingham
2010-04-04,Fatality,06:34,Faversham,Farningham Road,terminated at Gillingham
2010-04-04,Fatality,06:35,Strood,Paddock Wood,cancelled
2010-04-04,Fatality,06:42,Margate,Victoria,terminated at Gillingham
2010-04-04,Fatality,06:45,Gillingham,Charing Cross,cancelled
2010-04-04,Fatality,07:15,Gillingham,Charing Cross,cancelled
2010-04-04,Fatality,07:29,Dover Priory,Victoria,delayed by 51 minutes and did not call at Rochester
2010-04-04,Fatality,07:34,Faversham,Farningham Road,terminated at Gillingham
2010-04-04,Fatality,07:34,Paddock Wood,Strood,cancelled
2010-04-04,Fatality,07:35,Victoria,Margate,cancelled
2010-04-04,Fatality,07:35,Farningham Road,Faversham,started at Gillingham
2010-04-04,Fatality,07:45,Gillingham,Charing Cross,cancelled
2010-04-04,Fatality,07:55,Dartford,Gillingham,terminated at Strood
2010-04-04,Fatality,07:58,Faversham,St Pancras International,cancelled
2010-04-04,Fatality,08:10,Charing Cross,Gillingham,delayed by 18 minutes
2010-04-04,Fatality,08:15,Gillingham,Charing Cross,cancelled
2010-04-04,Fatality,08:24,Farningham Road,Canterbury East,started at Gillingham
2010-04-04,Fatality,08:25,Dartford,Gillingham,terminated at Strood
2010-04-04,Fatality,08:29,Dover Priory,Victoria,delayed by 12 minutes
2010-04-04,Fatality,08:30,Charing Cross,Dartford,cancelled
2010-04-04,Fatality,08:34,Faversham,Farningham Road,delayed by 44 minutes
2010-04-04,Fatality,08:35,Strood,Paddock Wood,cancelled
2010-04-04,Fatality,08:35,Victoria,Margate,started at Gillingham
2010-04-04,Fatality,08:54,Gillingham,Charing Cross,started at Strood
2010-04-04,Fatality,08:58,Faversham,St Pancras International,delayed by 21 minutes
2010-04-04,Fatality,09:00,Charing Cross,Dartford,cancelled
2010-04-04,Fatality,09:10,Charing Cross,Gillingham,delayed by 14 minutes
2010-04-04,Fatality,09:19,Faversham,Dover Priory,cancelled
2010-04-04,Fatality,09:24,Farningham Road,Canterbury East,delayed by 50 minutes and terminated at Faversham
2010-04-04,Fatality,09:24,Gillingham,Charing Cross,started at Strood
2010-04-04,Fatality,09:25,St Pancras International,Faversham,cancelled
2010-04-04,Fatality,09:30,Charing Cross,Dartford,cancelled
2010-04-04,Fatality,09:34,Faversham,Farningham Road,terminated at Sole St
2010-04-04,Fatality,09:34,Paddock Wood,Strood,cancelled
2010-04-04,Fatality,09:35,Victoria,Margate,started at Gillingham
2010-04-04,Fatality,09:40,St Pancras International,Minster,cancelled
2010-04-04,Fatality,09:43,Dartford,Charing Cross,cancelled
2010-04-04,Fatality,10:00,Charing Cross,Dartford,cancelled
2010-04-04,Fatality,10:12,Victoria,Sevenoaks,cancelled
2010-04-04,Fatality,10:26,Charing Cross,Gravesend,terminated at Dartford
2010-04-04,Fatality,10:28,St Pancras International,Faversham,delayed by 25 minutes
2010-04-04,Fatality,10:34,Margate,Faversham,cancelled
2010-04-04,Fatality,10:35,Strood,Paddock Wood,delayed by 12 minutes
2010-04-04,Fatality,10:35,Victoria,Margate,delayed by 21 minutes
2010-04-04,Fatality,10:40,Charing Cross,Gillingham,started at Dartford
2010-04-04,Fatality,10:52,Sevenoaks,Victoria,cancelled
2010-04-04,Fatality,11:22,Canterbury East,Farningham Road,started at Faversham and delayed by 19 minutes
2010-04-04,Fatality,11:33,Gravesend,Charing Cross,started at Dartford and delayed by 11 minutes
2010-04-04,Fatality,11:43,Dartford,Charing Cross,delayed by 14 minutes and terminated at London Bridge
2010-04-04,Fatality,11:58,Faversham,St Pancras International,started at Gillingham
2010-04-04,Fatality,12:40,Charing Cross,Gillingham,started at London Bridge
2010-04-04,Driver issue,10:24,Farningham Road,Canterbury East,started at Sole St
2010-04-04,Bridge strike,15:10,Sittingbourne,Sheerness,terminated at Swale
2010-04-04,Bridge strike,15:42,Sheerness,Sittingbourne,started at Swale
2010-04-04,Bridge strike,17:42,Sheerness,Sittingbourne,cancelled
2010-04-04,Bridge strike,18:10,Sittingbourne,Sheerness,cancelled
2010-04-04,Bridge strike,18:42,Sheerness,Sittingbourne,cancelled
2010-04-04,Bridge strike,19:10,Sittingbourne,Sheerness,cancelled
2010-04-04,Bridge strike,19:42,Sheerness,Sittingbourne,cancelled
2010-04-04,Vandalism at Charing Cross,20:40,Dartford,Charing Cross,cancelled
2010-04-04,Vandalism at Charing Cross,21:35,Charing Cross,Hayes,started at London Bridge
2010-04-04,Technical fault,19:33,Gravesend,Charing Cross,terminated at Crayford
2010-04-04,Technical fault,20:46,Charing Cross,Orpington,started at Grove Park
