2010-04-07,Train fault,04:33,Swanley,Victoria,did not call at Beckenham Junction
2010-04-07,Engineering work at Sittingbourne,22:55,St Pancras International,Faversham,terminated at Sittingbourne
2010-04-07,Engineering work at Sittingbourne,23:25,St Pancras International,Faversham,terminated at Sittingbourne
2010-04-07,Engineering work at Sittingbourne,23:55,St Pancras International,Faversham,terminated at Sittingbourne
2010-04-07,Technical fault,05:23,Hither Green,Cannon St,cancelled
2010-04-07,Technical fault,05:52,Cannon St,London Bridge,cancelled
2010-04-07,Technical fault,06:02,London Bridge,Cannon St,cancelled
2010-04-07,Technical fault,06:20,London Bridge,Cannon St,cancelled
2010-04-07,Technical fault at Swale,05:00,Gillingham,Sheerness,terminated at Swale
2010-04-07,Technical fault at Swale,05:31,Sheerness,Sittingbourne,cancelled
2010-04-07,Technical fault at Swale,06:03,Sittingbourne,Sheerness,cancelled
2010-04-07,Technical fault at Swale,06:29,Sheerness,Sittingbourne,cancelled
2010-04-07,Technical fault at Swale,06:53,Sittingbourne,Sheerness,cancelled
2010-04-07,Technical fault at Swale,07:16,Sheerness,Sittingbourne,cancelled
2010-04-07,Technical fault at Swale,07:45,Sittingbourne,Sheerness,cancelled
2010-04-07,Technical fault at Swale,08:07,Sheerness,Sittingbourne,cancelled
2010-04-07,Technical fault at Swale,08:40,Sittingbourne,Sheerness,cancelled
2010-04-07,Technical fault at Swale,09:02,Sheerness,Sittingbourne,cancelled
2010-04-07,Train delayed from depot,08:22,St Pancras International,Faversham,delayed by 10 minutes
2010-04-07,Following delayed freight train,07:19,Ramsgate,Cannon St,delayed by 10 minutes
2010-04-07,Following delayed freight train,07:25,Hastings,Cannon St,delayed by 10 minutes
2010-04-07,Following delayed freight train,08:03,Hayes,Cannon St,delayed by 10 minutes
2010-04-07,Following delayed freight train,08:38,Barnehurst,Cannon St,delayed by 10 minutes
2010-04-07,Following delayed freight train,08:51,Cannon St,Orpington,delayed by 11 minutes
2010-04-07,Following delayed freight train,08:56,Cannon St,Dartford,delayed by 11 minutes
2010-04-07,Following delayed freight train,09:40,Orpington,Victoria,delayed by 14 minutes and did not call at Petts Wood
2010-04-07,Trespasser on line at Waterloo East,07:20,Tunbridge Wells,Charing Cross,delayed by 10 minutes
2010-04-07,Train fault,10:24,Dover Priory,Charing Cross,delayed by 10 minutes
2010-04-07,Train fault,10:27,Cannon St,Dartford,delayed by 12 minutes
2010-04-07,Trespasser on the line at London Bridge,09:50,Hastings,Charing Cross,delayed by 11 minutes
2010-04-07,Trespasser on the line at London Bridge,10:33,Gravesend,Charing Cross,delayed by 10 minutes
2010-04-07,Trespasser on the line at London Bridge,10:36,Sevenoaks,Charing Cross,delayed by 11 minutes
2010-04-07,Passenger alarm activated,12:01,Dartford,Cannon St,delayed by 10 minutes
2010-04-07,Objects thrown at trains,15:26,Blackfriars,Sevenoaks,cancelled
2010-04-07,Objects thrown at trains,17:02,Sevenoaks,Blackfriars,cancelled
2010-04-07,Track circuit failure,11:47,Ashford,Victoria,delayed by 12 minutes
2010-04-07,Track circuit failure,12:47,Ashford,Victoria,delayed by 10 minutes
2010-04-07,Train fault at Orpington,15:33,Orpington,Cannon St,cancelled
2010-04-07,Train fault at Orpington,16:20,Cannon St,Orpington,cancelled
2010-04-07,Train fault,15:55,Victoria,Orpington,cancelled
2010-04-07,Train fault,16:40,Orpington,Victoria,cancelled
2010-04-07,Technical fault at Lewisham,17:15,Slade Green,Cannon St,cancelled
2010-04-07,Technical fault at Lewisham,17:34,Victoria,Dartford,delayed by 12 minutes
2010-04-07,Technical fault at Lewisham,17:34,Charing Cross,Slade Green,terminated at Kidbrooke
2010-04-07,Technical fault at Lewisham,17:52,Charing Cross,Dartford,delayed by 23 minutes and did not call at Kidbrooke
2010-04-07,Technical fault at Lewisham,17:56,Charing Cross,Barnehurst,delayed by 14 minutes
2010-04-07,Technical fault at Lewisham,17:56,Victoria,Dartford,did not call at Blackheath
2010-04-07,Technical fault at Lewisham,18:05,Cannon St,Cannon St,started at Slade Green
2010-04-07,Technical fault at Lewisham,18:25,Slade Green,Cannon St,cancelled
2010-04-07,Technical fault at Lewisham,18:52,Dartford,Charing Cross,delayed by 16 minutes and terminated at London Bridge
2010-04-07,Technical fault at Lewisham,19:20,Cannon St,Orpington,cancelled
2010-04-07,Technical fault at Lewisham,19:47,Charing Cross,Hayes,started at London Bridge
2010-04-07,Technical fault at Lewisham,17:34,Victoria,Dartford,delayed by 15 minutes
2010-04-07,Technical fault at Lewisham,18:38,Crayford,Cannon St,delayed by 10 minutes
2010-04-07,Dog on the line,18:25,St Pancras International,Broadstairs,delayed by 11 minutes
2010-04-07,Stone throwers,20:56,Blackfriars,Sevenoaks,terminated at Bromley South
2010-04-07,Stone throwers,21:32,Sevenoaks,Victoria,terminated at Ravensbourne
2010-04-07,Stone throwers,22:55,Victoria,Orpington,cancelled
2010-04-07,Stone throwers,23:13,Victoria,Orpington,terminated at Bromley South
2010-04-07,Train fault,19:45,Sevenoaks,Bromley South,terminated at Swanley
