2010-04-10,Train fault,05:48,Tunbridge Wells,Tonbridge,delayed by 20 minutes
2010-04-10,Train crew delayed,05:36,Charing Cross,Sevenoaks,cancelled
2010-04-10,Train crew delayed,05:47,Charing Cross,Hayes,cancelled
2010-04-10,Train crew delayed,06:36,Sevenoaks,Charing Cross,started at Orpington
2010-04-10,Train crew delayed,06:38,Hayes,Charing Cross,started at New Beckenham
2010-04-10,"",07:21,Tunbridge Wells,Charing Cross,delayed by 11 minutes
2010-04-10,Train fault at Orpington,06:55,Orpington,Victoria,cancelled
2010-04-10,Train fault at Orpington,07:55,Victoria,Orpington,cancelled
2010-04-10,Train fault at Orpington,08:40,Orpington,Victoria,delayed by 10 minutes
2010-04-10,Technical fault at Charing Cross,09:45,Charing Cross,Hastings,cancelled
2010-04-10,Signalling problems,08:53,Margate,St Pancras International,terminated at Ebbsfleet International
2010-04-10,Signalling problems,09:28,Faversham,St Pancras International,terminated at Ebbsfleet International
2010-04-10,Signalling problems,09:44,Dover Priory,St Pancras International,terminated at Ebbsfleet International
2010-04-10,Signalling problems,09:53,Margate,St Pancras International,terminated at Ebbsfleet International
2010-04-10,Signalling problems,09:55,St Pancras International,Faversham,delayed by 91 minutes
2010-04-10,Signalling problems,09:58,Faversham,St Pancras International,terminated at Ebbsfleet International
2010-04-10,Signalling problems,10:12,St Pancras International,Dover Priory,started at Ebbsfleet International and delayed by 11 minutes
2010-04-10,Signalling problems,10:28,St Pancras International,Faversham,cancelled
2010-04-10,Signalling problems,10:28,Faversham,St Pancras International,delayed by 22 minutes
2010-04-10,Signalling problems,10:42,St Pancras International,Margate,cancelled
2010-04-10,Signalling problems,10:52,St Pancras International,Faversham,started at Ebbsfleet International
2010-04-10,Signalling problems,11:12,St Pancras International,Dover Priory,started at Ebbsfleet International
2010-04-10,Signalling problems,11:25,St Pancras International,Faversham,started at Ebbsfleet International
2010-04-10,Signalling problems,11:28,Faversham,St Pancras International,cancelled
2010-04-10,Signalling problems,11:42,St Pancras International,Margate,started at Ebbsfleet International
2010-04-10,Signalling problems,11:44,Dover Priory,St Pancras International,started at Ashford
2010-04-10,Signalling problems,11:55,St Pancras International,Faversham,delayed by 20 minutes
2010-04-10,Signalling problems,12:52,St Pancras International,Faversham,started at Ebbsfleet International
2010-04-10,Awaiting train crew,12:32,Hastings,Charing Cross,delayed by 15 minutes and did not call at Sevenoaks
2010-04-10,Following previous late running train,11:44,Dover Priory,St Pancras International,delayed by 34 minutes
2010-04-10,Following previous late running train,13:12,St Pancras International,Dover Priory,delayed by 16 minutes
2010-04-10,Station issue at Rochester,11:58,Faversham,St Pancras International,started at Rochester and delayed by 27 minutes
2010-04-10,Station issue at Rochester,13:25,St Pancras International,Faversham,delayed by 18 minutes
2010-04-10,Dog on the line,17:40,Ramsgate,Charing Cross,delayed by 13 minutes
2010-04-10,Passenger alarm activated,18:09,Charing Cross,Gillingham,delayed by 10 minutes
2010-04-10,Train fault at Tonbridge,16:50,Headcorn,Charing Cross,delayed by 13 minutes
2010-04-10,Awaiting police assistance,18:40,Ramsgate,Charing Cross,delayed by 16 minutes
2010-04-10,Injured dog on the line,22:10,Orpington,Victoria,delayed by 59 minutes
2010-04-10,Injured dog on the line,22:40,Orpington,Victoria,did not call at Kent House
2010-04-10,Injured dog on the line,22:55,Victoria,Orpington,cancelled
