2010-04-12,Police attendance required,00:15,Charing Cross,Slade Green,delayed by 14 minutes
2010-04-12,Awaiting bus connection,01:17,Faversham,Ramsgate,delayed by 31 minutes
2010-04-12,Train fault at Ashford,06:12,Dover Priory,Ashford,delayed by 20 minutes
2010-04-12,Planning error,07:06,Dartford,Cannon St,cancelled
2010-04-12,Planning error,08:00,Cannon St,Hayes,cancelled
2010-04-12,Planning error,08:50,Hayes,Cannon St,cancelled
2010-04-12,Train fault,06:25,Ashford,Blackfriars ,delayed by 11 minutes
2010-04-12,Train fault,08:20,Blackfriars ,Sevenoaks,delayed by 18 minutes
2010-04-12,Technical problem,06:09,Bearsted,Beckenham Junction,delayed by 18 minutes
2010-04-12,Technical problem,06:13,Sevenoaks,St Johns,delayed by 18 minutes
2010-04-12,Technical problem,07:36,Sevenoaks,Kent House,delayed by 28 minutes
2010-04-12,Train fault at Dartford,07:36,Dartford,Victoria,cancelled
2010-04-12,Train fault at Dartford,08:39,Victoria,Dartford,cancelled
2010-04-12,Technical fault at Waterloo East,07:39,Charing Cross,Gillingham,delayed by 11 minutes and terminated at London Bridge
2010-04-12,Technical fault at Ashford,09:24,Dover Priory,Charing Cross,delayed by 14 minutes and terminated at London Bridge
2010-04-12,Technical fault at Ashford,10:00,Charing Cross,Tunbridge Wells,terminated at Tonbridge
2010-04-12,Technical fault at Ashford,11:40,Charing Cross,Ramsgate,started at London Bridge
2010-04-12,Passenger disorder,13:05,Dover Priory,Victoria,delayed by 16 minutes
2010-04-12,Bridge strike,12:40,Charing Cross,Ramsgate,terminated at Dover Priory
2010-04-12,Bridge strike,14:15,Faversham,Dover Priory,delayed by 30 minutes
2010-04-12,Bridge strike,14:22,Ramsgate,Ashford,delayed by 14 minutes
2010-04-12,Bridge strike,14:45,Dover Priory,Victoria,delayed by 45 minutes and terminated at Faversham
2010-04-12,Bridge strike,14:45,Faversham,Dover Priory,terminated at Canterbury East
2010-04-12,Bridge strike,15:05,Dover Priory,Victoria,started at Canterbury East
2010-04-12,Bridge strike,15:15,Faversham,Dover Priory,cancelled
2010-04-12,Bridge strike,15:22,Ramsgate,Ashford,started at Dover Priory
2010-04-12,Bridge strike,15:28,Faversham,St Pancras International,delayed by 11 minutes
2010-04-12,Bridge strike,16:05,Dover Priory,Victoria,started at Faversham
2010-04-12,Train crew delayed,15:56,Blackfriars,Sevenoaks,delayed by 21 minutes
2010-04-12,Train fault,16:50,Hastings,Charing Cross,delayed by 13 minutes
2010-04-12,Passenger assaulted,15:56,Blackfriars ,Sevenoaks,delayed by 13 minutes
2010-04-12,Passenger assaulted,18:02,Sevenoaks,Blackfriars,cancelled
2010-04-12,Staff shortage,18:44,Blackfriars,Sevenoaks,cancelled
2010-04-12,Staff shortage,21:02,Sevenoaks,Victoria,delayed by 13 minutes
2010-04-12,Train fault,20:07,Victoria,Ashford,delayed by 21 minutes
2010-04-12,Train fault,20:10,Charing Cross,Dover Priory,delayed by 12 minutes
2010-04-12,Train fault,20:41,Ramsgate,Charing Cross,delayed by 35 minutes and terminated at London Bridge
2010-04-12,Train fault,20:42,St Pancras International,Margate,delayed by 18 minutes
2010-04-12,Train fault,20:44,Dover Priory,St Pancras International,delayed by 36 minutes
2010-04-12,Train fault,21:24,Dover Priory,Charing Cross,delayed by 11 minutes
2010-04-12,Train fault,21:35,Canterbury West,Ashford,delayed by 14 minutes
2010-04-12,Train fault,22:12,St Pancras International,Dover Priory,delayed by 20 minutes
2010-04-12,Station issue,22:03,Ashford,Ramsgate,delayed by 13 minutes
2010-04-12,Police assistance required,22:03,Gravesend,Charing Cross,delayed by 12 minutes
2010-04-12,Staff shortage,21:32,Sevenoaks,Victoria,cancelled
