2010-04-29,Points failure,04:35,Gillingham,Charing Cross,did not call at Greenhithe
2010-04-29,Signal failure,06:03,Hastings,Charing Cross,cancelled
2010-04-29,Signal failure,08:00,Charing Cross,Tunbridge Wells,cancelled
2010-04-29,Train crew delayed,06:22,Victoria,Ramsgate,delayed by 13 minutes
2010-04-29,Technical fault at Ashford,06:26,Ramsgate,St Pancras International,delayed by 12 minutes
2010-04-29,Train fault at Ore,07:41,Ore,Charing Cross,delayed by 10 minutes and did not call at Sevenoaks
2010-04-29,Train fault at Ore,09:40,Charing Cross,Ramsgate,did not call at Marden
2010-04-29,Train fault at Ore,11:03,Ashford,Ramsgate,delayed by 22 minutes
2010-04-29,Technical fault,09:10,Victoria,Orpington,delayed by 13 minutes and did not call at Brixton
2010-04-29,Technical problems at Hastings,11:50,Hastings,Charing Cross,delayed by 13 minutes and did not call at Sevenoaks
2010-04-29,Bridge strike,14:03,Ashford,Ramsgate,delayed by 11 minutes
2010-04-29,Train fault at Cannon Street,17:27,Victoria,Ramsgate,cancelled
2010-04-29,Train fault at Cannon Street,18:49,Faversham,Dover Priory,cancelled
2010-04-29,Train fault at Cannon Street,19:20,Faversham,Dover Priory,delayed by 11 minutes
2010-04-29,Train fault at Cannon Street,19:40,Dover Priory,Victoria,started at Faversham
2010-04-29,Train fault at Blackfriars,16:58,Blackfriars,Rochester,delayed by 14 minutes
2010-04-29,Train fault at Blackfriars,17:12,Blackfriars,Kent House,terminated at Herne Hill
2010-04-29,Train fault at Ramsgate,18:22,Ramsgate,Ashford,delayed by 19 minutes
2010-04-29,Train fault at Ramsgate,18:34,Ramsgate,Faversham,delayed by 18 minutes
2010-04-29,Train fault at Ramsgate,18:39,Dover Priory,Victoria,delayed by 12 minutes
2010-04-29,Passenger taken ill at Wadhurst,17:50,Hastings,Charing Cross,delayed by 56 minutes and terminated at Tonbridge
2010-04-29,Passenger taken ill at Wadhurst,18:03,Charing Cross,Ore,delayed by 17 minutes and terminated at Hastings
2010-04-29,Passenger taken ill at Wadhurst,18:19,Hastings,Charing Cross,delayed by 31 minutes and terminated at London Bridge
2010-04-29,Passenger taken ill at Wadhurst,19:45,Charing Cross,Hastings,started at Tonbridge
2010-04-29,Passenger taken ill at Wadhurst,19:51,Tunbridge Wells,Charing Cross,terminated at Tonbridge
2010-04-29,Passenger taken ill at Wadhurst,20:15,Charing Cross,Hastings,started at London Bridge and delayed by 22 minutes
2010-04-29,Passenger taken ill at Wadhurst,20:45,Charing Cross,Hastings,delayed by 12 minutes
2010-04-29,Passenger taken ill at Wadhurst,21:00,Charing Cross,Tunbridge Wells,started at London Bridge
2010-04-29,Train crew delayed,18:56,Slade Green,Cannon St,delayed by 10 minutes
2010-04-29,Train fault at Strood,21:32,Maidstone West,Strood,delayed by 11 minutes
2010-04-29,Train fault at Strood,22:05,Strood,Maidstone West,cancelled
2010-04-29,Train fault at Strood,22:32,Maidstone West,Strood,cancelled
2010-04-29,Technical fault,20:40,Charing Cross,Ramsgate,delayed by 10 minutes
2010-04-29,Technical fault,22:03,Ashford,Ramsgate,delayed by 20 minutes
2010-04-29,Train fault at Margate,16:22,Victoria,Ramsgate,terminated at Margate
