2010-05-01,Technical problems,00:03,Ashford,Ramsgate,delayed by 10 minutes
2010-05-01,Train fault at Grove Park,07:37,Grove Park,Bromley North,cancelled
2010-05-01,Train fault at Grove Park,07:53,Bromley North,Grove Park,cancelled
2010-05-01,Train fault at Grove Park,08:07,Grove Park,Bromley North,cancelled
2010-05-01,Train fault at Grove Park,08:23,Bromley North,Grove Park,cancelled
2010-05-01,Technical problems at Hildenborough,08:50,Ramsgate,Charing Cross,delayed by 11 minutes
2010-05-01,Technical problems at Hildenborough,10:21,Tunbridge Wells,Charing Cross,terminated at Hildenborough
2010-05-01,Technical problems at Hildenborough,11:30,Charing Cross,Tunbridge Wells,cancelled
2010-05-01,Technical problems at Hildenborough,12:51,Tunbridge Wells,Charing Cross,started at Tonbridge
2010-05-01,Track circuit failure,15:10,Sittingbourne,Sheerness,cancelled
2010-05-01,Track circuit failure,15:32,Sheerness,Sittingbourne,cancelled
2010-05-01,Track circuit failure,15:40,Sittingbourne,Sheerness,cancelled
2010-05-01,Track circuit failure,16:02,Sheerness,Sittingbourne,cancelled
2010-05-01,Track circuit failure,16:10,Sittingbourne,Sheerness,cancelled
2010-05-01,Track circuit failure,16:32,Sheerness,Sittingbourne,cancelled
2010-05-01,Track circuit failure,17:02,Sheerness,Sittingbourne,delayed by 10 minutes
2010-05-01,Signal failure,14:50,Ramsgate,Charing Cross,delayed by 14 minutes
2010-05-01,Signal failure,14:53,Margate,St Pancras International,delayed by 20 minutes
2010-05-01,Signal failure,15:35,Canterbury West,Ashford,delayed by 15 minutes
2010-05-01,Signal failure,16:50,Ramsgate,Charing Cross,delayed by 14 minutes
2010-05-01,Signal failure,16:53,Margate,St Pancras International,delayed by 21 minutes
2010-05-01,Signal failure,16:53,Margate,St Pancras International,did not call at Ebbsfleet International
2010-05-01,Signal failure,17:35,Canterbury West,Ashford,delayed by 16 minutes
2010-05-01,Police attendance required at Victoria,16:22,Victoria,Ramsgate,delayed by 15 minutes
2010-05-01,Police attendance required at Victoria,17:45,Faversham,Dover Priory,delayed by 11 minutes
2010-05-01,Station issue at Charlton,17:24,Gillingham,Charing Cross,did not call at Charlton
2010-05-01,Awaiting police attendance,19:50,Hastings,Charing Cross,delayed by 23 minutes and terminated at London Bridge
2010-05-01,Awaiting police attendance,21:55,Charing Cross,Hastings,started at London Bridge
2010-05-01,Ambulance required,20:14,Faversham,Victoria,delayed by 29 minutes and terminated at Bromley South
2010-05-01,Ambulance required,21:52,Victoria,Faversham,started at Bromley South
2010-05-01,Track circuit failure,22:55,Victoria,Orpington,delayed by 10 minutes
2010-05-01,Trespasser on the line at Rochester,21:05,Dover Priory,Victoria,delayed by 49 minutes and terminated at Bromley South
2010-05-01,Trespasser on the line at Rochester,21:09,Charing Cross,Gillingham,delayed by 51 minutes
2010-05-01,Trespasser on the line at Rochester,21:39,Charing Cross,Gillingham,delayed by 25 minutes
2010-05-01,Trespasser on the line at Rochester,21:52,Victoria,Faversham,delayed by 42 minutes
2010-05-01,Trespasser on the line at Rochester,21:55,St Pancras International,Faversham,delayed by 34 minutes
2010-05-01,Trespasser on the line at Rochester,21:58,Faversham,St Pancras International,delayed by 49 minutes
2010-05-01,Trespasser on the line at Rochester,22:02,Canterbury East,Victoria,delayed by 35 minutes
2010-05-01,Trespasser on the line at Rochester,22:03,Tonbridge,Strood,delayed by 18 minutes
2010-05-01,Trespasser on the line at Rochester,22:22,Victoria,Ramsgate,delayed by 20 minutes
2010-05-01,Trespasser on the line at Rochester,22:24,Gillingham,Charing Cross,delayed by 49 minutes and terminated at London Bridge
2010-05-01,Trespasser on the line at Rochester,22:25,St Pancras International,Faversham,delayed by 22 minutes
2010-05-01,Trespasser on the line at Rochester,22:35,Strood,Maidstone West,delayed by 35 minutes
2010-05-01,Trespasser on the line at Rochester,22:54,Gillingham,Dartford,delayed by 28 minutes
2010-05-01,Trespasser on the line at Rochester,23:02,Maidstone West,Strood,delayed by 29 minutes
2010-05-01,Trespasser on the line at Rochester,23:22,Victoria,Ramsgate,started at Bromley South and delayed by 17 minutes
2010-05-01,Trespasser on the line at Rochester,23:45,Faversham,Dover Priory,delayed by 28 minutes
2010-05-01,Trespasser on the line at Rochester,23:56,Charing Cross,Dartford,started at London Bridge and delayed by 16 minutes
2010-05-01,Train fault,23:17,Charing Cross,Hayes,delayed by 10 minutes
