2010-05-10,Delayed running freight train,08:29,Crayford,Cannon St,started at Hither Green
2010-05-10,Points failure at Faversham,04:37,Ramsgate,Victoria,delayed by 10 minutes
2010-05-10,Points failure at Faversham,04:42,Dover Priory,Victoria,delayed by 15 minutes
2010-05-10,Points failure at Faversham,05:20,Faversham,Dover Priory,delayed by 34 minutes and did not call at Selling
2010-05-10,Points failure at Faversham,05:28,Faversham,St Pancras International,delayed by 11 minutes
2010-05-10,Points failure at Faversham,05:33,Sittingbourne,Sheerness,delayed by 16 minutes
2010-05-10,Points failure at Faversham,05:57,Sheerness,Sittingbourne,delayed by 14 minutes
2010-05-10,Points failure at Faversham,06:22,Sittingbourne,Sheerness,delayed by 14 minutes
2010-05-10,Points failure at Faversham,06:37,Victoria,Ashford,delayed by 18 minutes and did not call at Bromley South
2010-05-10,Points failure at Faversham,06:45,Victoria,Dover Priory,delayed by 13 minutes and did not call at Bromley South
2010-05-10,Points failure at Faversham,06:46,Sheerness,Sittingbourne,delayed by 11 minutes
2010-05-10,Points failure at Faversham,07:09,Sittingbourne,Sheerness,delayed by 13 minutes
2010-05-10,Train fault,06:02,Sevenoaks,Charing Cross,cancelled
2010-05-10,Train fault,07:12,Charing Cross,Gillingham,started at Dartford
2010-05-10,Train fault at Barnehurst,07:54,Barnehurst,Cannon St,cancelled
2010-05-10,Train fault at Barnehurst,08:00,Barnehurst,Charing Cross,cancelled
2010-05-10,Train fault at Barnehurst,08:39,Cannon St,Cannon St,started at Slade Green
2010-05-10,Train fault at Barnehurst,08:44,Charing Cross,Hayes,cancelled
2010-05-10,Train fault at Barnehurst,09:38,Hayes,Charing Cross,cancelled
2010-05-10,Train fault at Barnehurst,10:32,Charing Cross,Dartford,cancelled
2010-05-10,Technical fault at Victoria,08:40,Victoria,Orpington,delayed by 12 minutes
2010-05-10,Technical fault at Victoria,09:25,Orpington,Victoria,delayed by 11 minutes
2010-05-10,Train fault at Eynsford,07:12,Blackfriars ,Sevenoaks,terminated at Eynesford
2010-05-10,Train fault at Eynsford,,,,
2010-05-10,Train fault at Eynsford,09:25,Orpington,Victoria,did not call at Shortlands
2010-05-10,Technical fault,10:24,Gillingham,Charing Cross,cancelled
2010-05-10,Technical fault,11:56,Charing Cross,Gravesend,started at Dartford
2010-05-10,Train fault at St Pancras International,09:40,St Pancras International,Margate,delayed by 42 minutes
2010-05-10,Technical fault at London Bridge,09:15,Cannon St,Cannon St,terminated at London Bridge
2010-05-10,Technical fault at London Bridge,11:07,Cannon St,Slade Green,cancelled
2010-05-10,Points failure,09:47,Ashford,Victoria,delayed by 10 minutes
2010-05-10,Points failure,11:39,Victoria,Dartford,delayed by 12 minutes
2010-05-10,Technical fault,12:56,Blackfriars ,Sevenoaks,delayed by 19 minutes
2010-05-10,Staff shortage,10:03,Orpington,Cannon St,cancelled
2010-05-10,Staff shortage,16:10,Cannon St,Cannon St,cancelled
2010-05-10,Operating issue,17:52,Charing Cross,Dartford,cancelled
2010-05-10,Technical fault at Waterloo East,18:03,Charing Cross,Ore,terminated at Hastings
2010-05-10,Points failure at Swanley,18:24,Victoria,Gillingham,delayed by 27 minutes and did not call at Farningham Road
2010-05-10,Electrical supply problems,18:53,Margate,St Pancras International,delayed by 41 minutes
2010-05-10,Electrical supply problems,19:12,St Pancras International,Dover Priory,delayed by 31 minutes and did not call at Folkestone West
2010-05-10,Electrical supply problems,19:44,Dover Priory,St Pancras International,delayed by 22 minutes
2010-05-10,Electrical supply problems,20:12,St Pancras International,Dover Priory,delayed by 15 minutes
2010-05-10,Electrical supply problems,20:42,St Pancras International,Margate,delayed by 34 minutes
2010-05-10,Electrical supply problems,20:44,Dover Priory,St Pancras International,delayed by 29 minutes and did not call at Folkestone Central
2010-05-10,Electrical supply problems,21:12,St Pancras International,Dover Priory,delayed by 12 minutes
2010-05-10,Electrical supply problems,22:12,St Pancras International,Dover Priory,delayed by 17 minutes
2010-05-10,Technical problems,19:36,Charing Cross,Sevenoaks,delayed by 11 minutes and terminated at Orpington
2010-05-10,Technical problems,20:35,Sevenoaks,Charing Cross,started at Orpington
