2010-05-26,Signalling issue at Tonbridge,04:56,Tonbridge,Charing Cross,delayed by 12 minutes
2010-05-26,Staff issue at Gillingham,06:05,Strood,Paddock Wood,cancelled
2010-05-26,Staff issue at Gillingham,06:55,Paddock Wood,Strood,cancelled
2010-05-26,Train fault at Cannon Street,06:27,Cannon St,Dartford,cancelled
2010-05-26,Train fault at Cannon Street,07:22,Dartford,Charing Cross,cancelled
2010-05-26,Depot issue at Ashford,06:30,Ashford,Ramsgate,cancelled
2010-05-26,Depot issue at Ashford,08:05,Ramsgate,Ashford,cancelled
2010-05-26,Train fault,07:01,Barnehurst,Cannon St,cancelled
2010-05-26,Train fault,07:44,Cannon St,Barnehurst,cancelled
2010-05-26,Train fault,08:38,Barnehurst,Cannon St,started at Lewisham
2010-05-26,Train fault,07:28,Orpington,Blackfriars,cancelled
2010-05-26,Train fault at Cannon Street,09:27,Cannon St,Dartford,cancelled
2010-05-26,Train fault at Cannon Street,10:22,Dartford,Charing Cross,cancelled
2010-05-26,Train fault at Ashford,08:40,Ramsgate,Charing Cross,delayed by 13 minutes
2010-05-26,Train crew delayed,08:24,Sevenoaks,Blackfriars,delayed by 14 minutes
2010-05-26,Track circuit failure,10:45,Dover Priory,Victoria,delayed by 11 minutes
2010-05-26,Track circuit failure,11:05,Dover Priory,Victoria,delayed by 12 minutes
2010-05-26,Track circuit failure,11:28,Ashford,Victoria,delayed by 12 minutes
2010-05-26,Track circuit failure,11:45,Dover Priory,Victoria,did not call at Bromley South and delayed by 20 minutes
2010-05-26,Track circuit failure,11:47,Ashford,Victoria,delayed by 13 minutes
2010-05-26,Track circuit failure,11:56,Blackfriars,Sevenoaks,delayed by 32 minutes
2010-05-26,Track circuit failure,12:02,Sevenoaks,Blackfriars,delayed by 24 minutes
2010-05-26,Track circuit failure,12:05,Dover Priory,Victoria,did not call at Bromley South and delayed by 13 minutes
2010-05-26,Track circuit failure,12:10,Orpington,Victoria,delayed by 14 minutes
2010-05-26,Track circuit failure,12:22,Victoria,Ramsgate,delayed by 14 minutes
2010-05-26,Track circuit failure,12:26,Blackfriars,Sevenoaks,delayed by 14 minutes
2010-05-26,Track circuit failure,12:32,Sevenoaks,Blackfriars,delayed by 26 minutes
2010-05-26,Track circuit failure,12:32,Gillingham,Victoria,delayed by 12 minutes
2010-05-26,Track circuit failure,12:37,Victoria,Ashford,delayed by 19 minutes
2010-05-26,Track circuit failure,12:40,Orpington,Victoria,delayed by 12 minutes
2010-05-26,Track circuit failure,12:52,Victoria,Ramsgate,delayed by 10 minutes
2010-05-26,Track circuit failure,12:55,Victoria,Orpington,delayed by 10 minutes
2010-05-26,Track circuit failure,12:58,Victoria,Gillingham,did not call at Bromley South and delayed by 10 minutes
2010-05-26,Track circuit failure,13:07,Victoria,Ashford,did not call at Bearsted and delayed by 10 minutes
2010-05-26,Track circuit failure,13:22,Victoria,Ramsgate,did not call at Bromley South
2010-05-26,Track circuit failure,13:25,Orpington,Victoria,delayed by 11 minutes
2010-05-26,Signalling issue,05:23,Hither Green,Cannon St,did not call at Lewisham
2010-05-26,Technical fault,15:38,Barnehurst,Cannon St,cancelled
2010-05-26,Technical fault,16:24,Cannon St,Barnehurst,cancelled
2010-05-26,Train crew delayed,17:06,Cannon St,Gillingham,started at Dartford
2010-05-26,Train crew delayed,18:01,Charing Cross,Gravesend,terminated at Dartford
2010-05-26,Train crew delayed,19:04,Gravesend,Charing Cross,started at Dartford
2010-05-26,Cable theft,17:40,Ramsgate,Charing Cross,delayed by 12 minutes
2010-05-26,Cable theft,21:10,Charing Cross,Dover Priory,delayed by 15 minutes
2010-05-26,Technical fault,17:08,Hayes,Charing Cross,delayed by 15 minutes
2010-05-26,Technical fault,17:56,Charing Cross,Barnehurst,delayed by 13 minutes
2010-05-26,Technical fault,18:56,Slade Green,Cannon St,delayed by 12 minutes
2010-05-26,Train fault at Sevenoaks,18:45,Sevenoaks,Victoria,delayed by 18 minutes
2010-05-26,Train fault at Faversham,18:39,Dover Priory,Victoria,delayed by 27 minutes and did not call at Meopham
2010-05-26,Planning error at Strood,18:30,Cannon St,Gillingham,terminated at Strood
2010-05-26,Passenger alarm activated at Sevenoaks,21:05,Sevenoaks,Charing Cross,delayed by 11 minutes
2010-05-26,Under investigation,07:40,Charing Cross,Ramsgate,terminated at Ashford
