2010-05-30,Train fault,12:12,St Pancras International,Ashford,delayed by 12 minutes
2010-05-30,Planning error,12:23,London Bridge,Plumstead,cancelled
2010-05-30,Trespasser on the line at Lewisham,12:24,Gillingham,Charing Cross,did not call at Blackheath
2010-05-30,Trespasser on the line at Lewisham,12:40,Charing Cross,Gillingham,delayed by 33 minutes and terminated at Rochester
2010-05-30,Trespasser on the line at Lewisham,13:10,Charing Cross,Gillingham,did not call at Lewisham
2010-05-30,Trespasser on the line at Lewisham,14:24,Gillingham,Charing Cross,started at Rochester and delayed by 11 minutes
2010-05-30,Trespasser on the line at Lewisham,14:35,Strood,Paddock Wood,delayed by 19 minutes
2010-05-30,Track maintenance over run at Ashford,15:38,Charing Cross,Ramsgate,delayed by 25 minutes and did not call at Wye
2010-05-30,Track maintenance over run at Ashford,16:08,Charing Cross,Ramsgate,delayed by 11 minutes
2010-05-30,Track maintenance over run at Ashford,16:53,Margate,St Pancras International,delayed by 22 minutes
2010-05-30,Track maintenance over run at Ashford,17:33,Ashford,Canterbury West,delayed by 10 minutes
2010-05-30,Track maintenance over run at Ashford,17:50,Ramsgate,Charing Cross,delayed by 17 minutes and terminated at London Bridge
2010-05-30,Track maintenance over run at Ashford,20:38,Charing Cross,Ramsgate,started at London Bridge
2010-05-30,Train crew delayed,18:34,Paddock Wood,Strood,delayed by 27 minutes
2010-05-30,Train crew delayed,19:35,Strood,Paddock Wood,delayed by 10 minutes
2010-05-30,Struck debris on the track,19:45,Gillingham,Charing Cross,terminated at Gravesend
2010-05-30,Struck debris on the track,20:15,Gillingham,Charing Cross,terminated at Gravesend
2010-05-30,Struck debris on the track,21:00,Cannon St,Dartford,cancelled
2010-05-30,Struck debris on the track,21:15,Gillingham,Charing Cross,did not call at Chatham
2010-05-30,Struck debris on the track,22:00,Charing Cross,Dartford,cancelled
2010-05-30,Station issue,20:45,Gillingham,Cannon St,started at Abbey Wood
2010-05-30,Train fault,20:45,Gillingham,Charing Cross,started at Abbey Wood
