2010-06-02,Train fault at Ramsgate,05:06,Ramsgate,Victoria,did not call at Dumpton Park and delayed by 13 minutes
2010-06-02,Driver error,05:36,Charing Cross,Sevenoaks,did not call at Lewisham
2010-06-02,Track maintenance over run,05:00,Tonbridge,Tunbridge Wells,cancelled
2010-06-02,Track maintenance over run,05:21,Tunbridge Wells,Charing Cross,started at Tonbridge
2010-06-02,Delayed by freight train,05:56,Charing Cross,Gillingham,delayed by 11 minutes
2010-06-02,Delayed by freight train,06:25,St Pancras International,Rochester,delayed by 12 minutes
2010-06-02,Delayed by freight train,07:07,Rochester,St Pancras International,delayed by 10 minutes
2010-06-02,Delayed by freight train,08:30,Cannon St,Hayes,delayed by 11 minutes and terminated at Elmers End
2010-06-02,Delayed by freight train,09:20,Hayes,Cannon St,started at Clock House
2010-06-02,Train fault at Ashford,06:26,Ramsgate,St Pancras International,delayed by 11 minutes
2010-06-02,Passenger taken ill,08:06,Blackfriars,Sevenoaks,delayed by 11 minutes
2010-06-02,Awaiting signal,07:19,Ramsgate,Cannon St,delayed by 10 minutes
2010-06-02,Awaiting signal,09:09,Cannon St,Cannon St,did not call at Erith
2010-06-02,Planning error,08:43,Sevenoaks,Blackfriars,terminated at Kent House
2010-06-02,Train fault at Paddock Wood,11:05,Strood,Tonbridge,terminated at Paddock Wood
2010-06-02,Train fault at Paddock Wood,12:03,Tonbridge,Strood,started at Paddock Wood
2010-06-02,Train fault at Cannon Street,13:24,Cannon St,Barnehurst,terminated at Kidbrooke
2010-06-02,Train fault at Cannon Street,13:32,Charing Cross,Dartford,delayed by 11 minutes
2010-06-02,Train fault at Cannon Street,13:39,Victoria,Dartford,did not call at Eltham
2010-06-02,Train fault at Cannon Street,14:15,Slade Green,Cannon St,cancelled
2010-06-02,Train fault at Cannon Street,15:07,Cannon St,Slade Green,cancelled
2010-06-02,Train fault at Cannon Street,16:08,Barnehurst,Cannon St,cancelled
2010-06-02,Train fault at Cannon Street,16:54,Cannon St,Dartford,cancelled
2010-06-02,Driver shortage,17:34,Orpington,Blackfriars,cancelled
2010-06-02,Train fault at Rochester,14:28,St Pancras International,Faversham,terminated at Rochester
2010-06-02,Train fault at Rochester,15:45,Faversham,Dover Priory,delayed by 10 minutes
2010-06-02,Train fault at Rochester,15:58,Faversham,St Pancras International,cancelled
2010-06-02,Train fault,16:22,Blackfriars,Rochester,delayed by 21 minutes
2010-06-02,Train fault,17:57,Victoria,Ramsgate,delayed by 12 minutes
2010-06-02,Staff shortage,16:32,Sevenoaks,Blackfriars,delayed by 21 minutes
2010-06-02,Delayed from depot,17:48,St Pancras International,Ebbsfleet International,cancelled
2010-06-02,Line side fire,15:45,Charing Cross,Hastings,delayed by 64 minutes
2010-06-02,Line side fire,16:15,Charing Cross,Hastings,delayed by 46 minutes
2010-06-02,Line side fire,16:41,Charing Cross,Hastings,delayed by 26 minutes
