2010-06-05,Staff shortage,06:23,Bromley North,Grove Park,cancelled
2010-06-05,Driver error,10:55,Victoria,Orpington,did not call at Shortlands
2010-06-05,Train fault,15:45,Dover Priory,Victoria,did not call at Meopham
2010-06-05,Staff shortage,16:20,Cannon St,Orpington,did not call at Lewisham
2010-06-05,Staff shortage,16:50,Cannon St,Orpington,did not call at Lewisham
2010-06-05,Staff shortage,17:20,Cannon St,Orpington,did not call at Lewisham
2010-06-05,Staff shortage,17:50,Cannon St,Orpington,did not call at Lewisham
2010-06-05,Staff shortage,18:20,Cannon St,Orpington,did not call at Lewisham
2010-06-05,Technical fault,17:02,Sheerness,Sittingbourne,delayed by 12 minutes
2010-06-05,Train crew delayed,19:22,Victoria,Ramsgate,delayed by 10 minutes
2010-06-05,Train crew delayed,20:45,Faversham,Dover Priory,delayed by 10 minutes
