2010-06-15,Staffing issue,04:37,Dover Priory,Charing Cross,delayed by 11 minutes
2010-06-15,Train delayed from depot,06:02,Sevenoaks,Charing Cross,started at Orpington
2010-06-15,Track circuit failed,10:56,Blackfriars,Sevenoaks,delayed by 10 minutes
2010-06-15,Technical fault,06:40,Blackfriars,Orpington,delayed by 13 minutes
2010-06-15,Technical fault,07:17,Sevenoaks,Cannon St,terminated at Orpington
2010-06-15,Technical fault,07:28,Orpington,Blackfriars,terminated at Petts Wood
2010-06-15,Technical fault,07:36,Charing Cross,Sevenoaks,terminated at Orpington
2010-06-15,Technical fault,07:42,Orpington,Charing Cross,cancelled
2010-06-15,Technical fault,08:10,Orpington,Victoria,delayed by 10 minutes
2010-06-15,Technical fault,08:26,Orpington,Victoria,delayed by 10 minutes
2010-06-15,Technical fault,08:37,Charing Cross,Sevenoaks,did not call at Hither Green and delayed by 13 minutes
2010-06-15,Technical fault,08:37,Sevenoaks,Charing Cross,started at Orpington
2010-06-15,Technical fault,08:42,Cannon St,Hastings,did not call at Orpington
2010-06-15,Technical fault,08:49,Charing Cross,Sidcup,cancelled
2010-06-15,Technical fault,08:53,Charing Cross,Ashford,delayed by 14 minutes and did not call at Orpington
2010-06-15,Technical fault,09:00,Charing Cross,Tunbridge Wells,delayed by 11 minutes and did not call at Orpington
2010-06-15,Technical fault,09:22,Dartford,Charing Cross,started at Lewisham
2010-06-15,Technical fault,10:33,Ashford,Canterbury West,delayed by 17 minutes
2010-06-15,Planning issue,07:20,Slade Green,Charing Cross,cancelled
2010-06-15,Planning issue,08:15,Charing Cross,Hayes,cancelled
2010-06-15,Planning issue,09:08,Hayes,Charing Cross,cancelled
2010-06-15,Train fault,07:17,Dartford,Victoria,cancelled
2010-06-15,Running rail fault,09:30,Charing Cross,Tunbridge Wells,did not call at Orpington
2010-06-15,Track maintenance over run,00:15,Charing Cross,Gillingham,terminated at Dartford
2010-06-15,Mechanical fault,10:38,Dartford,Victoria,delayed by 10 minutes and terminated at Denmark Hill
2010-06-15,Mechanical fault,11:39,Victoria,Dartford,delayed by 26 minutes and did not call at Denmark Hill
2010-06-15,Mechanical fault,12:38,Dartford,Victoria,delayed by 20 minutes and did not call at Barnehurst
2010-06-15,Passenger alarm activated,12:02,Charing Cross,Dartford,delayed by 11 minutes
2010-06-15,Train fault,12:47,Ashford,Victoria,delayed by 15 minutes and did not call at Swanley
2010-06-15,Train failure,13:02,Sevenoaks,Blackfriars,delayed by 11 minutes
2010-06-15,Train failure,13:08,Dartford,Victoria,delayed by 13 minutes
2010-06-15,Technical fault,15:01,Dartford,Cannon St,terminated at Slade Green
2010-06-15,Technical fault,15:15,Slade Green,Cannon St,cancelled
2010-06-15,Technical fault,15:57,Cannon St,Dartford,cancelled
2010-06-15,Technical fault,16:32,Sevenoaks,Blackfriars,terminated at Swanley
2010-06-15,Train fault at Gillingham,16:40,Sittingbourne,Sheerness,delayed by 13 minutes and terminated at Queenborough
2010-06-15,Train fault at Gillingham,17:02,Sheerness,Sittingbourne,started at Queenborough
2010-06-15,Mechanical fault,16:51,Cannon St,Hayes,cancelled
2010-06-15,Mechanical fault,17:37,Hayes,Charing Cross,cancelled
2010-06-15,Train fault,16:38,Blackfriars,Ashford,delayed by 41 minutes
2010-06-15,Train fault,16:58,Blackfriars,Rochester,delayed by 37 minutes and terminated at Swanley
2010-06-15,Train fault,17:12,Blackfriars,Kent House,delayed by 42 minutes
2010-06-15,Train fault,17:42,Blackfriars,Sevenoaks,delayed by 26 minutes and terminated at Swanley
2010-06-15,Train fault,17:44,Blackfriars,Sevenoaks,delayed by 41 minutes
2010-06-15,Train fault,18:26,Blackfriars,Sevenoaks,delayed by 14 minutes
2010-06-15,Train fault,18:30,Victoria,Orpington,did not call at Brixton
2010-06-15,Train fault,19:32,Gillingham,Victoria,cancelled
2010-06-15,Train fault,19:45,Sevenoaks,Bromley South,cancelled
2010-06-15,Train fault,20:32,Sevenoaks,Victoria,delayed by 10 minutes
2010-06-15,Track circuit failure,17:47,Charing Cross,Orpington,delayed by 10 minutes
2010-06-15,Track circuit failure,18:34,Orpington,Cannon St,cancelled
2010-06-15,Train crew delayed,18:12,Cannon St,Gillingham,terminated at Rochester
2010-06-15,Train fault,18:32,Sevenoaks,Blackfriars,delayed by 21 minutes
2010-06-15,Technical fault,18:03,Charing Cross,Ore,terminated at Hastings
