2010-06-21,Planning error,00:15,Charing Cross,Gillingham,delayed by 15 minutes
2010-06-21,Train fault,04:34,Orpington,City Thameslink,cancelled
2010-06-21,Technical fault,06:01,Orpington,Charing Cross,cancelled
2010-06-21,Technical fault,06:02,Sevenoaks,Charing Cross,cancelled
2010-06-21,Technical fault,06:52,Charing Cross,Dartford,started at London Bridge
2010-06-21,Technical fault,07:12,Charing Cross,Gillingham,cancelled
2010-06-21,Bike on the track,06:35,Maidstone East,Canterbury West,did not call at Hollingbourne and delayed by 30 minutes
2010-06-21,Following previous late running train,13:33,Orpington,Cannon St,did not call at Lewisham
2010-06-21,Technical problems at Lewisham,14:05,Dover Priory,Victoria,did not call at Teynham and delayed by 28 minutes
2010-06-21,Technical problems at Lewisham,14:58,Faversham,St Pancras International,delayed by 14 minutes
2010-06-21,Train fault,15:35,Strood,Maidstone West,delayed by 16 minutes
2010-06-21,Train fault,16:02,Maidstone West,Strood,delayed by 14 minutes
2010-06-21,Train fault,16:35,Strood,Paddock Wood,cancelled
2010-06-21,Train fault,17:29,Paddock Wood,Strood,cancelled
2010-06-21,Train fault,17:22,Dartford,Cannon St,delayed by 14 minutes
2010-06-21,Train fault,19:15,Dartford,Cannon St,did not call at Slade Green
2010-06-21,Technical fault at Charing Cross,23:30,Charing Cross,Tunbridge Wells,cancelled
