2010-07-13,Track circuit failure,20:53,Margate,St Pancras International,delayed by 10 minutes
2010-07-13,Staff shortage,00:03,Ashford,Ramsgate,cancelled
2010-07-13,Track maintenance over run,05:20,Ashford,Victoria,did not call at Charing and delayed by 13 minutes
2010-07-13,Track maintenance over run,05:35,Canterbury West,Victoria,delayed by 15 minutes
2010-07-13,Track maintenance over run,05:50,Ashford,Victoria,did not call at Charing
2010-07-13,Track maintenance over run,06:02,Ashford,Dover Priory,delayed by 18 minutes
2010-07-13,Track maintenance over run,06:09,Bearsted,Beckenham Junction,delayed by 23 minutes
2010-07-13,Track maintenance over run,06:39,Dover Priory,Faversham,delayed by 13 minutes
2010-07-13,Vandalism,07:12,Blackfriars,Sevenoaks,delayed by 12 minutes
2010-07-13,Vandalism,08:44,Bromley South,Blackfriars,delayed by 11 minutes
2010-07-13,Delayed by previous running freight train,06:25,St Pancras International,Rochester,delayed by 11 minutes
2010-07-13,Delayed by previous running freight train,09:10,Orpington,Victoria,delayed by 10 minutes
2010-07-13,Technical fault,06:25,Ashford,Beckenham Junction,cancelled
2010-07-13,Mechanical problems,05:28,Ramsgate,Cannon St,delayed by 16 minutes
2010-07-13,Mechanical problems,08:17,Charing Cross,Hastings,delayed by 13 minutes
2010-07-13,Mechanical problems,08:27,Charing Cross,Tunbridge Wells,delayed by 13 minutes
2010-07-13,Mechanical problems,08:33,Charing Cross,Ramsgate,delayed by 11 minutes
2010-07-13,Mechanical problems,08:55,Charing Cross,Gravesend,terminated at Dartford
2010-07-13,Mechanical problems,09:11,Charing Cross,Gillingham,delayed by 12 minutes
2010-07-13,Mechanical problems,09:17,Charing Cross,Hayes,terminated at Elmers End
2010-07-13,Mechanical problems,10:03,Gravesend,Charing Cross,started at Dartford
2010-07-13,Mechanical problems,10:08,Hayes,Charing Cross,started at Elmers End
2010-07-13,Mechanical problems,10:33,Gravesend,Charing Cross,delayed by 13 minutes
2010-07-13,Train delayed from depot,08:00,Barnehurst,Charing Cross,did not call at Eltham
2010-07-13,Staff shortage,09:30,Charing Cross,Tunbridge Wells,delayed by 11 minutes
2010-07-13,Train fault,10:21,Tunbridge Wells,Charing Cross,delayed by 11 minutes and terminated at London Bridge
2010-07-13,Train fault,11:30,Charing Cross,Tunbridge Wells,started at London Bridge
2010-07-13,Bridge strike at Chislehurst,10:20,Cannon St,Orpington,delayed by 29 minutes
2010-07-13,Bridge strike at Chislehurst,10:36,Sevenoaks,Charing Cross,terminated at London Bridge
2010-07-13,Bridge strike at Chislehurst,11:03,Orpington,Cannon St,cancelled
2010-07-13,Bridge strike at Chislehurst,11:36,Charing Cross,Sevenoaks,started at London Bridge
2010-07-13,Bridge strike at Chislehurst,11:50,Cannon St,Orpington,cancelled
2010-07-13,Bridge strike at Chislehurst,12:03,Ashford,Ramsgate,delayed by 10 minutes
2010-07-13,Bridge strike at Chislehurst,12:25,Orpington,Victoria,started at Swanley
2010-07-13,Train fault at Tonbridge,09:50,Hastings,Charing Cross,terminated at Tonbridge
2010-07-13,Train fault at Tonbridge,11:45,Charing Cross,Hastings,started at Tonbridge
2010-07-13,Staff error,11:10,Victoria,Orpington,delayed by 38 minutes
2010-07-13,Staff error,11:25,Victoria,Orpington,terminated at Bromley South
2010-07-13,Staff error,11:40,Victoria,Orpington,diverted to Swanley
2010-07-13,Staff error,11:55,Orpington,Victoria,cancelled
2010-07-13,Staff error,12:10,Orpington,Victoria,delayed by 12 minutes
2010-07-13,Staff error,12:55,Victoria,Orpington,cancelled
2010-07-13,Power supply problem,12:50,Hastings,Charing Cross,delayed by 21 minutes and terminated at London Bridge
2010-07-13,Power supply problem,13:51,Tunbridge Wells,Charing Cross,delayed by 13 minutes
2010-07-13,Power supply problem,14:45,Charing Cross,Hastings,started at London Bridge
2010-07-13,Train fault at Victoria,10:45,Dover Priory,Victoria,delayed by 22 minutes
2010-07-13,Train fault at Victoria,10:47,Ashford,Victoria,delayed by 11 minutes
2010-07-13,Train fault at Victoria,11:32,Gillingham,Victoria,terminated at Victoria
2010-07-13,Train fault at Victoria,11:40,Orpington,Victoria,delayed by 10 minutes
2010-07-13,Train fault at Victoria,12:07,Victoria,Ashford,cancelled
2010-07-13,Train fault at Victoria,12:10,Victoria,Orpington,cancelled
2010-07-13,Train fault at Victoria,12:25,Victoria,Orpington,cancelled
2010-07-13,Train fault at Victoria,12:52,Victoria,Ramsgate,delayed by 16 minutes
2010-07-13,Train fault at Victoria,12:55,Orpington,Victoria,cancelled
2010-07-13,Train fault at Victoria,12:58,Victoria,Gillingham,delayed by 13 minutes
2010-07-13,Train fault at Victoria,13:10,Orpington,Victoria,cancelled
2010-07-13,Train fault at Victoria,13:55,Victoria,Orpington,cancelled
2010-07-13,Train fault at Victoria,13:55,Orpington,Victoria,did not call at Petts Wood
2010-07-13,Train fault at Victoria,14:15,Faversham,Dover Priory,delayed by 13 minutes
2010-07-13,Train fault at Victoria,14:40,Orpington,Victoria,cancelled
2010-07-13,Train crew delayed,15:07,Cannon St,Slade Green,delayed by 10 minutes
2010-07-13,Driver error,15:09,Charing Cross,Gillingham,delayed by 20 minutes and terminated at Lewisham
2010-07-13,Driver error,15:20,Cannon St,Orpington,delayed by 14 minutes
2010-07-13,Driver error,15:24,Cannon St,Barnehurst,delayed by 12 minutes
2010-07-13,Driver error,16:03,Orpington,Cannon St,did not call at Petts Wood and delayed by 11 minutes
2010-07-13,Train maintenance required,17:35,Ashford,Canterbury West,delayed by 17 minutes
2010-07-13,Train fault,15:37,Victoria,Ashford,cancelled
2010-07-13,Train fault,17:54,Victoria,Rochester,terminated at Swanley
2010-07-13,Train fault,18:03,Victoria,Ashford,delayed by 14 minutes
2010-07-13,Driver issue at Lewisham,19:02,Charing Cross,Dartford,delayed by 11 minutes
2010-07-13,Driver issue at Lewisham,19:55,Dartford,Charing Cross,cancelled
2010-07-13,Technical fault,18:57,Victoria,Ramsgate,delayed by 10 minutes
2010-07-13,Schedule clash,21:25,St Pancras International,Faversham,delayed by 10 minutes
2010-07-13,Train fault,22:45,Faversham,Dover Priory,delayed by 15 minutes
2010-07-13,Under investigation,21:21,Tunbridge Wells,Charing Cross,started at Tonbridge
