2010-07-14,Emergency speed restriction,10:06,Sevenoaks,Charing Cross,delayed by 10 minutes
2010-07-14,Points failure at Tonbridge,04:51,Tonbridge,Ramsgate,delayed by 30 minutes and did not call at Westernhanger
2010-07-14,Points failure at Tonbridge,04:56,Tonbridge,Charing Cross,delayed by 31 minutes and did not call at Petts Wood
2010-07-14,Points failure at Tonbridge,05:00,Tonbridge,Tunbridge Wells,cancelled
2010-07-14,Points failure at Tonbridge,05:21,Tunbridge Wells,Charing Cross,started at Tonbridge
2010-07-14,Points failure at Tonbridge,05:50,Ashford,Victoria,delayed by 14 minutes
2010-07-14,Points failure at Tonbridge,06:09,Bearsted,Beckenham Junction,delayed by 10 minutes
2010-07-14,Points failure at Tonbridge,06:15,Charing Cross,Tunbridge Wells,did not call at Orpington
2010-07-14,Points failure at Tonbridge,06:48,Ramsgate,Charing Cross,started at Dover Priory
2010-07-14,Train fault,07:09,Sittingbourne,Sheerness,cancelled
2010-07-14,Train fault,07:35,Sheerness,Sittingbourne,cancelled
2010-07-14,Technical fault,07:29,Charing Cross,Tunbridge Wells,delayed by 10 minutes
2010-07-14,Technical fault,07:40,Tunbridge Wells,Charing Cross,started at Tonbridge
2010-07-14,Technical fault,08:22,Tunbridge Wells,Charing Cross,delayed by 15 minutes
2010-07-14,Technical fault,09:26,Charing Cross,Gravesend,delayed by 10 minutes
2010-07-14,Technical fault,09:30,Charing Cross,Tunbridge Wells,delayed by 10 minutes
2010-07-14,Technical fault,10:33,Ashford,Canterbury West,delayed by 21 minutes
2010-07-14,Signalling issue at Paddock Wood,06:24,Dover Priory,Charing Cross,delayed by 13 minutes
2010-07-14,Signalling issue at Paddock Wood,08:33,Charing Cross,Ramsgate,delayed by 23 minutes and did not call at Orpington
2010-07-14,Signalling issue at Paddock Wood,08:53,Charing Cross,Ashford,delayed by 16 minutes
2010-07-14,Signalling issue at Paddock Wood,09:00,Charing Cross,Tunbridge Wells,delayed by 14 minutes
2010-07-14,Signalling issue at Paddock Wood,10:03,Ashford,Ramsgate,delayed by 30 minutes
2010-07-14,Technical fault,07:12,Crayford,Cannon St,delayed by 16 minutes
2010-07-14,Driver error,07:15,Charing Cross,Hastings,delayed by 10 minutes
2010-07-14,Signalling issue,10:21,Tunbridge Wells,Charing Cross,delayed by 20 minutes and terminated at London Bridge
2010-07-14,Points failure at Tunbridge Wells,10:51,Tunbridge Wells,Charing Cross,delayed by 18 minutes and did not call at Hildenborough
2010-07-14,Train fault,13:10,Victoria,Orpington,cancelled
2010-07-14,Train fault,11:30,Charing Cross,Tunbridge Wells,started at London Bridge
2010-07-14,Electrical fault,13:15,Charing Cross,Hastings,delayed by 13 minutes
2010-07-14,Technical fault at Dartford,14:26,Charing Cross,Gravesend,terminated at Dartford
2010-07-14,Technical fault at Dartford,15:33,Gravesend,Charing Cross,started at Dartford
2010-07-14,Train fault at Depot,16:39,Sidcup,Cannon St,cancelled
2010-07-14,Train fault at Depot,17:21,Cannon St,Crayford,cancelled
2010-07-14,Train fault at Depot,18:01,Crayford,Cannon St,cancelled
2010-07-14,Train fault at Depot,18:50,Cannon St,Slade Green,cancelled
2010-07-14,Mechanical fault at Broadstairs,14:22,Victoria,Ramsgate,delayed by 41 minutes
2010-07-14,Mechanical fault at Broadstairs,14:52,Victoria,Ramsgate,delayed by 24 minutes
2010-07-14,Mechanical fault at Broadstairs,15:53,Margate,St Pancras International,terminated at Broadstairs
2010-07-14,Mechanical fault at Broadstairs,16:34,Ramsgate,Faversham,cancelled
2010-07-14,Mechanical fault at Broadstairs,16:39,Dover Priory,Victoria,delayed by 12 minutes and did not call at Meopham
2010-07-14,Mechanical fault at Broadstairs,16:40,Ramsgate,Charing Cross,delayed by 13 minutes
2010-07-14,Mechanical fault at Broadstairs,16:50,Ramsgate,Charing Cross,delayed by 25 minutes and did not call at Deal
2010-07-14,Mechanical fault at Broadstairs,16:53,Margate,St Pancras International,delayed by 12 minutes
2010-07-14,Mechanical fault at Broadstairs,18:57,Victoria,Ramsgate,delayed by 26 minutes
2010-07-14,Mechanical fault at Broadstairs,20:15,Faversham,Dover Priory,delayed by 28 minutes
2010-07-14,Mechanical fault at Broadstairs,21:05,Dover Priory,Victoria,delayed by 12 minutes
2010-07-14,Train fault at Faversham,17:05,Dover Priory,Victoria,delayed by 13 minutes
2010-07-14,Theft at Gillingham,17:05,Dover Priory,Victoria,terminated at Gillingham
2010-07-14,Theft at Gillingham,17:39,Dover Priory,Victoria,delayed by 13 minutes
2010-07-14,Theft at Gillingham,18:28,Faversham,St Pancras International,delayed by 15 minutes
2010-07-14,Theft at Gillingham,19:22,Victoria,Ramsgate,started at Gillingham
2010-07-14,Passenger disorder,18:42,Sheerness,Sittingbourne,delayed by 29 minutes
2010-07-14,Passenger disorder,19:23,Sittingbourne,Sheerness,cancelled
2010-07-14,Passenger disorder,19:46,Sheerness,Sittingbourne,cancelled
2010-07-14,Staff sickness,19:25,Dartford,Charing Cross,delayed by 12 minutes and did not call at Barnehurst
2010-07-14,Track circuit failure,21:54,Gillingham,Charing Cross,delayed by 10 minutes
2010-07-14,Track circuit failure,22:03,Gravesend,Charing Cross,delayed by 16 minutes
