2010-07-20,Early running freight train,05:02,Charing Cross,Gillingham,did not call at Kidbrooke
2010-07-20,Rail fault,06:13,Sevenoaks,Blackfriars,cancelled
2010-07-20,Rail fault,06:36,Blackfriars,Bromley South,cancelled
2010-07-20,Rail fault,06:36,Blackfriars,Beckenham Junction,cancelled
2010-07-20,Rail fault,06:40,Blackfriars,Orpington,delayed by 16 minutes
2010-07-20,Rail fault,06:40,Blackfriars,Sevenoaks,delayed by 16 minutes
2010-07-20,Rail fault,07:59,Beckenham Junction,Blackfriars,cancelled
2010-07-20,Rail fault,08:18,Bromley South,Blackfriars,cancelled
2010-07-20,Rail fault,08:20,Blackfriars,Sevenoaks,cancelled
2010-07-20,Rail fault,08:24,Sevenoaks,Blackfriars,cancelled
2010-07-20,Rail fault,08:42,Kent House,Blackfriars,cancelled
2010-07-20,Rail fault,08:43,Sevenoaks,Blackfriars,delayed by 13 minutes and diverted to Victoria
2010-07-20,Rail fault,08:47,Orpington,Blackfriars,delayed by 20 minutes
2010-07-20,Rail fault,09:42,Sevenoaks,Blackfriars,delayed by 21 minutes
2010-07-20,Rail fault,10:02,Sevenoaks,Blackfriars,delayed by 13 minutes
2010-07-20,Rail fault,10:21,Tunbridge Wells,Charing Cross,delayed by 18 minutes and terminated at London Bridge
2010-07-20,Rail fault,10:26,Blackfriars,Sevenoaks,cancelled
2010-07-20,Rail fault,10:32,Sevenoaks,Blackfriars,delayed by 11 minutes
2010-07-20,Rail fault,10:56,Blackfriars,Sevenoaks,delayed by 12 minutes
2010-07-20,Rail fault,11:02,Sevenoaks,Blackfriars,cancelled
2010-07-20,Rail fault,11:26,Blackfriars,Sevenoaks,delayed by 11 minutes
2010-07-20,Rail fault,11:30,Charing Cross,Tunbridge Wells,started at London Bridge
2010-07-20,Rail fault,11:56,Blackfriars,Sevenoaks,terminated at Elephant and Castle and Sevenoaks delayed by 10 minutes
2010-07-20,Rail fault,12:56,Blackfriars,Sevenoaks,cancelled
2010-07-20,Rail fault,13:32,Sevenoaks,Blackfriars,cancelled
2010-07-20,Delayed from depot,05:52,Charing Cross,Dartford,started at London Bridge
2010-07-20,Staff shortage,08:40,Victoria,Orpington,cancelled
2010-07-20,Staff shortage,09:25,Orpington,Victoria,cancelled
2010-07-20,Points failure,08:08,Gillingham,Charing Cross,delayed by 34 minutes and terminated at London Bridge
2010-07-20,Points failure,08:16,Cannon St,Cannon St,delayed by 52 minutes and terminated at New Cross
2010-07-20,Points failure,08:49,Charing Cross,Sidcup,terminated at Hither Green
2010-07-20,Points failure,08:51,Cannon St,Orpington,delayed by 10 minutes and did not call at Hither Green
2010-07-20,Points failure,08:55,Charing Cross,Gravesend,did not call at Hither Green
2010-07-20,Points failure,09:09,Victoria,Dartford,delayed by 15 minutes
2010-07-20,Points failure,09:09,Cannon St,Cannon St,did not call at Hither Green
2010-07-20,Points failure,09:18,Cannon St,Orpington,did not call at Lewisham
2010-07-20,Points failure,09:21,Charing Cross,Sidcup,""
2010-07-20,Points failure,09:26,Charing Cross,Gravesend,did not call at Hither Green
2010-07-20,Points failure,09:40,Cannon St,Cannon St,did not call at Hither Green
2010-07-20,Points failure,09:47,Charing Cross,Hayes,started at London Bridge and delayed by 10 minutes
2010-07-20,Points failure,09:50,Cannon St,Orpington,did not call at Lewisham
2010-07-20,Points failure,09:53,Bromley North,Grove Park,delayed by 20 minutes
2010-07-20,Points failure,10:00,Cannon St,Hayes,cancelled
2010-07-20,Points failure,10:03,Gravesend,Charing Cross,did not call at Crayford
2010-07-20,Points failure,10:07,Grove Park,Bromley North,cancelled
2010-07-20,Points failure,10:08,Dartford,Victoria,delayed by 13 minutes
2010-07-20,Points failure,10:20,Cannon St,Orpington,did not call at Lewisham
2010-07-20,Points failure,10:23,Bromley North,Grove Park,cancelled
2010-07-20,Points failure,10:50,Hayes,Cannon St,cancelled
2010-07-20,Points failure,10:50,Cannon St,Orpington,did not call at Lewisham
2010-07-20,Points failure,11:26,Charing Cross,Gravesend,did not call at Hither Green
2010-07-20,Points failure,11:40,Cannon St,Cannon St,cancelled
2010-07-20,Train fault,09:37,Cannon St,Slade Green,cancelled
2010-07-20,Train fault,10:38,Barnehurst,Cannon St,cancelled
2010-07-20,Trespasser on the line,11:22,Ramsgate,Ashford,delayed by 10 minutes
2010-07-20,Trespasser on the line,11:40,Charing Cross,Ramsgate,delayed by 11 minutes
2010-07-20,Trespasser on the line,11:40,Ramsgate,Charing Cross,delayed by 17 minutes
2010-07-20,Trespasser on the line,11:40,Ramsgate,Charing Cross,did not call at Pluckley
2010-07-20,Emergency speed restriction,11:45,Dover Priory,Victoria,delayed by 10 minutes
2010-07-20,Train fault,12:28,Ashford,Victoria,cancelled
2010-07-20,Train fault,12:47,Ashford,Victoria,did not call at Charing
2010-07-20,Train fault,14:07,Victoria,Ashford,started at Swanley
2010-07-20,Passenger taken ill,15:09,Charing Cross,Gillingham,delayed by 10 minutes
2010-07-20,Technical fault,16:24,Gillingham,Charing Cross,delayed by 14 minutes and terminated at Dartford
2010-07-20,Technical fault,17:54,Charing Cross,Sidcup,cancelled
2010-07-20,Mechanical fault,16:51,Cannon St,Hayes,cancelled
2010-07-20,Mechanical fault,17:37,Hayes,Charing Cross,cancelled
2010-07-20,Mechanical fault,18:27,Charing Cross,Hayes,cancelled
2010-07-20,Train fault,20:22,Victoria,Ramsgate,delayed by 11 minutes
2010-07-20,Signalling fault,21:03,Ashford,Ramsgate,delayed by 11 minutes
