2010-07-21,Infrastructure failure,08:06,Blackfriars,Sevenoaks,delayed by 25 minutes
2010-07-21,Track maintenance over run,04:10,Gillingham,Charing Cross,delayed by 26 minutes and terminated at London Bridge
2010-07-21,Track maintenance over run,04:35,Gillingham,Charing Cross,delayed by 10 minutes
2010-07-21,Track maintenance over run,05:39,Charing Cross,Gillingham,started at London Bridge
2010-07-21,Train fault at Ramsgate,07:06,Ramsgate,Victoria,delayed by 20 minutes and terminated at Faversham
2010-07-21,Train fault at Ramsgate,09:22,Victoria,Ramsgate,started at Faversham
2010-07-21,Technical fault,07:36,Cannon St,Dartford,cancelled
2010-07-21,Technical fault,08:24,Dartford,Charing Cross,started at Barnehurst
2010-07-21,Station staff issue,07:58,Faversham,St Pancras International,delayed by 10 minutes
2010-07-21,Train fault,06:48,Broadstairs,Cannon St,cancelled
2010-07-21,Mechanical fault,10:39,Victoria,Dartford,did not call at Blackheath and delayed by 15 minutes
2010-07-21,Mechanical fault,10:55,Victoria,Orpington,delayed by 11 minutes and did not call at Bickley
2010-07-21,Mechanical fault,11:40,Orpington,Victoria,did not call at Bromley South
2010-07-21,Track circuit failure,13:24,Gillingham,Charing Cross,did not call at Abbey Wood
2010-07-21,Track circuit failure,13:32,Gillingham,Victoria,delayed by 10 minutes
2010-07-21,Track circuit failure,13:54,Gillingham,Charing Cross,delayed by 14 minutes and did not call at Abbey Wood
2010-07-21,Track circuit failure,14:24,Gillingham,Charing Cross,delayed by 13 minutes and did not call at Abbey Wood
2010-07-21,Track circuit failure,14:32,Gillingham,Victoria,cancelled
2010-07-21,Track circuit failure,14:54,Gillingham,Charing Cross,cancelled
2010-07-21,Track circuit failure,15:56,Charing Cross,Gravesend,terminated at Dartford
2010-07-21,Track circuit failure,15:59,Victoria,Gillingham,cancelled
2010-07-21,Track circuit failure,17:03,Gravesend,Charing Cross,started at Dartford
2010-07-21,Train crew delayed,13:10,Cannon St,Cannon St,delayed by 15 minutes and did not call at Westcombe Park
2010-07-21,Train fault at Ramsgate,14:40,Ramsgate,Faversham,did not call at Broadstairs and delayed by 19 minutes
2010-07-21,Train fault at Ramsgate,14:45,Dover Priory,Victoria,did not call at Meopham and delayed by 15 minutes
2010-07-21,Mechanical defect,16:24,Cannon St,Barnehurst,cancelled
2010-07-21,Mechanical defect,17:15,Slade Green,Cannon St,cancelled
2010-07-21,Mechanical defect,18:05,Cannon St,Cannon St,started at Lee
2010-07-21,Electrical supply problems,19:04,Gravesend,Charing Cross,delayed by 17 minutes
2010-07-21,Train fault,17:56,Charing Cross,Barnehurst,did not call at London Bridge
2010-07-21,Mechanical issue,16:58,Faversham,St Pancras International,delayed by 12 minutes
2010-07-21,Security alert,18:30,Charing Cross,Sevenoaks,delayed by 10 minutes
2010-07-21,Security alert,19:36,Sevenoaks,Charing Cross,started at Orpington
2010-07-21,Passenger boarding delays,19:26,Charing Cross,Gravesend,delayed by 10 minutes
2010-07-21,Under investigation,18:30,Charing Cross,Sevenoaks,terminated at Orpington
2010-07-21,Under investigation,20:46,Dartford,London Bridge,cancelled
2010-07-21,Under investigation,21:50,London Bridge,Dartford,cancelled
