2010-07-25,Train fault at Ashford,07:53,Margate,St Pancras International,terminated at Ashford
2010-07-25,Train fault at Ashford,09:40,St Pancras International,Margate,delayed by 16 minutes
2010-07-25,Track maintenance,21:16,Grove Park,Sevenoaks,delayed by 12 minutes
2010-07-25,Mechanical fault at Gravesend,08:54,Gillingham,Charing Cross,delayed by 11 minutes and did not call at Abbey Wood
2010-07-25,Mechanical fault at Gravesend,09:03,Gravesend,Sidcup,delayed by 22 minutes and terminated at Dartford
2010-07-25,Mechanical fault at Gravesend,09:26,Sidcup,Gravesend,started at Dartford
2010-07-25,Suicidal passenger at Plumstead,09:00,Charing Cross,Dartford,delayed by 62 minutes
2010-07-25,Suicidal passenger at Plumstead,09:10,Charing Cross,Gillingham,delayed by 63 minutes and terminated at Dartford
2010-07-25,Suicidal passenger at Plumstead,09:13,Dartford,Charing Cross,delayed by 69 minutes
2010-07-25,Suicidal passenger at Plumstead,09:23,London Bridge,Plumstead,delayed by 63 minutes
2010-07-25,Suicidal passenger at Plumstead,09:24,Gillingham,Charing Cross,did not call at Abbey Wood
2010-07-25,Suicidal passenger at Plumstead,09:30,Charing Cross,Dartford,did not call at Woolwich Dockyard
2010-07-25,Suicidal passenger at Plumstead,09:40,Charing Cross,Gillingham,did not call at Charlton
2010-07-25,Suicidal passenger at Plumstead,09:43,Dartford,Charing Cross,delayed by 10 minutes and did not call at Slade Green
2010-07-25,Suicidal passenger at Plumstead,09:47,Plumstead,London Bridge,cancelled
2010-07-25,Suicidal passenger at Plumstead,09:53,London Bridge,Plumstead,cancelled
2010-07-25,Suicidal passenger at Plumstead,10:00,Charing Cross,Dartford,did not call at Deptford
2010-07-25,Suicidal passenger at Plumstead,10:10,Charing Cross,Gillingham,cancelled
2010-07-25,Suicidal passenger at Plumstead,10:13,Dartford,Charing Cross,cancelled
2010-07-25,Suicidal passenger at Plumstead,10:17,Plumstead,London Bridge,cancelled
2010-07-25,Suicidal passenger at Plumstead,10:23,London Bridge,Plumstead,cancelled
2010-07-25,Suicidal passenger at Plumstead,10:43,Dartford,Charing Cross,delayed by 18 minutes and terminated at London Bridge
2010-07-25,Suicidal passenger at Plumstead,10:47,Plumstead,London Bridge,cancelled
2010-07-25,Suicidal passenger at Plumstead,10:53,London Bridge,Plumstead,cancelled
2010-07-25,Suicidal passenger at Plumstead,10:54,Gillingham,Charing Cross,started at Dartford
2010-07-25,Suicidal passenger at Plumstead,11:10,Charing Cross,Gillingham,started at Dartford and delayed by 15 minutes
2010-07-25,Suicidal passenger at Plumstead,11:17,Plumstead,London Bridge,cancelled
2010-07-25,Suicidal passenger at Plumstead,11:40,Charing Cross,Gillingham,started at London Bridge
2010-07-25,Suicidal passenger at Plumstead,11:47,Plumstead,London Bridge,cancelled
2010-07-25,Suicidal passenger at Plumstead,11:53,London Bridge,Plumstead,cancelled
2010-07-25,Suicidal passenger at Plumstead,11:54,Gillingham,Charing Cross,started at Dartford
2010-07-25,Train fault,11:46,Grove Park,Orpington,delayed by 11 minutes
2010-07-25,External fire at Plumstead,15:40,Charing Cross,Gillingham,did not call at Charlton
2010-07-25,External fire at Plumstead,15:54,Gillingham,Charing Cross,did not call at Abbey Wood
2010-07-25,External fire at Plumstead,16:00,Charing Cross,Dartford,did not call at Woolwich Dockyard
2010-07-25,External fire at Plumstead,16:10,Charing Cross,Gillingham,did not call at Charlton
2010-07-25,External fire at Plumstead,16:13,Dartford,Charing Cross,did not call at Slade Green
2010-07-25,External fire at Plumstead,16:24,Gillingham,Charing Cross,did not call at Abbey Wood
2010-07-25,External fire at Plumstead,16:30,Charing Cross,Dartford,did not call at Deptford
2010-07-25,External fire at Plumstead,16:40,Charing Cross,Gillingham,did not call at Charlton
2010-07-25,External fire at Plumstead,16:43,Dartford,Charing Cross,did not call at Slade Green
2010-07-25,External fire at Plumstead,16:54,Gillingham,Charing Cross,did not call at Abbey Wood
2010-07-25,External fire at Plumstead,17:00,Charing Cross,Dartford,did not call at Deptford
2010-07-25,External fire at Plumstead,17:10,Charing Cross,Gillingham,did not call at Charlton
2010-07-25,External fire at Plumstead,17:13,Dartford,Charing Cross,did not call at Slade Green
2010-07-25,External fire at Plumstead,17:24,Gillingham,Charing Cross,did not call at Abbey Wood
2010-07-25,External fire at Plumstead,17:30,Charing Cross,Dartford,did not call at Deptford
2010-07-25,External fire at Plumstead,17:40,Charing Cross,Gillingham,did not call at Charlton
2010-07-25,External fire at Plumstead,17:43,Dartford,Charing Cross,did not call at Slade Green
2010-07-25,External fire at Plumstead,17:54,Gillingham,Charing Cross,did not call at Abbey Wood
2010-07-25,External fire at Plumstead,18:00,Charing Cross,Dartford,did not call at Deptford
2010-07-25,External fire at Plumstead,18:10,Charing Cross,Gillingham,did not call at Woolwich Dockyard
2010-07-25,External fire at Plumstead,18:13,Dartford,Charing Cross,did not call at Slade Green
2010-07-25,External fire at Plumstead,18:24,Gillingham,Charing Cross,did not call at Abbey Wood
2010-07-25,External fire at Plumstead,18:30,Charing Cross,Dartford,did not call at Deptford
2010-07-25,External fire at Plumstead,18:40,Charing Cross,Gillingham,did not call at Charlton
2010-07-25,External fire at Plumstead,18:43,Dartford,Charing Cross,did not call at Slade Green
2010-07-25,External fire at Plumstead,18:54,Gillingham,Charing Cross,did not call at Abbey Wood
2010-07-25,External fire at Plumstead,19:00,Charing Cross,Dartford,did not call at Deptford
2010-07-25,External fire at Plumstead,19:10,Charing Cross,Gillingham,did not call at Charlton
2010-07-25,External fire at Plumstead,19:24,Gillingham,Charing Cross,did not call at Abbey Wood
2010-07-25,External fire at Plumstead,19:30,Charing Cross,Dartford,did not call at Deptford
2010-07-25,External fire at Plumstead,19:40,Charing Cross,Gillingham,terminated at Dartford
2010-07-25,External fire at Plumstead,19:43,Dartford,Charing Cross,did not call at Slade Green
2010-07-25,External fire at Plumstead,19:45,Gillingham,Charing Cross,did not call at Abbey Wood
2010-07-25,External fire at Plumstead,20:00,Charing Cross,Dartford,did not call at Deptford
2010-07-25,External fire at Plumstead,20:10,Dartford,Charing Cross,cancelled
2010-07-25,External fire at Plumstead,20:10,Charing Cross,Gillingham,did not call at Charlton
2010-07-25,External fire at Plumstead,20:13,Dartford,Charing Cross,did not call at Slade Green
2010-07-25,External fire at Plumstead,20:15,Gillingham,Charing Cross,did not call at Abbey Wood
2010-07-25,External fire at Plumstead,20:30,Charing Cross,Dartford,did not call at Deptford
2010-07-25,External fire at Plumstead,20:40,Charing Cross,Gillingham,did not call at Charlton
2010-07-25,External fire at Plumstead,20:43,Dartford,Charing Cross,did not call at Slade Green
2010-07-25,External fire at Plumstead,21:00,Charing Cross,Dartford,did not call at Charlton
2010-07-25,External fire at Plumstead,21:10,Charing Cross,Gillingham,did not call at Charlton
2010-07-25,External fire at Plumstead,21:13,Dartford,Charing Cross,did not call at Charlton
2010-07-25,External fire at Plumstead,21:15,Gillingham,Charing Cross,started at Dartford
2010-07-25,Driver delay,17:08,Victoria,Ramsgate,delayed by 22 minutes and did not call at Paddock Wood
2010-07-25,Technical fault at Ashford,17:50,Ramsgate,Victoria,delayed by 12 minutes
2010-07-25,Technical fault at Ashford,18:35,Canterbury West,Ashford,delayed by 10 minutes
2010-07-25,Planning issue,20:55,Tonbridge,Charing Cross,delayed by 14 minutes
2010-07-25,Signalling issue,22:45,Victoria,Ashford,delayed by 18 minutes
