2010-08-10,Track patrolling at Lewisham,04:56,Charing Cross,Gravesend,did not call at Lewisham
2010-08-10,Track patrolling at Lewisham,05:15,Hayes,Charing Cross,started at Lewisham
2010-08-10,Track patrolling at Lewisham,05:15,Hayes,Charing Cross,delayed by 10 minutes
2010-08-10,Train fault at Strood,05:35,Strood,Paddock Wood,delayed by 15 minutes
2010-08-10,Train fault at Kidbrooke,08:38,Dartford,Victoria,terminated at Blackheath
2010-08-10,Train fault at Kidbrooke,09:39,Victoria,Dartford,cancelled
2010-08-10,Train awaiting entry to Grove Park sidings,10:33,Ashford,Canterbury West,delayed by 11 minutes
2010-08-10,Train fault at Cannon St,10:47,Cannon St,Cannon St,cancelled
2010-08-10,Train fault at Charing Cross,11:06,Charing Cross,Sevenoaks,cancelled
2010-08-10,Train fault at Charing Cross,12:06,Sevenoaks,Charing Cross,started at Orpington
2010-08-10,Driver error,14:40,Sittingbourne,Sheerness,cancelled
2010-08-10,Driver error,15:02,Sheerness,Sittingbourne,cancelled
2010-08-10,Driver error,15:22,Dartford,Charing Cross,cancelled
2010-08-10,Driver error,16:20,Charing Cross,Hayes,cancelled
2010-08-10,Driver error,17:08,Hayes,Charing Cross,cancelled
2010-08-10,Train fault at London Bridge,15:17,Cannon St,Cannon St,delayed by 19 minutes
2010-08-10,Train fault at London Bridge,15:17,Cannon St,Cannon St,terminated at Slade Green
2010-08-10,Train fault at London Bridge,16:58,Cannon St,Cannon St,cancelled
2010-08-10,Train fault at London Bridge,18:34,Cannon St,Barnehurst,cancelled
2010-08-10,Train fault at Orpington,16:03,Orpington,Cannon St,"delayed by 15 minutes and did not call Lewisham, New Cross or St Johns"
2010-08-10,Disruptive passengers at Belvedere,15:40,Cannon St,Cannon St,delayed by 12 minutes
2010-08-10,Disruptive passengers at Belvedere,15:54,Gillingham,Cannon St,delayed by 12 minutes
2010-08-10,Disruptive passengers at Belvedere,16:15,Slade Green,Cannon St,delayed by 17 minutes
2010-08-10,Disruptive passengers at Belvedere,16:15,Slade Green,Cannon St,terminated at Plumstead
2010-08-10,Disruptive passengers at Belvedere,17:04,Cannon St,Barnehurst,cancelled
2010-08-10,Disruptive passengers at Belvedere,17:55,Slade Green,Cannon St,cancelled
2010-08-10,Disruptive passengers at Belvedere,18:46,Cannon St,Slade Green,cancelled
2010-08-10,Disruptive passengers at Belvedere,19:39,Charing Cross,Gillingham,terminated at Strood
2010-08-10,Flood in sidings at Cricklewood,17:18,Blackfriars,Sevenoaks,delayed by 12 minutes
2010-08-10,Road vehicle bridge strike at Chislehurst,15:50,Ramsgate,Charing Cross,delayed by 11 minutes
2010-08-10,Road vehicle bridge strike at Chislehurst,17:21,Tunbridge Wells,Charing Cross,delayed by 10 minutes
2010-08-10,Road vehicle bridge strike at Chislehurst,17:26,Charing Cross,Orpington,delayed by 37 minutes
2010-08-10,Road vehicle bridge strike at Chislehurst,17:26,Charing Cross,Orpington,terminated at Chislehurst
2010-08-10,Road vehicle bridge strike at Chislehurst,17:30,Cannon St,Ramsgate,delayed by 29 minutes
2010-08-10,Road vehicle bridge strike at Chislehurst,17:35,Sevenoaks,Charing Cross,delayed by 10 minutes
2010-08-10,Road vehicle bridge strike at Chislehurst,17:41,Charing Cross,Ramsgate,delayed by 10 minutes
2010-08-10,Road vehicle bridge strike at Chislehurst,17:45,Cannon St,Ramsgate,delayed by 14 minutes
2010-08-10,Road vehicle bridge strike at Chislehurst,17:45,Charing Cross,Tunbridge Wells,delayed by 14 minutes
2010-08-10,Road vehicle bridge strike at Chislehurst,17:47,Charing Cross,Orpington,delayed by 13 minutes
2010-08-10,Road vehicle bridge strike at Chislehurst,17:47,Charing Cross,Orpington,delayed by 12 minutes
2010-08-10,Road vehicle bridge strike at Chislehurst,18:03,Charing Cross,Ore,terminated at Hastings
2010-08-10,Road vehicle bridge strike at Chislehurst,18:03,Cannon St,Sevenoaks,delayed by 10 minutes
2010-08-10,Road vehicle bridge strike at Chislehurst,18:07,Charing Cross,Tunbridge Wells,delayed by 14 minutes
2010-08-10,Road vehicle bridge strike at Chislehurst,18:07,Charing Cross,Tunbridge Wells,terminated at Tonbridge
2010-08-10,Road vehicle bridge strike at Chislehurst,18:14,Cannon St,Ramsgate,delayed by 11 minutes
2010-08-10,Road vehicle bridge strike at Chislehurst,18:33,Tunbridge Wells,Hastings,delayed by 11 minutes
2010-08-10,Road vehicle bridge strike at Chislehurst,18:34,Orpington,Cannon St,delayed by 25 minutes
