2010-08-22,Delayed by freight train,01:03,Ashford,Canterbury West,delayed by 12 minutes
2010-08-22,Track circuit failure,09:23,Charing Cross,Hastings,delayed by 12 minutes
2010-08-22,Track circuit failure,09:34,Tonbridge,Hastings,delayed by 17 minutes
2010-08-22,Track circuit failure,10:08,Hastings,Charing Cross,delayed by 13 minutes and did not call at Sevenoaks
2010-08-22,Track circuit failure,10:28,Hastings,Charing Cross,delayed by 18 minutes and terminated at London Bridge
2010-08-22,Track circuit failure,11:08,Hastings,Charing Cross,delayed by 17 minutes and terminated at London Bridge
2010-08-22,Track circuit failure,11:28,Hastings,Charing Cross,delayed by 21 minutes and terminated at London Bridge
2010-08-22,Track circuit failure,12:23,Charing Cross,Hastings,started at London Bridge
2010-08-22,Track circuit failure,12:53,Charing Cross,Hastings,started at London Bridge and delayed by 14 minutes
2010-08-22,Track circuit failure,13:23,Charing Cross,Hastings,started at London Bridge and delayed by 18 minutes
2010-08-22,Track circuit failure,13:53,Charing Cross,Hastings,delayed by 18 minutes
2010-08-22,Track circuit failure,14:23,Charing Cross,Hastings,delayed by 14 minutes
2010-08-22,Power failure at Swanley,12:34,Dover Priory,Victoria,delayed by 84 minutes
2010-08-22,Power failure at Swanley,12:47,Ashford,Victoria,delayed by 88 minutes
2010-08-22,Power failure at Swanley,13:09,Victoria,Sevenoaks,delayed by 81 minutes and did not call at St Mary Cray
2010-08-22,Power failure at Swanley,13:22,Canterbury East,Victoria,delayed by 55 minutes and terminated at Bromley South
2010-08-22,Power failure at Swanley,13:24,Victoria,Canterbury East,delayed by 60 minutes and terminated at Faversham
2010-08-22,Power failure at Swanley,13:34,Dover Priory,Victoria,delayed by 11 minutes and did not call at Bromley South
2010-08-22,Power failure at Swanley,13:39,Victoria,Sevenoaks,did not call at St Mary Cray
2010-08-22,Power failure at Swanley,13:45,Victoria,Ashford,did not call at St Mary Cray
2010-08-22,Power failure at Swanley,13:47,Ashford,Victoria,delayed by 10 minutes and terminated at Borough Green & Wrotham
2010-08-22,Power failure at Swanley,13:54,Sevenoaks,Victoria,delayed by 24 minutes and did not call at Bat & Ball
2010-08-22,Power failure at Swanley,14:05,Victoria,Ramsgate,delayed by 23 minutes and did not call at Bromley South
2010-08-22,Power failure at Swanley,14:09,Victoria,Sevenoaks,did not call at St Mary Cray
2010-08-22,Power failure at Swanley,14:24,Sevenoaks,Victoria,cancelled
2010-08-22,Power failure at Swanley,14:24,Victoria,Canterbury East,did not call at Bromley South
2010-08-22,Power failure at Swanley,14:39,Victoria,Sevenoaks,did not call at St Mary Cray
2010-08-22,Power failure at Swanley,14:45,Victoria,Ashford,cancelled
2010-08-22,Power failure at Swanley,14:54,Sevenoaks,Victoria,did not call at Bat & Ball
2010-08-22,Power failure at Swanley,15:05,Victoria,Ramsgate,delayed by 65 minutes and terminated at Margate
2010-08-22,Power failure at Swanley,15:09,Victoria,Sevenoaks,delayed by 19 minutes and did not call at Eynesford
2010-08-22,Power failure at Swanley,15:19,Faversham,Dover Priory,delayed by 24 minutes
2010-08-22,Power failure at Swanley,15:22,Canterbury East,Victoria,started at Faversham
2010-08-22,Power failure at Swanley,15:24,Victoria,Canterbury East,started Bromley South delayed by 15 minutes and terminated Faversham
2010-08-22,Power failure at Swanley,15:39,Victoria,Sevenoaks,cancelled
2010-08-22,Power failure at Swanley,15:45,Victoria,Ashford,cancelled
2010-08-22,Power failure at Swanley,15:51,Victoria,Orpington,delayed by 10 minutes and terminated at Bromley South
2010-08-22,Power failure at Swanley,16:19,Faversham,Dover Priory,delayed by 60 minutes and terminated at Canterbury East
2010-08-22,Power failure at Swanley,16:24,Sevenoaks,Victoria,delayed by 11 minutes
2010-08-22,Power failure at Swanley,16:36,Orpington,Victoria,started at Bromley South
2010-08-22,Power failure at Swanley,17:19,Faversham,Dover Priory,delayed by 13 minutes
2010-08-22,Power failure at Swanley,17:22,Canterbury East,Victoria,started at Faversham
2010-08-22,Power failure at Swanley,17:34,Dover Priory,Victoria,started at Canterbury East
2010-08-22,Power failure at Swanley,17:34,Ramsgate,Faversham,started at Margate
2010-08-22,Train fault at Tonbridge,15:40,Ramsgate,Charing Cross,delayed by 10 minutes
2010-08-22,Technical fault,17:08,Charing Cross,Ramsgate,terminated at Sandling
2010-08-22,Technical fault,18:08,Charing Cross,Ramsgate,delayed by 10 minutes
2010-08-22,Trespasser on the line,18:53,Margate,St Pancras International,delayed by 12 minutes
2010-08-22,Trespasser on the line,19:12,St Pancras International,Dover Priory,delayed by 21 minutes
2010-08-22,Train fault at Ashford,18:38,Charing Cross,Ramsgate,delayed by 10 minutes
2010-08-22,Bridge strike,21:19,Faversham,Dover Priory,delayed by 46 minutes
2010-08-22,Bridge strike,22:34,Dover Priory,Faversham,delayed by 16 minutes
2010-08-22,Bridge strike,22:34,Ramsgate,Victoria,delayed by 11 minutes
