2010-08-30,Train fault,07:44,Dover Priory,St Pancras International,terminated at Ebbsfleet International
2010-08-30,Train fault,09:12,St Pancras International,Dover Priory,started at Ashford
2010-08-30,Attempted suicide at Gillingham,08:40,Charing Cross,Gillingham,delayed by 13 minutes
2010-08-30,Attempted suicide at Gillingham,09:02,Victoria,Ramsgate,delayed by 16 minutes
2010-08-30,Attempted suicide at Gillingham,09:34,Faversham,Victoria,delayed by 12 minutes
2010-08-30,Attempted suicide at Gillingham,10:19,Faversham,Dover Priory,delayed by 26 minutes
2010-08-30,Tree on the line,09:53,Charing Cross,Hastings,delayed by 62 minutes
2010-08-30,Tree on the line,10:23,Charing Cross,Hastings,delayed by 47 minutes
2010-08-30,Tree on the line,10:53,Charing Cross,Hastings,delayed by 35 minutes
2010-08-30,Tree on the line,11:08,Hastings,Charing Cross,delayed by 12 minutes and terminated at London Bridge
2010-08-30,Tree on the line,12:28,Hastings,Charing Cross,delayed by 11 minutes and terminated at London Bridge
2010-08-30,Tree on the line,13:08,Hastings,Charing Cross,delayed by 19 minutes and terminated at London Bridge
2010-08-30,Tree on the line,14:23,Charing Cross,Hastings,started at London Bridge
2010-08-30,Tree on the line,14:53,Charing Cross,Hastings,started at London Bridge
2010-08-30,Driver error,13:22,Victoria,Orpington,did not call at Shortlands
2010-08-30,Mechanical fault at Tunbridge Wells,16:23,Charing Cross,Hastings,delayed by 10 minutes
2010-08-30,Passenger disorder,17:08,Charing Cross,Ramsgate,delayed by 10 minutes
2010-08-30,Technical fault,22:40,Dartford,Charing Cross,terminated at Kidbrooke
2010-08-30,Technical fault,23:46,Charing Cross,Orpington,delayed by 30 minutes
2010-08-30,Signal failure at Tunbridge Wells,22:31,Hastings,Tonbridge,delayed by 12 minutes
