2010-09-02,Track maintenance over run,05:00,Tonbridge,Tunbridge Wells,cancelled
2010-09-02,Track maintenance over run,05:21,Tunbridge Wells,Charing Cross,started at Tonbridge
2010-09-02,Train fault,06:36,Blackfriars,Beckenham Junction,delayed by 14 minutes
2010-09-02,Staff shortage,06:10,Orpington,Victoria,cancelled
2010-09-02,Staff shortage,08:55,Orpington,Victoria,delayed by 13 minutes and did not call at Shortlands
2010-09-02,Delayed from depot,06:40,Ramsgate,Charing Cross,did not call at Chartham
2010-09-02,Mechanical fault,07:12,Blackfriars,Kent House,terminated at Elephant and Castle
2010-09-02,Mechanical fault,08:42,Kent House,Blackfriars,started at Elephant and Castle
2010-09-02,Track circuit failure,12:47,Ashford,Victoria,delayed by 10 minutes
2010-09-02,Track circuit failure,17:10,Orpington,Victoria,delayed by 14 minutes and did not call at Petts Wood
2010-09-02,Bridge structure under question,14:10,Charing Cross,Ramsgate,delayed by 35 minutes and did not call at Westernhanger
2010-09-02,Bridge structure under question,14:24,Dover Priory,Charing Cross,terminated at Orpington and delayed by 36 minutes
2010-09-02,Bridge structure under question,14:40,Charing Cross,Ramsgate,delayed by 10 minutes
2010-09-02,Bridge structure under question,14:40,Ramsgate,Charing Cross,delayed by 21 minutes and did not call at Sevenoaks
2010-09-02,Bridge structure under question,15:33,Ashford,Canterbury West,cancelled
2010-09-02,Bridge structure under question,16:03,Ashford,Ramsgate,delayed by 25 minutes
2010-09-02,Bridge structure under question,16:35,Canterbury West,Ashford,cancelled
2010-09-02,Bridge structure under question,16:37,Charing Cross,Ramsgate,started at Orpington
2010-09-02,Bridge structure under question,16:50,Ramsgate,Charing Cross,delayed by 27 minutes and did not call at Sandwich
2010-09-02,Bridge structure under question,17:04,Ramsgate,Faversham,delayed by 12 minutes
2010-09-02,Bridge structure under question,18:03,Charing Cross,Ore,terminated at Hastings
2010-09-02,Technical fault,15:40,Blackfriars,Beckenham Junction,delayed by 25 minutes
2010-09-02,Train crew delayed,15:40,Cannon St,Cannon St,delayed by 10 minutes and did not call at Erith
2010-09-02,Passenger taken ill,18:49,Ashford,Victoria,delayed by 11 minutes
2010-09-02,Graffiti artists on the line,22:32,Sevenoaks,Victoria,delayed by 26 minutes
2010-09-02,Graffiti artists on the line,23:43,Victoria,Orpington,delayed by 17 minutes
