2010-09-07,Police incident,06:55,Hayes,Cannon St,cancelled
2010-09-07,Police incident,07:41,Cannon St,Cannon St,cancelled
2010-09-07,Maintenance required,06:01,Dartford,Charing Cross,did not call at Westcombe Park
2010-09-07,Maintenance required,06:23,Hayes,Cannon St,started at Lewisham
2010-09-07,Points failure at Wadhurst,06:03,Hastings,Charing Cross,delayed by 37 minutes
2010-09-07,Points failure at Wadhurst,06:07,Tonbridge,Ore,delayed by 71 minutes and terminated at Hastings
2010-09-07,Points failure at Wadhurst,06:12,Ore,Charing Cross,delayed by 31 minutes
2010-09-07,Points failure at Wadhurst,06:30,Hastings,Tunbridge Wells,delayed by 27 minutes
2010-09-07,Points failure at Wadhurst,06:35,Tonbridge,Hastings,terminated at Tunbridge Wells
2010-09-07,Points failure at Wadhurst,06:39,Ore,Cannon St,delayed by 25 minutes
2010-09-07,Points failure at Wadhurst,06:45,Charing Cross,Hastings,delayed by 11 minutes
2010-09-07,Points failure at Wadhurst,07:00,Tunbridge Wells,Charing Cross,did not call at Chelsfield
2010-09-07,Points failure at Wadhurst,07:03,Hastings,Charing Cross,delayed by 20 minutes
2010-09-07,Points failure at Wadhurst,07:11,Tonbridge,Tunbridge Wells,cancelled
2010-09-07,Points failure at Wadhurst,07:15,Charing Cross,Hastings,delayed by 11 minutes
2010-09-07,Points failure at Wadhurst,07:25,Hastings,Cannon St,delayed by 20 minutes
2010-09-07,Points failure at Wadhurst,07:41,Ore,Charing Cross,started at Hastings
2010-09-07,Points failure at Wadhurst,07:47,Cannon St,Hastings,delayed by 11 minutes
2010-09-07,Points failure at Wadhurst,08:00,Charing Cross,Tunbridge Wells,cancelled
2010-09-07,Points failure at Wadhurst,08:17,Charing Cross,Hastings,delayed by 46 minutes and did not call at Orpington
2010-09-07,Points failure at Wadhurst,08:22,Tunbridge Wells,Charing Cross,delayed by 12 minutes
2010-09-07,Points failure at Wadhurst,08:27,Charing Cross,Tunbridge Wells,delayed by 10 minutes
2010-09-07,Points failure at Wadhurst,08:42,Cannon St,Hastings,delayed by 30 minutes and terminated at Tunbridge Wells
2010-09-07,Points failure at Wadhurst,08:53,Charing Cross,Ashford,delayed by 20 minutes
