2010-09-12,Planning error,07:58,Ebbsfleet International,St Pancras International,delayed by 11 minutes
2010-09-12,Staff shortage,08:47,Plumstead,London Bridge,cancelled
2010-09-12,Mechanical fault at London Bridge,08:19,Dartford,Charing Cross,delayed by 10 minutes
2010-09-12,Train fault at Maidstone West,08:35,Maidstone West,Paddock Wood,cancelled
2010-09-12,Train fault at Maidstone West,09:34,Paddock Wood,Maidstone West,cancelled
2010-09-12,Train fault at Maidstone West,09:35,Maidstone West,Paddock Wood,cancelled
2010-09-12,Train fault at Maidstone West,09:50,Ramsgate,Charing Cross,delayed by 15 minutes
2010-09-12,Train fault at Maidstone West,10:34,Paddock Wood,Maidstone West,cancelled
2010-09-12,Train fault at Maidstone West,10:35,Maidstone West,Paddock Wood,cancelled
2010-09-12,Train fault at Maidstone West,10:38,Charing Cross,Ashford,did not call at Paddock Wood
2010-09-12,Train fault at Maidstone West,11:34,Paddock Wood,Maidstone West,cancelled
2010-09-12,Train fault at Maidstone West,11:35,Maidstone West,Paddock Wood,cancelled
2010-09-12,Train planning error,09:17,Plumstead,London Bridge,""
2010-09-12,Train planning error,09:23,London Bridge,Plumstead,started at Charlton
2010-09-12,Train planning error,09:47,Plumstead,London Bridge,cancelled
2010-09-12,Train planning error,09:53,London Bridge,Plumstead,cancelled
2010-09-12,Train planning error,10:17,Plumstead,London Bridge,cancelled
2010-09-12,Train planning error,10:23,London Bridge,Plumstead,cancelled
2010-09-12,Train planning error,10:47,Plumstead,London Bridge,cancelled
2010-09-12,Train planning error,10:53,London Bridge,Plumstead,cancelled
2010-09-12,Train planning error,11:17,Plumstead,London Bridge,cancelled
2010-09-12,Train planning error,11:23,London Bridge,Plumstead,cancelled
2010-09-12,Train planning error,11:47,Plumstead,London Bridge,cancelled
2010-09-12,Train planning error,11:53,London Bridge,Plumstead,cancelled
2010-09-12,Train planning error,12:17,Plumstead,London Bridge,cancelled
2010-09-12,Train planning error,12:23,London Bridge,Plumstead,cancelled
2010-09-12,Train planning error,12:47,Plumstead,London Bridge,cancelled
2010-09-12,Train planning error,12:53,London Bridge,Plumstead,cancelled
2010-09-12,Train planning error,13:17,Plumstead,London Bridge,cancelled
2010-09-12,Train planning error,13:23,London Bridge,Plumstead,cancelled
2010-09-12,Train planning error,13:47,Plumstead,London Bridge,cancelled
2010-09-12,Train planning error,13:53,London Bridge,Plumstead,cancelled
2010-09-12,Train planning error,14:17,Plumstead,London Bridge,cancelled
2010-09-12,Train planning error,14:23,London Bridge,Plumstead,cancelled
2010-09-12,Train planning error,14:47,Plumstead,London Bridge,cancelled
2010-09-12,Train planning error,14:53,London Bridge,Plumstead,cancelled
2010-09-12,Train planning error,15:17,Plumstead,London Bridge,cancelled
2010-09-12,Train planning error,15:23,London Bridge,Plumstead,cancelled
2010-09-12,Train planning error,15:47,Plumstead,London Bridge,cancelled
2010-09-12,Train planning error,15:53,London Bridge,Plumstead,cancelled
2010-09-12,Train planning error,16:17,Plumstead,London Bridge,cancelled
2010-09-12,Train planning error,16:23,London Bridge,Plumstead,cancelled
2010-09-12,Train planning error,16:47,Plumstead,London Bridge,cancelled
2010-09-12,Train planning error,16:53,London Bridge,Plumstead,cancelled
2010-09-12,Train planning error,17:17,Plumstead,London Bridge,cancelled
2010-09-12,Train planning error,17:23,London Bridge,Plumstead,cancelled
2010-09-12,Train planning error,17:47,Plumstead,London Bridge,cancelled
2010-09-12,Train planning error,17:53,London Bridge,Plumstead,cancelled
2010-09-12,Train planning error,18:17,Plumstead,London Bridge,cancelled
2010-09-12,Train planning error,18:23,London Bridge,Plumstead,cancelled
2010-09-12,Train planning error,18:53,London Bridge,Plumstead,cancelled
2010-09-12,External power supply problem,13:42,Sheerness,Sittingbourne,cancelled
2010-09-12,External power supply problem,14:10,Sittingbourne,Sheerness,cancelled
2010-09-12,External power supply problem,14:42,Sheerness,Sittingbourne,cancelled
2010-09-12,External power supply problem,15:10,Sittingbourne,Sheerness,cancelled
2010-09-12,External power supply problem,15:42,Sheerness,Sittingbourne,cancelled
2010-09-12,External power supply problem,16:10,Sittingbourne,Sheerness,cancelled
2010-09-12,External power supply problem,16:42,Sheerness,Sittingbourne,delayed by 10 minutes
2010-09-12,Train crew delayed,17:09,Victoria,Bromley North,delayed by 15 minutes
2010-09-12,Under investigation,21:19,Faversham,Dover Priory,delayed by 14 minutes
