2010-09-18,Awaiting driver at Orpington,06:25,Orpington,Victoria,delayed by 11 minutes
2010-09-18,Driver unavailable at Tonbridge,07:21,Tunbridge Wells,Charing Cross,terminated at London Bridge
2010-09-18,Driver unavailable at Tonbridge,07:21,Tunbridge Wells,Charing Cross,delayed by 17 minutes
2010-09-18,Driver unavailable at Tonbridge,07:28,Tonbridge,Tunbridge Wells,cancelled
2010-09-18,Driver unavailable at Tonbridge,08:30,Charing Cross,Tunbridge Wells,started at London Bridge
2010-09-18,Train fault at Dartford,09:38,Dartford,Victoria,delayed by 10 minutes and ran fast Barnehurst to Blackheath
2010-09-18,Driver unavailable at Victoria,10:58,Victoria,Gillingham,cancelled
2010-09-18,Driver unavailable at Victoria,12:32,Gillingham,Victoria,cancelled
2010-09-18,Train fault at Wadhurst,10:50,Hastings,Charing Cross,terminated at London Bridge
2010-09-18,Train fault at Wadhurst,12:45,Charing Cross,Hastings,started at London Bridge
2010-09-18,Train fault at Tunbridge Wells,14:00,Charing Cross,Tunbridge Wells,terminated at Tonbridge
2010-09-18,Train fault at Tunbridge Wells,14:21,Tunbridge Wells,Charing Cross,cancelled
2010-09-18,Train fault at Tunbridge Wells,15:21,Tunbridge Wells,Charing Cross,started at Tonbridge
2010-09-18,Train fault at Tunbridge Wells,15:30,Charing Cross,Tunbridge Wells,cancelled
2010-09-18,Train fault at Tunbridge Wells,17:33,Ashford,Canterbury West,delayed by 10 minutes
2010-09-18,Shortage of drivers,15:31,Dartford,Cannon St,cancelled
2010-09-18,Shortage of drivers,16:24,Gillingham,Charing Cross,cancelled
2010-09-18,Shortage of drivers,16:25,Cannon St,Dartford,cancelled
2010-09-18,Shortage of drivers,17:22,Dartford,Charing Cross,cancelled
2010-09-18,Shortage of drivers,17:56,Charing Cross,Gravesend,cancelled
2010-09-18,Shortage of drivers,17:56,Charing Cross,Gravesend,cancelled
2010-09-18,Shortage of drivers,18:17,Charing Cross,Hayes,started at London Bridge
2010-09-18,Shortage of drivers,19:03,Gravesend,Charing Cross,cancelled
2010-09-18,Shortage of drivers,20:17,Charing Cross,Hayes,cancelled
2010-09-18,Shortage of drivers,21:14,Hayes,Charing Cross,cancelled
2010-09-18,Train fault at Waterloo East,17:00,Charing Cross,Tunbridge Wells,terminated at Waterloo East
2010-09-18,Train fault at Waterloo East,17:06,Charing Cross,Sevenoaks,delayed by 16 minutes
2010-09-18,Train fault at Waterloo East,17:06,Charing Cross,Sevenoaks,terminated at Orpington
2010-09-18,Train fault at Waterloo East,17:10,Charing Cross,Ramsgate,delayed by 14 minutes
2010-09-18,Train fault at Waterloo East,17:10,Charing Cross,Ramsgate,did not call at Marden
2010-09-18,Train fault at Waterloo East,17:15,Charing Cross,Hastings,delayed by 10 minutes
2010-09-18,Train fault at Waterloo East,18:06,Sevenoaks,Charing Cross,started at Orpington
2010-09-18,Train fault at Waterloo East,18:21,Tunbridge Wells,Charing Cross,""
2010-09-18,Train fault at Waterloo East,18:21,Tunbridge Wells,Charing Cross,""
2010-09-18,Train fault at Waterloo East,19:30,Charing Cross,Tunbridge Wells,started at London Bridge
2010-09-18,Disruptive passengers at Sittingbourne,21:40,Sittingbourne,Sheerness,delayed by 16 minutes
2010-09-18,Disruptive passengers at Sittingbourne,22:02,Sheerness,Sittingbourne,delayed by 15 minutes
2010-09-18,Trespasser on line at Deal,20:10,Charing Cross,Ramsgate,delayed by 14 minutes
2010-09-18,Trespasser on line at Deal,21:22,Ramsgate,Tonbridge,delayed by 42 minutes
2010-09-18,Trespasser on line at Deal,22:10,Hastings,Charing Cross,delayed by 30 minutes
2010-09-18,Awaiting conductor at Tonbridge,22:03,Tonbridge,Strood,delayed by 12 minutes
2010-09-18,Train fault at Dartford,21:39,Charing Cross,Gillingham,terminated at Dartford
