2010-10-01,Speed restriction at Chislehurst,19:42,St Pancras International,Margate,delayed by 13 minutes
2010-10-01,Speed restriction at between Lee and Hither Green,19:55,St Pancras International,Faversham,delayed by 11 minutes
2010-10-01,Points failure at Grove Park,08:45,Dover Priory,Victoria,delayed by 11 minutes
2010-10-01,Points failure at Grove Park,08:45,Dover Priory,Victoria,did not call at Chatham
2010-10-01,Train fault at Welling,06:14,Barnehurst,Cannon St,delayed by 10 minutes
2010-10-01,Train fault at Dartford,08:13,Charing Cross,Dover Priory,did not call at Paddock Wood
2010-10-01,Train fault at Dartford,09:33,Ashford,Canterbury West,delayed by 14 minutes
2010-10-01,Train fault at Ashford,08:44,Dover Priory,St Pancras International,delayed by 18 minutes
2010-10-01,Awaiting driver at Blackfriars,08:20,Blackfriars,Sevenoaks,did not call at St Mary Cray
2010-10-01,Train awaiting entry to Grove Park sidings,10:21,Tunbridge Wells,Charing Cross,delayed by 10 minutes
2010-10-01,Late running freight service,19:52,Victoria,Ramsgate,delayed by 10 minutes
2010-10-01,Points failure at St Johns,09:47,Cannon St,Cannon St,did not call at St Johns
2010-10-01,Points failure at St Johns,10:38,Barnehurst,Cannon St,did not call at New Cross
2010-10-01,Points failure at St Johns,10:50,Hayes,Cannon St,did not call at St Johns
2010-10-01,Driver unavailable at Orpington,11:03,Orpington,Cannon St,cancelled
2010-10-01,Driver unavailable at Orpington,11:50,Cannon St,Orpington,cancelled
2010-10-01,Tree on the line in Rochester area,11:32,Gillingham,Victoria,delayed by 12 minutes
2010-10-01,Train fault at Chatham,12:24,Gillingham,Charing Cross,delayed by 11 minutes
2010-10-01,Train fault at Chatham,12:24,Gillingham,Charing Cross,terminated at Rochester
2010-10-01,Train fault at Chatham,13:56,Charing Cross,Gravesend,started at Dartford
2010-10-01,Freight train awaiting entry to sidings,12:25,St Pancras International,Faversham,delayed by 15 minutes
2010-10-01,Signalling problems at Grove Park,12:47,Cannon St,Cannon St,delayed by 10 minutes
2010-10-01,Signalling problems at Grove Park,12:47,Cannon St,Cannon St,terminated at London Bridge
2010-10-01,Signalling problems at Grove Park,14:30,Cannon St,Hayes,started at London Bridge
2010-10-01,Signalling problems at Grove Park,15:03,Ashford,Ramsgate,delayed by 10 minutes
2010-10-01,Train struck object between Faversham and Sittingbourne,13:05,Dover Priory,Victoria,delayed by 16 minutes
2010-10-01,Train struck object between Faversham and Sittingbourne,13:58,Faversham,St Pancras International,delayed by 19 minutes
2010-10-01,Train struck object between Faversham and Sittingbourne,14:10,Sittingbourne,Sheerness,delayed by 12 minutes
2010-10-01,Train struck object between Faversham and Sittingbourne,14:32,Gillingham,Victoria,delayed by 16 minutes
2010-10-01,Train struck object between Faversham and Sittingbourne,14:32,Sheerness,Sittingbourne,delayed by 12 minutes
2010-10-01,Train struck object between Faversham and Sittingbourne,15:28,St Pancras International,Faversham,delayed by 16 minutes
2010-10-01,Train struck object between Faversham and Sittingbourne,15:59,Victoria,Gillingham,delayed by 10 minutes
2010-10-01,Train fault at Victoria,14:37,Victoria,Ashford,did not call at Bromley South
2010-10-01,Train fault at Victoria,14:37,Victoria,Ashford,delayed by 17 minutes
2010-10-01,Train fault at Victoria,16:26,Ashford,Victoria,delayed by 18 minutes
2010-10-01,Train fault at Victoria,16:26,Ashford,Victoria,did not call at Swanley
2010-10-01,Train fault at Victoria,18:03,Victoria,Ashford,delayed by 11 minutes
2010-10-01,Train fault at Victoria,19:29,Ashford,Canterbury West,delayed by 11 minutes
2010-10-01,Train fault at Victoria,22:42,St Pancras International,Ramsgate,delayed by 11 minutes
2010-10-01,Train fault at Victoria,23:03,Ashford,Ramsgate,delayed by 19 minutes
2010-10-01,Train Fault at Tonbridge,13:50,Hastings,Charing Cross,terminated at Tonbridge
2010-10-01,Train Fault at Tonbridge,15:45,Charing Cross,Hastings,started at Tonbridge
2010-10-01,Adhesion problems between Deal and Dover,14:40,Ramsgate,Charing Cross,delayed by 11 minutes
2010-10-01,Adhesion problems between Deal and Dover,15:33,Ashford,Canterbury West,delayed by 10 minutes
2010-10-01,Train fault at Crayford,14:33,Gravesend,Charing Cross,terminated at Crayford
2010-10-01,Train fault at Crayford,15:39,Charing Cross,Gillingham,started at Dartford
2010-10-01,Train fault at Gillingham,17:02,Gillingham,Victoria,cancelled
2010-10-01,Train fault at Gillingham,18:24,Victoria,Gillingham,cancelled
2010-10-01,Train fault at Gillingham,20:15,Faversham,Dover Priory,delayed by 12 minutes
2010-10-01,Train fault at Grove Park depot,15:50,Cannon St,Orpington,started at Grove Park
