2010-11-02,Late running freight train,09:33,Ashford,Canterbury West,delayed by 18 minutes
2010-11-02,Engineering work timetabling error,05:15,Hayes,Charing Cross,"delayed by 12 minutes, and terminated at London Bridge"
2010-11-02,Points problem at Hither Green,05:36,Charing Cross,Sevenoaks,"delayed by 11 minutes, and terminated at Orpington"
2010-11-02,Points problem at Hither Green,06:06,Charing Cross,Sevenoaks,started at London Bridge
2010-11-02,Points problem at Hither Green,06:36,Sevenoaks,Cannon St,started at Orpington
2010-11-02,Points problem at Hither Green,08:00,Ashford,Ramsgate,delayed by 10 minutes
2010-11-02,Overrunning engineering work at Tonbridge,10:40,Cannon St,Cannon St,delayed by 10 minutes
2010-11-02,Door fault at Tonbridge,07:11,Tonbridge,Tunbridge Wells,cancelled
2010-11-02,Door fault at Tonbridge,09:36,Sevenoaks,Charing Cross,delayed by 11 minutes
2010-11-02,Adhesion problem between Hastings and Robertsbridge,16:42,St Pancras International,Margate,delayed by 11 minutes
2010-11-02,Driver unavailable at Tunbridge Wells,07:47,Cannon St,Hastings,delayed by 13 minutes
2010-11-02,Awaiting guard at Tonbridge,08:42,Cannon St,Hastings,delayed by 10 minutes
2010-11-02,Conductor issue at Hildenborough,09:00,Charing Cross,Tunbridge Wells,delayed by 12 minutes
2010-11-02,Conductor issue at Hildenborough,09:13,Charing Cross,Dover Priory,delayed by 14 minutes
2010-11-02,Conductor issue at Hildenborough,09:20,Cannon St,Hastings,delayed by 10 minutes
2010-11-02,Conductor issue at Hildenborough,10:21,Tunbridge Wells,Charing Cross,delayed by 15 minutes
2010-11-02,Conductor issue at Hildenborough,10:33,Ashford,Canterbury West,delayed by 23 minutes
2010-11-02,Driver delayed at St Albans,17:12,Blackfriars,Kent House,delayed by 11 minutes
2010-11-02,Train fault at Cannon Street,17:12,Cannon St,Hayes,cancelled
2010-11-02,Defective radio at Deal,17:50,Ramsgate,Charing Cross,delayed by 14 minutes
2010-11-02,Defective radio at Deal,19:02,Ashford,Charing Cross,delayed by 14 minutes
2010-11-02,Bridge strike at Longfield,18:39,Dover Priory,Victoria,delayed by 28 minutes
2010-11-02,Bridge strike at Longfield,18:39,Dover Priory,Victoria,terminated at Bromley South
2010-11-02,Bridge strike at Longfield,19:05,Dover Priory,Victoria,delayed by 13 minutes
2010-11-02,Bridge strike at Longfield,19:28,Victoria,Gillingham,delayed by 20 minutes
2010-11-02,Bridge strike at Longfield,19:52,Victoria,Ramsgate,delayed by 16 minutes
2010-11-02,Bridge strike at Longfield,19:58,Victoria,Gillingham,delayed by 11 minutes
2010-11-02,Bridge strike at Longfield,20:52,Victoria,Ramsgate,started at Bromley South
2010-11-02,Bridge strike at Longfield,21:15,Faversham,Dover Priory,delayed by 21 minutes
2010-11-02,Platform overrun at Ravensbourne,18:32,Sevenoaks,Blackfriars,delayed by 11 minutes
2010-11-02,Adhesion problem at Bearsted,20:07,Victoria,Ashford,delayed by 21 minutes
2010-11-02,Passenger taken ill at Herne Bay,17:27,Victoria,Ramsgate,delayed by 14 minutes
2010-11-02,Passenger taken ill at Herne Bay,17:30,Cannon St,Ramsgate,delayed by 17 minutes
2010-11-02,Passenger taken ill at Herne Bay,17:57,Victoria,Ramsgate,delayed by 12 minutes
2010-11-02,Passenger taken ill at Herne Bay,17:58,St Pancras International,Broadstairs,delayed by 10 minutes
2010-11-02,Passenger taken ill at Herne Bay,19:40,Ramsgate,Charing Cross,delayed by 16 minutes
2010-11-02,Passenger taken ill at Herne Bay,19:54,Margate,St Pancras International,delayed by 12 minutes
2010-11-02,Driver unavailable,18:50,Strood,Paddock Wood,cancelled
2010-11-02,Driver unavailable,19:40,Paddock Wood,Strood,cancelled
2010-11-02,Heavy passenger loading between Otford and Maidstone East,18:03,Victoria,Ashford,delayed by 11 minutes
2010-11-02,Heavy passenger loading between Herne Hill and Beckenham Junction,18:03,Charing Cross,Ore,terminated at Hastings
2010-11-02,Passenger taken ill at Ladywell,19:47,Charing Cross,Hayes,delayed by 11 minutes
2010-11-02,Following late running service between Orpington and Sevenoaks,20:04,Ramsgate,Faversham,delayed by 13 minutes
2010-11-02,Passenger boarding delayed at Ashford,18:32,Cannon St,Ashford,delayed by 10 minutes
2010-11-02,Passenger boarding delayed at Ashford,19:29,Ashford,Canterbury West,delayed by 11 minutes
2010-11-02,Train fault at Tonbridge,21:45,Charing Cross,Hastings,delayed by 17 minutes
2010-11-02,Passenger alarm activated at Grove Park,22:07,Grove Park,Bromley North,delayed by 13 minutes
