2010-11-13,Train crew error,00:15,Sittingbourne,Sheerness,delayed by 11 minutes
2010-11-13,Adhesion problems,20:47,Ashford,Victoria,terminated at Otford
2010-11-13,Adhesion problems,21:07,Victoria,Ashford,delayed by 13 minutes
2010-11-13,Adhesion problems,22:17,Ashford,Victoria,started at Otford
2010-11-13,Train fault,05:55,Sevenoaks,Victoria,delayed by 12 minutes
2010-11-13,Train fault,09:26,Charing Cross,Gravesend,delayed by 10 minutes
2010-11-13,Train fault,10:33,Gravesend,Charing Cross,delayed by 11 minutes
2010-11-13,Train fault,10:33,Gravesend,Charing Cross,delayed by 11 minutes
2010-11-13,Train fault,11:39,Charing Cross,Gillingham,delayed by 10 minutes
2010-11-13,Train fault,08:50,Hastings,Charing Cross,delayed by 10 minutes
2010-11-13,Train fault,10:45,Charing Cross,Hastings,cancelled
2010-11-13,Train fault,09:50,Cannon St,Orpington,cancelled
2010-11-13,Train fault,10:33,Orpington,Cannon St,cancelled
2010-11-13,Driver error,10:38,Barnehurst,London Bridge,cancelled
2010-11-13,Police called to train,11:09,Charing Cross,Gillingham,started at Charing Cross
2010-11-13,Police called to train,11:15,Cannon St,Cannon St,delayed by 15 minutes
2010-11-13,Train fault,09:36,Charing Cross,Sevenoaks,delayed by 15 minutes
2010-11-13,Train fault,10:36,Sevenoaks,Charing Cross,cancelled
2010-11-13,Signalling problems,12:45,Slade Green,Cannon St,started at Slade Green
2010-11-13,Train fault,12:55,Victoria,Orpington,delayed by 11 minutes
2010-11-13,Train fault,13:40,Orpington,Victoria,started at Orpington
2010-11-13,Signal failure,12:12,St Pancras International,Dover Priory,delayed by 15 minutes
2010-11-13,Train fault at Orpington,15:03,Orpington,Cannon St,delayed by 23 minutes
2010-11-13,Train fault at Orpington,18:03,Orpington,Cannon St,delayed by 22 minutes
2010-11-13,Train fault at Orpington,18:50,Cannon St,Orpington,delayed by 16 minutes
2010-11-13,Fatality at Deptford,16:01,Dartford,Cannon St,delayed by 12 minutes
2010-11-13,Fatality at Deptford,16:55,Cannon St,Dartford,delayed by 10 minutes
2010-11-13,Fatality at Deptford,17:22,Dartford,Charing Cross,delayed by 10 minutes
2010-11-13,Fatality at Deptford,17:52,Dartford,Charing Cross,delayed by 10 minutes
2010-11-13,Fatality at Deptford,18:17,Charing Cross,Hayes,delayed by 10 minutes
2010-11-13,Fatality at Deptford,18:17,Charing Cross,Hayes,delayed by 10 minutes
2010-11-13,Fatality at Deptford,19:14,Hayes,Charing Cross,delayed by 14 minutes
2010-11-13,Adhesion problems,18:22,Victoria,Margate,delayed by 15 minutes
2010-11-13,Adhesion problems,19:45,Faversham,Dover Priory,terminated at Faversham
2010-11-13,Driver error,16:10,Cannon St,Cannon St,started at Slade Green
2010-11-13,Train fault at Victoria,18:10,Victoria,Orpington,delayed by 12 minutes
2010-11-13,Train fault at Victoria,18:55,Orpington,Victoria,delayed by 10 minutes
2010-11-13,Train problems at Tonbridge,22:04,Margate,Victoria,terminated at Faversham
2010-11-13,Train problems at Tonbridge,22:05,Dover Priory,Faversham,cancelled
2010-11-13,Adhesion problems at Shepherdswell,19:05,Dover Priory,Victoria,delayed by 10 minutes
2010-11-13,Adhesion problems,23:33,Tunbridge Wells,Tonbridge,delayed by 17 minutes
2010-11-13,Driver error,22:10,Hastings,Charing Cross,delayed by 12 minutes
