2010-11-20,Train fault at Minster,07:40,Minster,Victoria,delayed by 12 minutes
2010-11-20,Driver error at Ashford,08:28,Ashford,Victoria,cancelled
2010-11-20,Driver error at Ashford,08:52,Ashford,Dover Priory,delayed by 25 minutes
2010-11-20,Driver error at Ashford,09:47,Ashford,Victoria,delayed by 17 minutes
2010-11-20,Driver error at Ashford,10:07,Victoria,Ashford,cancelled
2010-11-20,Train fault at Ashford,09:37,Victoria,Ashford,terminated at Lenham
2010-11-20,Train fault at Ashford,11:28,Ashford,Victoria,delayed by 10 minutes
2010-11-20,Train fault at Ashford,11:47,Ashford,Victoria,delayed by 16 minutes
2010-11-20,Train fault at Ashford,13:07,Victoria,Ashford,delayed by 14 minutes
2010-11-20,Train fault at Wadhurst,16:50,Hastings,Charing Cross,delayed by 10 minutes
2010-11-20,Train fault at Wadhurst,16:50,Hastings,Charing Cross,terminated at Tonbridge
2010-11-20,Train fault at Wadhurst,19:00,Charing Cross,Hastings,""
2010-11-20,Train fault at Wadhurst,19:00,Charing Cross,Hastings,""
2010-11-20,Train fault at Herne Hill,17:10,Victoria,Sevenoaks,terminated at Orpington
2010-11-20,Train fault at Herne Hill,18:25,Sevenoaks,Victoria,started at Orpington
2010-11-20,Signalling error,18:05,Cannon St,Slade Green,delayed by 11 minutes
2010-11-20,Passenger disorder at Orpington,19:30,Charing Cross,Hastings,delayed by 11 minutes
2010-11-20,Signalling failure in the Battersea area,22:04,Margate,Victoria,delayed by 12 minutes
2010-11-20,Signalling failure in the Battersea area,22:17,Ashford,Victoria,delayed by 19 minutes
2010-11-20,Signalling failure in the Battersea area,23:10,Orpington,Victoria,delayed by 14 minutes
2010-11-20,Signalling failure in the Battersea area,23:55,Victoria,Orpington,delayed by 10 minutes
