2010-12-14,Delayed following a freight train,17:35,Ashford,Canterbury West,delayed by 10 minutes
2010-12-14,Level crossing failure,07:41,Cannon St,Cannon St,delayed by 54 minutes
2010-12-14,Level crossing failure,08:25,Cannon St,Dartford,delayed by 54 minutes
2010-12-14,Level crossing failure,08:40,Slade Green,Charing Cross,delayed by 47 minutes
2010-12-14,Level crossing failure,08:40,Slade Green,Charing Cross,terminated at London Bridge
2010-12-14,Level crossing failure,08:47,Cannon St,Cannon St,did not call at Woolwich Dockyard
2010-12-14,Level crossing failure,08:48,Gravesend,Charing Cross,did not call at Abbey Wood
2010-12-14,Level crossing failure,08:56,Cannon St,Dartford,delayed by 11 minutes
2010-12-14,Level crossing failure,09:15,Slade Green,Cannon St,cancelled
2010-12-14,Level crossing failure,09:24,Cannon St,Barnehurst,cancelled
2010-12-14,Level crossing failure,09:26,Charing Cross,Gravesend,delayed by 11 minutes
2010-12-14,Level crossing failure,09:31,Dartford,Cannon St,cancelled
2010-12-14,Level crossing failure,09:36,Charing Cross,Sevenoaks,cancelled
2010-12-14,Level crossing failure,09:37,Cannon St,Slade Green,terminated at Newington
2010-12-14,Level crossing failure,09:52,Dartford,Charing Cross,delayed by 12 minutes
2010-12-14,Level crossing failure,10:01,Dartford,Cannon St,delayed by 19 minutes
2010-12-14,Level crossing failure,10:01,Dartford,Cannon St,terminated at London Bridge
2010-12-14,Level crossing failure,10:07,Cannon St,Slade Green,cancelled
2010-12-14,Level crossing failure,10:15,Slade Green,Cannon St,cancelled
2010-12-14,Level crossing failure,10:27,Cannon St,Dartford,delayed by 21 minutes
2010-12-14,Level crossing failure,10:30,Cannon St,Hayes,delayed by 20 minutes
2010-12-14,Level crossing failure,10:30,Cannon St,Hayes,terminated at Elmers End
2010-12-14,Level crossing failure,10:31,Dartford,Cannon St,delayed by 11 minutes
2010-12-14,Level crossing failure,10:38,Dartford,Victoria,delayed by 25 minutes
2010-12-14,Level crossing failure,10:40,Cannon St,Cannon St,did not call at Erith
2010-12-14,Level crossing failure,10:40,Cannon St,Cannon St,delayed by 15 minutes
2010-12-14,Level crossing failure,10:47,Charing Cross,Hayes,delayed by 20 minutes
2010-12-14,Level crossing failure,10:47,Charing Cross,Hayes,terminated at Elmers End
2010-12-14,Level crossing failure,10:54,Cannon St,Barnehurst,did not call at Kidbrooke
2010-12-14,Level crossing failure,10:54,Cannon St,Barnehurst,delayed by 23 minutes
2010-12-14,Level crossing failure,10:56,Charing Cross,Gravesend,delayed by 15 minutes
2010-12-14,Level crossing failure,10:56,Charing Cross,Gravesend,terminated at Dartford
2010-12-14,Level crossing failure,10:57,Cannon St,Dartford,started at London Bridge
2010-12-14,Level crossing failure,11:15,Slade Green,Cannon St,delayed by 15 minutes
2010-12-14,Level crossing failure,11:15,Slade Green,Cannon St,terminated at London Bridge
2010-12-14,Level crossing failure,11:15,Charing Cross,Hastings,delayed by 10 minutes
