2010-01-02,Driver error,12:47,Ashford,Victoria,delayed by 12 minutes
2010-01-02,Vandalism at Teynham,12:24,Victoria,Canterbury East,terminated at Faversham
2010-01-02,Vandalism at Teynham,12:55,St Pancras International,Faversham,delayed by 11 minutes
2010-01-02,Vandalism at Teynham,14:22,Canterbury East,Victoria,cancelled
2010-01-02,Vandalism at Teynham,14:24,Victoria,Canterbury East,delayed by 23 minutes
2010-01-02,Vandalism at Teynham,14:24,Victoria,Canterbury East,terminated at Faversham
2010-01-02,Vandalism at Teynham,14:55,St Pancras International,Faversham,delayed by 15 minutes
2010-01-02,Vandalism at Teynham,15:05,Victoria,Ramsgate,delayed by 12 minutes
2010-01-02,Vandalism at Teynham,16:19,Faversham,Dover Priory,delayed by 13 minutes
2010-01-02,Vandalism at Teynham,16:22,Canterbury East,Victoria,started at Faversham
2010-01-02,Vandalism at Teynham,16:24,Victoria,Canterbury East,started at Gillingham
2010-01-02,Passenger disorder at Catford,21:09,Victoria,Sevenoaks,delayed by 12 minutes
