2010-01-03,Animal on the line Elmstead Woods,07:46,Charing Cross,Orpington,delayed by 24 minutes
2010-01-03,Power supply problems at Strood,08:40,Charing Cross,Gillingham,terminated at Higham
2010-01-03,Power supply problems at Strood,09:10,Charing Cross,Gillingham,terminated at Gravesend
2010-01-03,Power supply problems at Strood,09:24,Gillingham,Charing Cross,terminated at Strood
2010-01-03,Power supply problems at Strood,09:40,Charing Cross,Gillingham,terminated at Dartford
2010-01-03,Power supply problems at Strood,09:54,Gillingham,Charing Cross,terminated at Rochester
2010-01-03,Power supply problems at Strood,10:10,Charing Cross,Gillingham,terminated at Dartford
2010-01-03,Power supply problems at Strood,10:24,Gillingham,Charing Cross,cancelled
2010-01-03,Power supply problems at Strood,10:28,St Pancras International,Faversham,terminated at Gravesend
2010-01-03,Power supply problems at Strood,10:34,Paddock Wood,Strood,delayed by 44 minutes
2010-01-03,Power supply problems at Strood,10:35,Strood,Paddock Wood,cancelled
2010-01-03,Power supply problems at Strood,10:40,Charing Cross,Gillingham,terminated at Gravesend
2010-01-03,Power supply problems at Strood,10:54,Gillingham,Charing Cross,started at Dartford
2010-01-03,Power supply problems at Strood,11:00,Charing Cross,Dartford,cancelled
2010-01-03,Power supply problems at Strood,11:10,Charing Cross,Gillingham,terminated at Dartford
2010-01-03,Power supply problems at Strood,11:24,Gillingham,Charing Cross,started at Dartford
2010-01-03,Power supply problems at Strood,11:30,Charing Cross,Dartford,cancelled
2010-01-03,Power supply problems at Strood,11:34,Paddock Wood,Strood,cancelled
2010-01-03,Power supply problems at Strood,11:35,Strood,Paddock Wood,cancelled
2010-01-03,Power supply problems at Strood,11:40,Charing Cross,Gillingham,terminated at Gravesend
2010-01-03,Power supply problems at Strood,11:54,Gillingham,Charing Cross,started at Dartford
2010-01-03,Power supply problems at Strood,11:56,Charing Cross,Gravesend,terminated at Dartford
2010-01-03,Power supply problems at Strood,11:58,Faversham,St Pancras International,started at Gravesend
2010-01-03,Power supply problems at Strood,12:00,Charing Cross,Dartford,cancelled
2010-01-03,Power supply problems at Strood,12:10,Charing Cross,Gillingham,terminated at Gravesend
2010-01-03,Power supply problems at Strood,12:13,Dartford,Charing Cross,delayed by 30 minutes
2010-01-03,Power supply problems at Strood,12:24,Gillingham,Charing Cross,started at Dartford
2010-01-03,Power supply problems at Strood,12:28,Faversham,St Pancras International,cancelled
2010-01-03,Power supply problems at Strood,12:40,Charing Cross,Gillingham,terminated at Dartford
2010-01-03,Power supply problems at Strood,12:54,Gillingham,Charing Cross,started at Rochester
2010-01-03,Power supply problems at Strood,13:03,Gravesend,Charing Cross,cancelled
2010-01-03,Power supply problems at Strood,13:10,Charing Cross,Gillingham,""
2010-01-03,Power supply problems at Strood,13:10,Charing Cross,Gillingham,""
2010-01-03,Power supply problems at Strood,13:13,Dartford,Charing Cross,cancelled
2010-01-03,Power supply problems at Strood,13:24,Gillingham,Charing Cross,started at Dartford
2010-01-03,Power supply problems at Strood,13:25,St Pancras International,Faversham,delayed by 32 minutes
2010-01-03,Power supply problems at Strood,13:40,Charing Cross,Gillingham,terminated at Gravesend
2010-01-03,Power supply problems at Strood,13:54,Gillingham,Charing Cross,started at Dartford
2010-01-03,Power supply problems at Strood,13:54,Gillingham,Charing Cross,delayed by 18 minutes
2010-01-03,Power supply problems at Strood,13:55,St Pancras International,Faversham,delayed by 34 minutes
2010-01-03,Power supply problems at Strood,14:10,Charing Cross,Gillingham,cancelled
2010-01-03,Power supply problems at Strood,14:16,Charing Cross,Sevenoaks,delayed by 11 minutes
2010-01-03,Power supply problems at Strood,14:18,Gravesend,Dartford,delayed by 11 minutes
2010-01-03,Power supply problems at Strood,14:24,Gillingham,Charing Cross,delayed by 12 minutes
2010-01-03,Power supply problems at Strood,14:25,St Pancras International,Faversham,terminated at Gravesend
2010-01-03,Power supply problems at Strood,14:40,Charing Cross,Gillingham,terminated at Dartford
2010-01-03,Power supply problems at Strood,14:54,Gillingham,Charing Cross,started at Dartford
2010-01-03,Power supply problems at Strood,14:54,Gillingham,Charing Cross,delayed by 15 minutes
2010-01-03,Power supply problems at Strood,14:55,St Pancras International,Faversham,delayed by 16 minutes
2010-01-03,Power supply problems at Strood,14:55,St Pancras International,Faversham,delayed by 27 minutes
2010-01-03,Power supply problems at Strood,14:55,St Pancras International,Faversham,delayed by 12 minutes
2010-01-03,Power supply problems at Strood,14:55,St Pancras International,Faversham,terminated at Sittingbourne
2010-01-03,Power supply problems at Strood,15:10,Charing Cross,Gillingham,terminated at Gravesend
2010-01-03,Power supply problems at Strood,15:24,Gillingham,Charing Cross,started at Dartford
2010-01-03,Power supply problems at Strood,15:25,St Pancras International,Faversham,delayed by 29 minutes
2010-01-03,Power supply problems at Strood,15:28,Faversham,St Pancras International,delayed by 15 minutes
2010-01-03,Power supply problems at Strood,15:54,Gillingham,Charing Cross,started at Lewisham
2010-01-03,Power supply problems at Strood,15:54,Gillingham,Charing Cross,delayed by 11 minutes
2010-01-03,Power supply problems at Strood,15:58,Faversham,St Pancras International,cancelled
2010-01-03,Power supply problems at Strood,16:24,Gillingham,Charing Cross,delayed by 12 minutes
2010-01-03,Power supply problems at Strood,16:28,Faversham,St Pancras International,started at Sittingbourne
2010-01-03,Power supply problems at Strood,16:28,Faversham,St Pancras International,delayed by 20 minutes
2010-01-03,Power supply problems at Strood,16:54,Gillingham,Charing Cross,started at Dartford
2010-01-03,Power supply problems at Strood,17:06,Charing Cross,Crayford,cancelled
2010-01-03,Driver error,12:16,Charing Cross,Sevenoaks,delayed by 10 minutes
2010-01-03,Track circuit failure at Sittingbourne,17:10,Sittingbourne,Sheerness,delayed by 15 minutes
2010-01-03,Track circuit failure at Sittingbourne,18:10,Sittingbourne,Sheerness,delayed by 30 minutes
2010-01-03,Track circuit failure at Sittingbourne,18:42,Sheerness,Sittingbourne,delayed by 18 minutes
2010-01-03,Track circuit failure at Sittingbourne,19:10,Sittingbourne,Sheerness,delayed by 15 minutes
2010-01-03,Track circuit failure at Sittingbourne,19:42,Sheerness,Sittingbourne,delayed by 11 minutes
2010-01-03,Train fault at Bromley South,17:39,Victoria,Sevenoaks,terminated at Bromley South
2010-01-03,Train fault at Bromley South,18:54,Sevenoaks,Victoria,cancelled
2010-01-03,Train fault at Bromley South,19:09,Victoria,Sevenoaks,delayed by 23 minutes
2010-01-03,Train fault at Bromley South,19:09,Victoria,Sevenoaks,""
2010-01-03,Train fault at Bromley South,21:39,Victoria,Sevenoaks,delayed by 12 minutes
2010-01-03,Train fault at Sevenoaks,20:54,Sevenoaks,Victoria,delayed by 27 minutes
2010-01-03,Train fault at Faversham,10:58,Faversham,St Pancras International,cancelled
2010-01-03,Train fault at Faversham,12:25,St Pancras International,Faversham,cancelled
2010-01-03,Track circuit failure at Maidstone East,21:45,Victoria,Ashford,delayed by 22 minutes
