2010-01-04,Power supply problems,17:56,Charing Cross,Barnehurst,cancelled
2010-01-04,Driver error,04:34,Orpington,City Thameslink,cancelled
2010-01-04,Driver error,05:26,City Thameslink,Sevenoaks,delayed by 28 minutes
2010-01-04,Train fault at Ashford,06:45,Charing Cross,Hastings,delayed by 12 minutes
2010-01-04,Train fault at Ashford,07:15,Charing Cross,Hastings,delayed by 10 minutes
2010-01-04,Train fault at Ashford,08:00,Tunbridge Wells,Charing Cross,delayed by 11 minutes
2010-01-04,Train fault at Ashford,09:00,Charing Cross,Tunbridge Wells,delayed by 11 minutes
2010-01-04,Train fault at Grove Park,05:26,Charing Cross,Gravesend,cancelled
2010-01-04,Train fault at Grove Park,06:36,Gravesend,Charing Cross,started at Dartford
2010-01-04,Track defect,05:35,Strood,Paddock Wood,delayed by 10 minutes
2010-01-04,Track defect,06:35,Strood,Paddock Wood,delayed by 10 minutes
2010-01-04,Train delayed from depot,07:14,Barnehurst,Cannon St,cancelled
2010-01-04,Train delayed from depot,07:56,Cannon St,Dartford,cancelled
2010-01-04,Train fault at Slade Green,06:52,Crayford,Cannon St,cancelled
2010-01-04,Train fault at Kentish Town,05:44,Ashford,Blackfriars,delayed by 11 minutes
2010-01-04,Train fault at Kentish Town,05:44,Ashford,Blackfriars,terminated at Blackfriars
2010-01-04,Passenger taken ill at Greenwich,07:19,Strood,Cannon St,delayed by 33 minutes
2010-01-04,Passenger taken ill at Greenwich,07:40,Slade Green,Charing Cross,delayed by 32 minutes
2010-01-04,Passenger taken ill at Greenwich,07:46,Dartford,Cannon St,did not call at Westcombe Park
2010-01-04,Passenger taken ill at Greenwich,08:30,Cannon St,Hayes,cancelled
2010-01-04,Passenger taken ill at Greenwich,08:56,Cannon St,Dartford,delayed by 12 minutes
2010-01-04,Passenger taken ill at Greenwich,08:56,Cannon St,Dartford,terminated at Slade Green
2010-01-04,Passenger taken ill at Greenwich,09:20,Hayes,Cannon St,started at New Beckenham
2010-01-04,Passenger taken ill at Greenwich,09:52,Dartford,Charing Cross,started at Barnehurst
2010-01-04,Train fault at Ashford,06:44,Margate,St Pancras International,delayed by 33 minutes
2010-01-04,Train fault at Ashford,07:26,Ramsgate,St Pancras International,delayed by 10 minutes
2010-01-04,Train fault at Ashford,09:10,St Pancras International,Dover Priory,delayed by 11 minutes
2010-01-04,Train fault at Gillingham,07:33,Gillingham,Victoria,cancelled
2010-01-04,Train fault at Gillingham,08:58,Victoria,Gillingham,cancelled
2010-01-04,Train fault at Barnehurst,07:40,Barnehurst,Charing Cross,cancelled
2010-01-04,Station staffing error,10:32,Gillingham,Victoria,cancelled
2010-01-04,Track defect at Bickley,19:20,Faversham,Dover Priory,delayed by 10 minutes
2010-01-04,Train fault at Ashford,11:30,Ashford,Victoria,delayed by 11 minutes
2010-01-04,Problems with a building at Chilham,14:53,Margate,St Pancras International,delayed by 14 minutes
2010-01-04,Problems with a building at Chilham,16:36,Canterbury West,Ashford,delayed by 13 minutes
2010-01-04,Problems with a building at Chilham,16:42,St Pancras International,Margate,delayed by 12 minutes
2010-01-04,Problems with a building at Chilham,17:03,Ashford,Ramsgate,delayed by 10 minutes
2010-01-04,Problems with a building at Chilham,17:14,Charing Cross,Ramsgate,delayed by 12 minutes
2010-01-04,Problems with a building at Chilham,18:41,Charing Cross,Ramsgate,delayed by 14 minutes
2010-01-04,Problems with a building at Chilham,19:24,Dover Priory,Charing Cross,delayed by 23 minutes
2010-01-04,Problems with a building at Chilham,19:36,Canterbury West,Ashford,delayed by 16 minutes
2010-01-04,Problems with a building at Chilham,19:40,Paddock Wood,Strood,delayed by 10 minutes
2010-01-04,Problems with a building at Chilham,20:08,Ashford,Ramsgate,delayed by 20 minutes
