Points failure at Slade Green,15:54,Gillingham,Cannon St,did not call at Woolwich Dockyard
Points failure at Slade Green,18:34,Orpington,Cannon St,delayed by 11 minutes
Points failure at Slade Green,18:52,Dartford,Charing Cross,delayed by 11 minutes
Points failure at Slade Green,20:17,Charing Cross,Hayes,delayed by 10 minutes
Track circuit failure,05:50,Ashford,Victoria,delayed by 20 minutes
Track circuit failure,07:36,Victoria,Ashford,delayed by 10 minutes
Track circuit failure,19:36,Sevenoaks,Charing Cross,terminated at London Bridge
Track circuit failure,20:06,Sevenoaks,Charing Cross,delayed by 10 minutes and terminated at London Bridge
Track circuit failure,21:09,Charing Cross,Gillingham,started at London Bridge
Points failure,09:09,Cannon St,Cannon St,delayed by 11 minutes
Points failure,10:21,Tunbridge Wells,Charing Cross,delayed by 10 minutes and terminated at London Bridge
Points failure,11:30,Charing Cross,Tunbridge Wells,started at London Bridge
Frozen points at Grove Park,08:00,Slade Green,Charing Cross,delayed by 10 minutes
Frozen points at Grove Park,08:02,Orpington,Charing Cross,delayed by 10 minutes
Frozen points at Grove Park,08:31,Charing Cross,Dartford,delayed by 18 minutes
Frozen points at Grove Park,08:53,Charing Cross,Ashford,delayed by 11 minutes
Frozen points at Grove Park,10:03,Gravesend,Charing Cross,did not call at Crayford
Frozen points at Grove Park,10:33,Ashford,Canterbury West,delayed by 15 minutes
Train fault at Hastings,06:12,Ore,Charing Cross,cancelled
Train fault at Hastings,08:17,Charing Cross,Hastings,started Tonbridge and terminated at Tunbridge Wells
Electrical fault,07:20,Slade Green,Charing Cross,cancelled
Electrical fault,08:15,Charing Cross,Hayes,cancelled
Electrical fault,09:08,Hayes,Charing Cross,cancelled
Train fault at Dartford,07:36,Dartford,Victoria,cancelled
Train fault at Dartford,08:39,Victoria,Dartford,cancelled
Train fault at Ramsgate,07:40,Ramsgate,Charing Cross,started at Ashford
Train fault at Faversham,09:58,Faversham,St Pancras International,delayed by 10 minutes
Train crew delayed,10:24,Gillingham,Charing Cross,did not call at Woolwich Dockyard
Signaller issue,11:50,Hastings,Charing Cross,did not call at Sevenoaks
Train fault at Hayes,13:08,Hayes,Charing Cross,cancelled
Train fault at Hayes,13:20,Hayes,Cannon St,delayed by 10 minutes
Electrical problems at Tonbridge,13:51,Tunbridge Wells,Charing Cross,terminated at Orpington
Electrical problems at Tonbridge,15:00,Charing Cross,Tunbridge Wells,cancelled
Emergency speed restriction,12:40,Charing Cross,Ramsgate,delayed by 15 minutes
Emergency speed restriction,15:40,Ramsgate,Charing Cross,delayed by 11 minutes
Emergency speed restriction,17:49,Tunbridge Wells,Charing Cross,delayed by 10 minutes
Emergency speed restriction,18:08,Hayes,Charing Cross,delayed by 10 minutes
Emergency speed restriction,18:39,Charing Cross,Barnehurst,delayed by 16 minutes
Emergency speed restriction,20:05,Ashford,Ramsgate,delayed by 10 minutes
Emergency speed restriction,20:35,Ashford,Canterbury West,delayed by 13 minutes
Electrical fault,19:40,Victoria,Orpington,cancelled
Passenger alarm activated,15:54,Gillingham,Cannon St,delayed by 14 minutes
Passenger alarm activated,18:01,Crayford,Cannon St,delayed by 10 minutes
Passenger alarm activated,18:33,Tunbridge Wells,Hastings,delayed by 10 minutes
Technical fault,16:39,Sidcup,Cannon St,cancelled
Technical fault,16:44,Slade Green,Cannon St,cancelled
Train shortage,17:19,Cannon St,Sevenoaks,cancelled
Track circuit failure,16:50,Ramsgate,Charing Cross,delayed by 10 minutes
Track circuit failure,17:50,Ramsgate,Charing Cross,did not call at Sevenoaks
Track circuit failure,20:10,Charing Cross,Dover Priory,started at Ashford
Signaller issue at Dartford,17:03,Gravesend,Charing Cross,delayed by 12 minutes
Signaller issue at Dartford,17:21,Tunbridge Wells,Charing Cross,delayed by 13 minutes
Signaller issue at Dartford,17:37,Hayes,Charing Cross,delayed by 12 minutes
Signaller issue at Dartford,18:03,Gravesend,Charing Cross,delayed by 10 minutes
Signaller issue at Dartford,18:14,Charing Cross,Sidcup,cancelled
Signaller issue at Dartford,18:30,Charing Cross,Sevenoaks,delayed by 12 minutes
Signaller issue at Dartford,19:36,Sevenoaks,Charing Cross,delayed by 11 minutes
Signaller issue at Dartford,20:39,Charing Cross,Gillingham,started at London Bridge
Train fault,16:50,Ramsgate,Charing Cross,delayed by 10 minutes
Technical fault at Victoria,18:27,Victoria,Ramsgate,delayed by 11 minutes
Technical fault at Victoria,18:44,Cannon St,Ramsgate,delayed by 10 minutes
Technical fault at Victoria,19:49,Faversham,Dover Priory,delayed by 20 minutes
Station issue,17:58,St Pancras International,Broadstairs,delayed by 10 minutes
Track circuit failure at Rainham,17:27,Victoria,Ramsgate,delayed by 17 minutes
Track circuit failure at Rainham,17:30,Cannon St,Ramsgate,delayed by 19 minutes
Track circuit failure at Rainham,17:44,St Pancras International,Faversham,delayed by 24 minutes
Track circuit failure at Rainham,17:52,Cannon St,Ramsgate,delayed by 18 minutes
Track circuit failure at Rainham,17:57,Victoria,Ramsgate,delayed by 13 minutes
Track circuit failure at Rainham,17:58,St Pancras International,Broadstairs,delayed by 19 minutes
Track circuit failure at Rainham,18:14,St Pancras International,Faversham,delayed by 18 minutes
Track circuit failure at Rainham,18:25,St Pancras International,Broadstairs,delayed by 10 minutes
Track circuit failure at Rainham,18:49,Faversham,Dover Priory,delayed by 16 minutes
Track circuit failure at Rainham,18:58,Faversham,St Pancras International,delayed by 14 minutes
Track circuit failure at Rainham,19:20,Faversham,Dover Priory,delayed by 14 minutes
Track circuit failure at Rainham,19:40,Dover Priory,Victoria,delayed by 12 minutes
Track circuit failure at Rainham,19:40,Ramsgate,Charing Cross,delayed by 21 minutes
Track circuit failure at Rainham,20:22,Ramsgate,Ashford,delayed by 14 minutes
Technical fault,17:41,Cannon St,Sevenoaks,cancelled
Technical fault,17:45,Charing Cross,Tunbridge Wells,started at Grove Park
Technical fault,18:35,Sevenoaks,Charing Cross,started at Orpington
Technical fault,18:45,Sevenoaks,Victoria,started at Bromley South
Under investigation,15:22,Ramsgate,Ashford,cancelled
Electrical fault,21:42,St Pancras International,Margate,delayed by 15 minutes
Electrical fault,21:53,Margate,St Pancras International,delayed by 11 minutes
Points failure at Tonbridge,22:10,Hastings,Charing Cross,delayed by 15 minutes
